# Filename: 3Dvlt_macro_cp_Tv_Op19_P22.533_DK05e-07_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=1, OpB=9, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=22.533, Cc=0.580647816546116, K0c=0.448321705446756, Tc=1.889
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp	cp01	cp02	cp03	cp04	cp05	cp06	cp07
11	1000000	0.99999990000000005	9.9999999999999995e-08	100.00000000219612	4.3787375608169742e+38	                0	-0.073013235168331428	9.7669532162842111e+38	3.6333807939025035e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017412537294438	1.0068816535987117	0.026228277387016045	-0.59862107553768362	13.71397044515107
12	1000000	0.99999987410745883	1.2589254117941662e-07	100.00000000219612	5.1111397495970507e+38	                0	-0.073013225454433145	1.1400605957834203e+39	4.2411120242679242e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.201740930196344	1.0068813663884597	0.026228266054937808	-0.59862091688718744	13.713969043705868
13	1000000	0.99999984151068078	1.5848931924611141e-07	100.00000000219612	5.9660460945967447e+38	                0	-0.073013213225370868	1.3307509042188687e+39	4.9504944579807525e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017405228925742	1.0068810048124133	0.026228251788706535	-0.59862071715809906	13.713967279391037
14	1000000	0.99999980047376846	1.9952623149688787e-07	100.00000000219612	6.9639469512256664e+38	                0	-0.073013197829910226	1.5533366948619957e+39	5.7785305085373898e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017400101279152	1.0068805496154987	0.026228233828600539	-0.59862046571414707	13.713965058250372
15	1000000	0.99999974881135689	2.5118864315095823e-07	100.00000000219612	8.1287600721811202e+38	                0	-0.073013178448208066	1.8131529059536689e+39	6.7450665514776547e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017393645962426	1.0068799765572218	0.026228211218193947	-0.59862014916509476	13.71396226200029
16	1000000	0.99999968377223403	3.1622776601683792e-07	100.00000000219612	9.4884038412935763e+38	                0	-0.073013154048137907	2.1164268259868344e+39	7.8732685730690348e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.201738551921135	1.0068792551205774	0.026228182753418827	-0.59861975065364548	13.713958741730432
17	1000000	0.99999960189282944	3.9810717055349692e-07	100.00000000219612	1.107546639552634e+39	                0	-0.073013123330340324	2.4704273408460032e+39	9.1901773810035498e-05	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017375288254966	1.0068783468871516	0.026228146918452402	-0.59861924895776553	13.713954309973939
18	1000000	0.9999994988127664	5.011872336272725e-07	100.00000000219612	1.2927986519009611e+39	                0	-0.073013084659041425	2.8836391106214622e+39	0.0001072735655537846	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017362408271888	1.006877203491459	0.026228101805003224	-0.59861861736056776	13.713948730724198
19	1000000	0.99999936904265552	6.3095734448019296e-07	100.00000000219612	1.5090365843354722e+39	                0	-0.073013035974939175	3.3659660325702721e+39	0.0001252164934636783	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017346193376921	1.0068757640453516	0.026228045010692931	-0.59861782222759485	13.713941706866681
20	1000000	0.99999920567176526	7.943282347242822e-07	100.00000000219612	1.7614432490938163e+39	                0	-0.073012974685564905	3.9289684807350975e+39	0.00014616061223627139	                0	2.6881171477195552e+43	                1	              nan	              nan	              nan	1.2017325780101142	1.0068739518960053	0.026227973511139913	-0.59861682121573201	13.713932864356773
