l	K	y

# DK0 = 2.5	(data set 1)
0	5	1.92404e-11

# DK0 = 0.0390625	(data set 2)
6.3936	0.775487	0.00201191
6.4269	0.775488	0.00201191
6.4602	0.775488	0.00201191
6.4935	0.775489	0.0020119
6.5268	0.77549	0.0020119
6.5601	0.77549	0.0020119
6.5934	0.775491	0.00201189
6.6267	0.775491	0.00201189
6.66	0.775492	0.00201188
6.6933	0.775493	0.00201188
6.7266	0.775494	0.00201187
6.7599	0.775494	0.00201187
6.7932	0.775495	0.00201186
6.8265	0.775496	0.00201186
6.8598	0.775497	0.00201185
6.8931	0.775498	0.00201185
6.9264	0.775499	0.00201184
6.9597	0.7755	0.00201183
6.993	0.775501	0.00201182
7.0263	0.775502	0.00201182
7.0596	0.775504	0.00201181
7.0929	0.775505	0.0020118
7.1262	0.775506	0.00201179
7.1595	0.775508	0.00201178
7.1928	0.775509	0.00201177
7.2261	0.775511	0.00201176
7.2594	0.775513	0.00201175
7.2927	0.775514	0.00201174
7.326	0.775516	0.00201173
7.3593	0.775518	0.00201172
7.3926	0.77552	0.0020117
