# Filename: 3Dvlt_macro_cp_extra_BareValues_P02.533.dat
# Source: 3Dvlt_macro_cp_extra.c
# Source version: 1 (2011 Oct 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=2.53313, Cc=1.03281, K0c=0.308611, Tc=2.14784
# P	Cc	K0c	T	T/Tc	1-T/Tc	l	K0	y0	e0	U0/kB	a0	a0(P)/a0(0)
2.53313	 1.03280678021075	0.308610836254864	1.1	 0.51214217034201	 0.48785782965799	0	0.602588215004386	0.00214971650806348	0	 6.75666123247619	 2.43841869917305	 1.00389905402731
2.53313	 1.03280678021075	0.308610836254864	1.15	0.535421359903011	0.464578640096989	0	0.576388727395499	0.0028077899676611	0	 6.75666123247619	 2.43835534488491	 1.00387067637638
2.53313	 1.03280678021075	0.308610836254864	1.2	0.558700549464011	0.441299450535989	0	0.552372530420687	0.00358659846990819	0	 6.75666123247619	 2.43826224249216	 1.00383821158317
2.53313	 1.03280678021075	0.308610836254864	1.25	0.581979739025012	0.418020260974988	0	0.530277629203859	0.00449257616346089	0	 6.75666123247619	 2.43813217056155	 1.00380080153954
2.53313	 1.03280678021075	0.308610836254864	1.3	0.605258928586012	0.394741071413988	0	0.509882335772942	0.0055307507272096	0	 6.75666123247619	 2.43795719926357	 1.00375748371224
2.53313	 1.03280678021075	0.308610836254864	1.35	0.628538118147013	0.371461881852987	0	0.490997804818388	0.00670478219811529	0	 6.75666123247619	 2.43772869343995	 1.00370719156703
2.53313	 1.03280678021075	0.308610836254864	1.4	0.651817307708013	0.348182692291987	0	0.473462168932017	0.00801703525319529	0	 6.75666123247619	 2.43743731662905	 1.00364875511687
2.53313	 1.03280678021075	0.308610836254864	1.45	0.675096497269014	0.324903502730986	0	0.457135887244706	0.00946867433597115	0	 6.75666123247619	 2.43707303622259	 1.00358090161767
2.53313	 1.03280678021075	0.308610836254864	1.5	0.698375686830014	0.301624313169986	0	0.441898024336549	0.0110597728436157	0	 6.75666123247619	 2.43662512994009	 1.00350225643698
2.53313	 1.03280678021075	0.308610836254864	1.55	0.721654876391015	0.278345123608985	0	0.427643249357951	0.0127894293788791	0	 6.75666123247619	 2.43608219381911	 1.00341134412283
2.53313	 1.03280678021075	0.308610836254864	1.6	0.744934065952015	0.255065934047985	0	0.414279397815515	0.0146558856946779	0	 6.75666123247619	 2.43543215192999	 1.00330658970144
2.53313	 1.03280678021075	0.308610836254864	1.65	0.768213255513016	0.231786744486984	0	 0.40172547666959	0.0166566423611666	0	 6.75666123247619	 2.43466226803401	 1.00318632023436
2.53313	 1.03280678021075	0.308610836254864	1.7	0.791492445074016	0.208507554925984	0	0.389910021473426	0.0187885693503797	0	 6.75666123247619	 2.43375915941166	 1.00304876666643
2.53313	 1.03280678021075	0.308610836254864	1.75	0.814771634635017	0.185228365364983	0	0.378769735145614	0.021048009672473	0	 6.75666123247619	 2.43270881309491	 1.00289206599739
2.53313	 1.03280678021075	0.308610836254864	1.8	0.838050824196017	0.161949175803983	0	0.368248353613791	0.0234308749336187	0	 6.75666123247619	 2.43149660474156	 1.00271426381074
2.53313	 1.03280678021075	0.308610836254864	1.85	0.861330013757017	0.138669986242983	0	0.358295695408013	0.0259327322474867	0	 6.75666123247619	 2.43010732039266	 1.00251331719384
2.53313	 1.03280678021075	0.308610836254864	1.9	0.884609203318018	0.115390796681982	0	0.348866861318329	0.0285488823494226	0	 6.75666123247619	 2.42852518135367	 1.00228709808346
2.53313	 1.03280678021075	0.308610836254864	1.95	0.907888392879018	0.0921116071209815	0	0.339921557181961	0.0312744290624549	0	 6.75666123247619	 2.42673387243702	 1.00203339707081
2.53313	 1.03280678021075	0.308610836254864	2	0.931167582440019	0.0688324175599812	0	0.331423518252412	0.0341043404715192	0	 6.75666123247619	  2.4247165737975	 1.00174992769943
2.53313	 1.03280678021075	0.308610836254864	2.05	0.954446772001019	0.0455532279989805	0	0.323340017807231	 0.03703350229755	0	 6.75666123247619	 2.42245599658209	 1.00143433128793
2.53313	 1.03280678021075	0.308610836254864	2.1	 0.97772596156202	0.0222740384379801	0	0.315641445954678	0.0400567640435992	0	 6.75666123247619	 2.41993442260187	 1.00108418230808
