# Filename: 3Dvlt_macro_Tv_Op42_Kth4.147_Cc1.05_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=1.05, K0c=0.30537942360817, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
14	1209163	0.99999980047376846	1.9952623149688787e-07	12.091629999711406	4.1467680596639562	4.6343432160328868e-06	-0.052576205193381312	13.579065620333447	7.6127523312602682e-05	1.438861782997268e-37	178372.61780570066	                1
15	1193697	0.99999974881135689	2.5118864315095823e-07	11.936969999717261	4.1467763407993763	4.6343432162265465e-06	-0.052576189573842504	13.579092036328364	8.8860863747906464e-05	3.6393764883514696e-37	152812.96471359453	                1
16	1178231	0.99999968377223403	3.1622776601683792e-07	11.782309999723116	4.1467845638706082	4.6343432167378842e-06	-0.052576169910048036	13.579118080538683	0.00010372402182817747	9.2052352640035007e-37	130915.84611935867	                1
17	1162765	0.99999960189282944	3.9810717055349692e-07	11.627649999728972	4.1467928374109375	4.6343432175614009e-06	-0.052576145154850248	13.57914406133559	0.0001210732396710928	2.328320703905649e-36	112156.44429953846	                1
18	1147299	0.9999994988127664	5.011872336272725e-07	11.472989999734827	4.1468011171665751	4.6343432186811954e-06	-0.052576113989989813	13.579169774593307	0.00014132434143244145	5.8891241180777371e-36	96085.144547336749	                1
19	1131832	0.99999936904265552	6.3095734448019296e-07	11.318319999740682	4.1467680168933896	4.6343432154609083e-06	-0.05257607475589024	13.57905962184384	0.00016496270708194193	1.4896514795776876e-35	82315.935898764772	                1
20	1116366	0.99999920567176526	7.943282347242822e-07	11.163659999746537	4.1467764378684207	4.6343432153922334e-06	-0.052576025363296031	13.57908497884749	0.00019255489810333622	3.7678411049412246e-35	70520.589777779416	                1
21	1100900	0.99999899999999997	9.9999999999999995e-07	11.008999999752392	4.1467849368389063	4.6343432155364992e-06	-0.052575963182035668	13.579110016838152	0.00022476224213502531	9.5301664767665854e-35	60415.441169520549	                1
22	1085434	0.99999874107458819	1.2589254117941661e-06	10.854339999758247	4.1467935099837137	4.6343432158370731e-06	-0.052575884900979732	13.579134574570066	0.00026235667957710552	2.4105069865828578e-34	51758.295601462734	                1
23	1069968	0.99999841510680754	1.5848931924611141e-06	10.699679999764102	4.1468022382857246	4.6343432162137495e-06	-0.052575786351772368	13.579158729986345	0.00030623927144249671	6.0970015021517254e-34	44341.66351697364	                1
24	1054501	0.99999800473768508	1.9952623149688829e-06	10.545009999769958	4.1467696790162094	4.6343432115636013e-06	-0.052575662286915854	13.579046538654849	0.00035746178708815528	1.5422339763540523e-33	37987.407407287588	                1
25	1039035	0.99999748811356848	2.5118864315095823e-06	10.390349999775813	4.1467787432384942	4.6343432097630066e-06	-0.052575506100451815	13.579069205140403	0.00041725190843619264	3.9008403287858401e-33	32544.055355032495	                1
26	1023569	0.99999683772233983	3.1622776601683792e-06	10.235689999781668	4.1467880537684483	4.6343432073890884e-06	-0.052575309476356219	13.579090861714091	0.00048704266703065524	9.8665672667726681e-33	27880.700770019808	                1
27	1008103	0.99999601892829448	3.9810717055349691e-06	10.081029999787523	4.1467976798579862	4.6343432040119384e-06	-0.052575061945967068	13.579111264810594	0.00056850677687741546	2.4955943182369757e-32	23885.575013538662	                1
28	992637	0.99999498812766374	5.011872336272725e-06	9.9263699997933781	4.1468076972600079	4.6343431989950164e-06	-0.052574750330943297	13.579130070367576	0.00066359672203232046	6.3122166307899553e-32	20462.925176574641	                1
29	977170	0.99999369042655517	6.3095734448019432e-06	9.7716999997992335	4.1467767690045276	4.6343431849550184e-06	-0.052574358042154802	13.579011171140991	0.0007745915534036566	1.5966725497691426e-31	17530.543822060852	                1
30	961704	0.99999205671765279	7.9432823472428217e-06	9.6170399998050886	4.1467878958699975	4.6343431710809787e-06	-0.052573864197342716	13.579025422759228	0.0009041514794207601	4.0385341999161904e-31	15018.529230808272	                1
31	946238	0.99999000000000005	1.0000000000000001e-05	9.4623799998109437	4.1467998028069246	4.6343431510264039e-06	-0.052573242510706546	13.57903648455884	0.001055381642248953	1.0214842401154556e-30	12866.470233102364	                1
