# Filename: 3Dvlt_macro_cp_P07.270_DK05e-07_T_Op7.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 9 (2011 Dec 14 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=7.27, Cc=0.907367789194129, K0c=0.335274865837589, Tc=2.09567
# Option values: Op=7
# T/Tc	1-T/Tc	l	Kr	K	y	e	amax	Kr/K0	K/K0	G	cp
              0.9	              0.1	 3.38330000000272	0.169692195110762	 5.00046495908225	6.4432150647916e-06	-0.0339586476449318	 72.5335883472211	0.455515731005219	 13.4230714012248	1.79319654901959e-17	 24.7828777275817
            0.901	            0.099	 3.39050000000273	 0.16846388387286	 5.00014098384533	6.44679091504047e-06	-0.0341418155602258	 73.0542406063772	0.452720960726516	  13.437115291031	1.71882335931437e-17	 24.9571110991405
            0.902	            0.098	 3.39790000000275	0.167233007294116	 5.00047453151692	6.45398128296e-06	-0.0343257983748605	 73.5933291029761	0.449911961645116	 13.4529262017904	1.64648300235189e-17	 25.1509463965385
            0.903	            0.097	 3.40530000000276	0.165999562874077	 5.00045983939848	6.45919242823916e-06	-0.0345106007559395	 74.1363772472089	0.447088704072151	 13.4678011836537	1.57670450753557e-17	 25.3345615844549
            0.904	            0.096	 3.41270000000278	0.164763501784002	 5.00008965968686	6.46237929850744e-06	-0.0346962274345517	 74.6834139235566	0.444251033374179	 13.4817175783958	1.50941171902394e-17	 25.5367571718274
            0.905	            0.095	 3.42030000000279	0.163524730294581	 5.00035522816929	6.4690672595279e-06	-0.0348826832072558	 75.2495166236075	0.441398673136101	 13.4973478259039	1.4440413366631e-17	 25.7227940896841
            0.906	            0.094	 3.42790000000281	0.162283241523796	 5.00025011429041	6.47364540866306e-06	-0.0350699729371963	 75.8198913471284	0.438531580508576	 13.5119779773221	1.38105255914264e-17	 25.9014145370059
            0.907	            0.093	 3.43560000000283	0.161038961445229	 5.00026571130412	6.47885464341076e-06	-0.0352581015562057	 76.4022099619276	0.435649530918243	 13.5269340540121	1.32014901818788e-17	 26.1088516348062
            0.908	            0.092	 3.44340000000284	0.159791836750294	 5.00039379774721	6.48465057661167e-06	-0.0354470740661771	 76.9966807575016	0.432752355017125	 13.5421948705033	1.2612895671998e-17	  26.289196495321
            0.909	            0.091	 3.45120000000286	0.158541834054255	 5.00012652324814	6.48819210207831e-06	-0.0356368955407737	 77.5957573189514	0.429839936838954	 13.5563845451936	1.20463669762985e-17	 26.5193353446133
             0.91	             0.09	 3.45920000000288	0.157288854625017	 5.00045383000153	6.49501897239402e-06	-0.0358275711274676	 78.2151165692536	 0.42691198265396	 13.5721864325662	1.14973165452823e-17	 26.7003674890539
            0.911	            0.089	 3.46720000000289	0.156032883351143	   5.000367935214	6.49948945018011e-06	-0.0360191060489033	 78.8393993190784	0.423968424766289	 13.5868675321061	1.09693185553435e-17	 26.9122010439713
            0.912	            0.088	 3.47530000000291	0.154773839967509	 5.00035882789269	6.5043471991119e-06	-0.0362115056052583	  79.476591739904	0.421009018071592	 13.6017569931628	1.0459924596752e-17	 27.1339437078046
            0.913	            0.087	 3.48350000000293	0.153511663917663	 5.00041681317937	6.50953866711511e-06	-0.0364047751759369	 80.1269257333916	0.418033570177369	 13.6168291023768	9.96872407540988e-18	 27.3554284049678
            0.914	            0.086	 3.49170000000294	0.152246313523923	 5.00003250798568	6.5122029130578e-06	-0.0365989202216152	 80.7825603739989	0.415041939434474	 13.6306958199267	9.49691360161161e-18	 27.5513545953347
            0.915	            0.085	 3.50010000000296	0.150977683771919	 5.00019422822112	6.51789030008109e-06	-0.036793946286578	 81.4598289614924	0.412033810844099	 13.6460504052176	9.04078891528641e-18	 27.7597627384677
            0.916	            0.084	 3.50860000000298	0.149705729699962	 5.00039188450013	6.52373839646176e-06	-0.0369898590005523	 82.1509690117533	0.409009032223706	 13.6615041355975	8.60162767895461e-18	 27.9930894513454
            0.917	            0.083	   3.517100000003	0.148430403903307	 5.00011498327224	6.52687297224916e-06	-0.0371866640811569	  82.847951396685	0.405967444172407	 13.6756610973688	8.1804041906122e-18	 28.2175061607787
            0.918	            0.082	 3.52580000000302	0.147151596833221	 5.00035068702358	6.53285008948623e-06	-0.0373843673364055	  83.567537083427	0.402908716570282	 13.6912199464163	7.77387086082548e-18	 28.4561480221517
            0.919	            0.081	 3.53450000000303	0.145869277079861	 5.00008833454043	6.53597777326081e-06	-0.0375829746667722	 84.2933507024094	0.399832732171845	 13.7054150121368	7.38432677338184e-18	 28.6909790754821
             0.92	             0.08	 3.54340000000305	0.144583331697323	 5.00031420919447	6.54181435146982e-06	-0.0377824920681489	 85.0424526797764	0.396739149620514	  13.720948216522	7.00880212462642e-18	 28.9215889490468
            0.921	            0.079	 3.55230000000307	0.143293724435039	 5.00001674635901	6.54465485781452e-06	-0.0379829256340619	 85.7981891540745	0.393627836894284	 13.7350451603115	6.64933576394522e-18	 29.1597789971683
            0.922	            0.078	 3.56140000000309	0.142000338609074	  5.0001812570664	6.55005899609922e-06	-0.0381842815588156	  86.577932462958	0.390498440348306	 13.7504107487987	6.30321608032222e-18	 29.3901895254882
            0.923	            0.077	 3.57060000000311	0.140703113688983	 5.00029452091401	6.55513127148543e-06	-0.0383865661399858	 87.3734758542408	0.387350759534243	 13.7656362378184	5.97123222219706e-18	 29.6373613180155
            0.924	            0.076	 3.57990000000313	0.139401967161304	 5.00034210392465	6.55978913355732e-06	-0.0385897857815834	 88.1851238577373	0.384184532697541	 13.7806813895334	5.65298912117035e-18	 29.8938276999055
            0.925	            0.075	 3.58930000000315	0.138096813968181	  5.0003090008811	6.5639466844603e-06	-0.0387939469970828	 89.0131886557283	 0.38099949007942	 13.7955042178902	5.34809531028202e-18	 30.1342806787998
            0.926	            0.074	 3.59880000000317	  0.1367875663924	 5.00017960672722	6.56751463303457e-06	-0.0389990564126315	 89.8579902790889	0.377795353561399	 13.8100609011124	5.05616325562303e-18	 30.3922234560971
            0.927	            0.073	 3.60850000000319	0.135474115531317	 5.00043702594362	6.57323047327021e-06	-0.039205120770437	  90.728929248472	0.374571785402981	 13.8256863110496	4.7760008213958e-18	 30.6183706218821
            0.928	            0.072	 3.61820000000321	0.134156404958892	 5.00006564580055	6.57533724378622e-06	-0.0394121469320825	 91.6082849561277	0.371328591813259	  13.839572816504	4.50889127234008e-18	 30.9142624608998
            0.929	            0.071	 3.62810000000323	 0.13283430158251	 5.00004653684618	6.57939663033921e-06	-0.0396201418824642	 92.5146394981824	0.368065365895723	 13.8544332010268	4.25288411433712e-18	 31.1739655711989
             0.93	             0.07	 3.63820000000325	 0.13150770627084	 5.00036131959371	6.58530771247708e-06	-0.0398291127333241	 93.4486237926021	0.364781793369282	 13.8702196348796	4.00773372631472e-18	 31.4322036724911
            0.931	            0.069	 3.64840000000327	0.130176534282274	 5.00049149351351	6.59012795617754e-06	-0.0400390667272702	 94.4014510836911	 0.36147759872792	 13.8854953198795	3.77382774103207e-18	 31.7121410981521
            0.932	0.0679999999999999	  3.6587000000033	0.128840679135345	 5.00041703833667	6.59374061058304e-06	-0.0402500112419936	 95.3735044407597	0.358152445021959	 13.9002029516502	3.55079549020439e-18	 31.9961714276712
            0.933	0.0669999999999999	 3.66910000000332	0.127500030663149	  5.0001170697746	6.59602515267586e-06	-0.0404619537945567	 96.3651766375533	 0.35480598377554	 13.9142825825767	3.33827275643618e-18	 32.2776368714751
            0.934	0.0659999999999999	 3.67970000000334	0.126154457620855	 5.00006909511064	6.59969777595861e-06	-0.0406749020459583	 97.3866085835138	0.351437806480119	 13.9290624221607	3.13537030864707e-18	 32.5681896771304
            0.935	0.0649999999999999	 3.69050000000336	0.124803842437945	 5.00025027033367	6.60463041428665e-06	-0.0408888638058083	 98.4385258475079	0.348047541195662	 13.9444810188269	2.94183396553751e-18	 32.8726086653926
            0.936	0.0639999999999999	 3.70140000000339	 0.12344808013711	 5.00013736445012	6.60784338481359e-06	-0.0411038470372999	 99.5117284551227	0.344634849736417	 13.9590796984836	2.75787367060222e-18	 33.1580857804748
            0.937	0.0629999999999999	 3.71250000000341	0.122087027170011	 5.00020468656605	6.61203836300335e-06	-0.0413198598625121	 100.616724769263	0.341199284868896	 13.9741813917598	2.58270351178823e-18	 33.4401844738596
            0.938	0.0619999999999999	 3.72380000000343	0.120720552466209	 5.00042601546205	6.61706772496783e-06	-0.0415369105677786	 101.754311622861	0.337740432556483	 13.9897143520907	2.41606660199231e-18	  33.761464069917
            0.939	0.0609999999999999	 3.73520000000346	0.119348536299317	 5.00027449434202	6.61992407831705e-06	-0.0417550076094287	  102.91502239658	0.334257908969967	 14.0042043964655	2.25808672325972e-18	 34.0562953693025
             0.94	0.0599999999999999	 3.74680000000348	0.117970820649748	 5.00022060408779	6.62329202661555e-06	-0.0419741596198951	 104.109764053833	0.330751221490252	 14.0189672616836	2.10807169217711e-18	 34.3760141597225
            0.941	0.0589999999999999	 3.75860000000351	0.116587258625404	 5.00023401701688	6.62699884945871e-06	-0.042194375413968	 105.339411610903	0.327219906843984	 14.0339187020722	1.96576596672702e-18	 34.7210609931236
            0.942	0.0579999999999999	 3.77060000000353	0.115197697453393	 5.00028285432833	6.63086274223347e-06	-0.0424156639954864	 106.604871366456	0.323663483482423	 14.0489697520571	1.83091415112446e-18	 35.0423264354548
            0.943	0.0569999999999999	 3.78280000000356	0.113801978139017	 5.00033357473119	6.63469198515973e-06	-0.0426380345643576	 107.907081999246	0.320081450534613	 14.0640263897851	1.7032614611205e-18	 35.3721444086563
            0.944	0.0559999999999999	 3.79520000000358	0.112399935098324	   5.000350855458	6.63828417759097e-06	-0.0428614965239598	 109.247015711421	    0.31647328668	 14.0789891773126	1.58255419943191e-18	 35.7122159084772
            0.945	0.0549999999999999	 3.80780000000361	0.110991395761619	  5.0002974650188	6.6414255565181e-06	-0.0430860594889452	 110.625679419356	0.312838448932638	 14.0937528753848	1.46854023255555e-18	 36.0596605756431
            0.946	0.0539999999999999	 3.82060000000364	0.109576180145125	 5.00013412699135	6.64389042184252e-06	-0.0433117332934815	 112.044115994023	0.309176371328419	 14.1082060306457	1.36096946118402e-18	 36.4201583843032
            0.947	0.0529999999999999	 3.83370000000367	 0.10815408552744	  5.0003186939732	6.64830277800072e-06	-0.0435385279999835	 113.514756461115	0.305486421532414	  14.123640886002	1.25938090884273e-18	 36.7720461738167
            0.948	0.0519999999999999	 3.84700000000369	0.106724930914488	 5.00030797902774	6.65154943819612e-06	-0.043766453908262	 115.027670040088	0.301768026225817	 14.1385246766888	1.1637752893754e-18	 37.1484856966101
            0.949	0.0509999999999999	 3.86050000000372	0.105288511156704	 5.00005558006225	6.65336239440345e-06	-0.0439955215653481	 116.584028421872	0.298020541558024	 14.1527243136014	1.07390800214055e-18	 37.5359884085742
             0.95	0.0499999999999999	 3.87430000000375	0.103844597307358	 5.00001166778368	6.65632425971085e-06	-0.0442257417758359	 118.196864330878	0.294243253801729	 14.1675131910886	9.89370563883153e-19	 37.9102362495903
            0.951	0.0489999999999999	 3.88840000000378	0.102392965144287	 5.00012409689093	6.6601367667048e-06	-0.0444571256128143	 119.867932577333	0.290435459899301	 14.1827452656314	9.09966290149516e-19	  38.316696315475
            0.952	0.0479999999999999	 3.90280000000381	0.100933379608366	 5.00033751116042	6.66448334543686e-06	-0.0446896844295585	 121.599065244545	0.286596423346898	 14.1982647543006	8.35497806936896e-19	 38.7082521470648
            0.953	0.0469999999999999	 3.91740000000384	0.0994656077558308	 5.00009371240826	6.66615461946783e-06	-0.044923429871914	 123.379836392974	0.282725410849093	 14.2124859136722	7.65897212005792e-19	  39.122926432963
            0.954	0.0459999999999999	 3.93240000000387	0.0979893628962964	 5.00032870826737	6.67053143420812e-06	-0.0451583738915803	 125.236734236888	0.278821533399257	 14.2280679936141	7.00697029407285e-19	 39.5135976651913
            0.955	0.0449999999999999	 3.94770000000391	0.0965043865217244	 5.00047638310855	6.6743594663347e-06	-0.0453945287600938	 127.159683683789	0.274883978845259	 14.2434027493786	6.39842679558195e-19	 39.9574378512364
            0.956	0.0439999999999999	 3.96330000000394	0.0950103918920864	  5.0004654343792	6.67722659945339e-06	-0.0456319070839485	 129.150860470736	0.270911851450367	 14.2582860881144	5.83139602691577e-19	 40.3983951110923
            0.957	0.0429999999999999	 3.97920000000397	0.0935070768390396	 5.00021965550595	6.67869246040144e-06	-0.0458705218206587	 131.212535899864	 0.26690420801871	 14.2724990683829	5.30395361466183e-19	 40.8677169177525
            0.958	0.0419999999999999	 3.99550000000401	0.0919941098530882	 5.00015680371484	6.68116324339609e-06	-0.0461103862960077	  133.36041645422	0.262860017911244	 14.2872332705048	4.8133857837893e-19	 41.3072887674677
            0.959	0.0409999999999999	 4.01220000000399	0.0904711547831789	 5.00018938763824	6.68413525360582e-06	-0.0463515142224839	 135.597644574314	0.258778233257416	   14.30224007626	4.35805394375097e-19	  41.769720934306
             0.96	             0.04	 4.02930000000395	0.0889378560476079	  5.0002234438727	6.6870670398465e-06	-0.0465939197191497	 137.927522826226	0.254657746540007	 14.3172512920878	3.93631916698395e-19	 42.2440022488298
            0.961	            0.039	 4.04680000000391	0.0873938370009675	 5.00015787199129	6.68937502757941e-06	-0.0468376173329931	 140.353521913633	0.250497385624526	 14.3319771465103	3.54654848047551e-19	 42.7578324114332
            0.962	            0.038	 4.06480000000387	0.0858386862417837	 5.00038302497358	6.69331154667652e-06	-0.0470826220619535	 142.893577808186	0.246295874157764	 14.3475367830131	3.18658145227772e-19	 43.2688245146611
            0.963	            0.037	 4.08320000000382	0.0842719916380563	 5.00028186845952	6.69531488541197e-06	-0.0473289493797405	 145.537762165477	0.242051928780012	 14.3621605135742	2.85546667607804e-19	 43.7872630267718
            0.964	            0.036	 4.10210000000378	0.0826932901426562	 5.00022636718457	6.69753165118253e-06	-0.047576615262763	 148.304965197421	0.237764114820752	 14.3769149110655	2.55117865620552e-19	 44.3259927733813
            0.965	            0.035	 4.12150000000373	0.0811021010969785	 5.00007838490237	6.69916361937716e-06	-0.0478256362192537	 151.200318320793	  0.2334309413951	 14.3914027953653	2.27229439966711e-19	 44.8777982353137
            0.966	            0.034	 4.14150000000369	0.0794979002761679	 5.00018709489243	6.70222807526069e-06	-0.0480760293209485	 154.244669536584	0.229050786359806	 14.4066293833248	2.01705835204569e-19	 45.4523345151253
            0.967	            0.033	 4.16210000000364	0.0778801393552617	   5.000388907367	6.70578074903924e-06	-0.0483278122375561	 157.444707949226	0.224621951807802	 14.4221251460174	1.7841903647621e-19	 46.0490813987037
            0.968	            0.032	 4.18320000000359	0.0762482411748819	 5.00000578625289	6.70589911068422e-06	-0.0485810032743969	 160.791462500458	 0.22014265003998	 14.4359333020727	1.57267632401281e-19	 46.6161635447984
            0.969	            0.031	 4.20510000000354	0.074601542736904	 5.00033999007151	6.71011517793809e-06	-0.0488356214136217	 164.340727667225	0.215610838383207	 14.4518123608061	1.38044461552828e-19	 47.2896386274786
             0.97	             0.03	 4.22760000000349	0.0729393860730748	 5.00017788844686	6.71140761378827e-06	-0.0490916863593389	 168.069097873142	0.211024480806609	 14.4662575277651	1.2068315308195e-19	 47.9072729463101
            0.971	            0.029	 4.25090000000343	0.0712610181526744	 5.00028129051013	6.71418458907384e-06	-0.0493492185873871	 172.019560591786	0.206381258116036	 14.4814706612612	1.05023507637578e-19	 48.5604770816505
            0.972	            0.028	 4.27500000000338	0.0695656471922929	 5.00038841136548	6.71693080292829e-06	-0.0496082394001743	 176.203731061386	0.201678729784843	 14.4966951927786	9.09579196569845e-20	 49.2600858470013
            0.973	            0.027	 4.29990000000332	0.0678524143120295	 5.00020889094169	6.71796293479882e-06	-0.0498687709874462	    180.634069961	0.196914251119515	 14.5110885026587	7.83790229132067e-20	 49.9896489021152
            0.974	            0.026	 4.32580000000326	0.0661203667955946	  5.0004181622212	6.7211945690467e-06	-0.0501308364937988	 185.361012840538	0.192084894577531	 14.5266102122989	6.7157782975591e-20	 50.7518320875024
            0.975	            0.025	 4.35260000000319	0.0643684954508843	 5.00015560705209	6.7216367081738e-06	-0.050394460093934	 190.382861392956	0.187187557014827	 14.5407610698661	5.72095040495173e-20	 51.4993923145796
            0.976	            0.024	 4.38050000000313	0.062595667323477	 5.00001436108385	6.72272716405085e-06	-0.0506596670769738	 195.755915087903	0.182218762969569	 14.5552634976872	4.84190616852824e-20	 52.3196651724847
            0.977	            0.023	 4.40960000000306	0.0608006496184831	 5.00003641021452	6.72470887712007e-06	-0.0509264839412213	 201.522227497463	0.177174732525381	 14.5702409292618	4.06907789945874e-20	 53.1397694686236
            0.978	            0.022	 4.44000000000299	0.0589820841556013	 5.00020274410687	6.72747184609731e-06	-0.0511949385012268	 207.728202023579	0.172051305307571	  14.585639372399	3.39343365076542e-20	 54.0463938626226
            0.979	            0.021	 4.47180000000292	0.0571384680425544	 5.00042198997689	6.73048630443458e-06	-0.0514650600093639	 214.425210192034	0.166843882179817	 14.6011933103234	2.80641326190143e-20	 54.9440846478492
             0.98	             0.02	 4.50500000000284	0.0552681380075733	 5.00001692422372	6.72981945696791e-06	-0.0517368792945881	   221.6481453046	0.161547377290306	 14.6149237089334	2.3002712416927e-20	 55.9261578290938
            0.981	            0.019	 4.54000000000276	 0.05336920346616	 5.00020337449733	6.73252818156557e-06	-0.0520104289218421	 229.527090119434	0.156156019836168	 14.6303824419633	1.86609917471943e-20	 56.9401221181775
            0.982	            0.018	 4.57680000000267	0.0514395740470827	 5.00007304005252	6.73333903167073e-06	-0.0522857433762658	 238.114252876411	0.150663431295517	  14.644914443751	1.4971950305116e-20	 57.9998067874816
            0.983	            0.017	 4.61570000000258	0.0494768624790005	 5.00005972144351	6.73476965672586e-06	-0.0525628592777272	 247.541895764766	0.145062337719098	 14.6597887494492	1.18628958314071e-20	 59.1291203350973
