#filename: fit_BrooksDonnelly_AlphaVsTP_4order_3d.dat
#from RhosAmps.ods Sheet 3
#Alpha (K^-1)		4th Order
#T (K)	P (bar)	Alpha (fit)
1.25	2.533125	-1.3458E-03
1.30	2.533125	-1.6745E-03
1.35	2.533125	-2.0661E-03
1.40	2.533125	-2.5299E-03
1.45	2.533125	-3.0759E-03
1.50	2.533125	-3.7149E-03
1.55	2.533125	-4.4582E-03
1.60	2.533125	-5.3179E-03
1.65	2.533125	-6.3068E-03
1.70	2.533125	-7.4385E-03
1.75	2.533125	-8.7271E-03
1.80	2.533125	-1.0188E-02
1.85	2.533125	-1.1836E-02
1.90	2.533125	-1.3687E-02
1.95	2.533125	-1.5760E-02
2.00	2.533125	-1.8071E-02
2.05	2.533125	-2.0639E-02
2.10	2.533125	-2.3483E-02

0.10	5.066250	-3.5891E-04
0.15	5.066250	-1.2467E-04
0.20	5.066250	4.3685E-05
0.25	5.066250	1.5693E-04
0.30	5.066250	2.2478E-04
0.35	5.066250	2.5584E-04
0.40	5.066250	2.5769E-04
0.45	5.066250	2.3684E-04
0.50	5.066250	1.9869E-04
0.55	5.066250	1.4764E-04
0.60	5.066250	8.6959E-05
0.65	5.066250	1.8892E-05
0.70	5.066250	-5.5402E-05
0.75	5.066250	-1.3583E-04
0.80	5.066250	-2.2335E-04
0.85	5.066250	-3.2001E-04
0.90	5.066250	-4.2892E-04
0.95	5.066250	-5.5424E-04
1.00	5.066250	-7.0122E-04
1.05	5.066250	-8.7616E-04
1.10	5.066250	-1.0864E-03
1.15	5.066250	-1.3405E-03
1.20	5.066250	-1.6478E-03
1.25	5.066250	-2.0190E-03
1.30	5.066250	-2.4656E-03
1.35	5.066250	-3.0005E-03
1.40	5.066250	-3.6374E-03
1.45	5.066250	-4.3910E-03
1.50	5.066250	-5.2774E-03
1.55	5.066250	-6.3136E-03
1.60	5.066250	-7.5174E-03
1.65	5.066250	-8.9081E-03
1.70	5.066250	-1.0506E-02
1.75	5.066250	-1.2332E-02
1.80	5.066250	-1.4409E-02
1.85	5.066250	-1.6759E-02
1.90	5.066250	-1.9408E-02
1.95	5.066250	-2.2381E-02
2.00	5.066250	-2.5704E-02
2.05	5.066250	-2.9406E-02

0.10	7.599375	-4.7403E-04
0.15	7.599375	-1.5359E-04
0.20	7.599375	7.1204E-05
0.25	7.599375	2.1646E-04
0.30	7.599375	2.9674E-04
0.35	7.599375	3.2504E-04
0.40	7.599375	3.1281E-04
0.45	7.599375	2.6993E-04
0.50	7.599375	2.0476E-04
0.55	7.599375	1.2408E-04
0.60	7.599375	3.3133E-05
0.65	7.599375	-6.4406E-05
0.70	7.599375	-1.6640E-04
0.75	7.599375	-2.7228E-04
0.80	7.599375	-3.8302E-04
0.85	7.599375	-5.0115E-04
0.90	7.599375	-6.3074E-04
0.95	7.599375	-7.7744E-04
1.00	7.599375	-9.4843E-04
1.05	7.599375	-1.1525E-03
1.10	7.599375	-1.3998E-03
1.15	7.599375	-1.7023E-03
1.20	7.599375	-2.0734E-03
1.25	7.599375	-2.5281E-03
1.30	7.599375	-3.0827E-03
1.35	7.599375	-3.7555E-03
1.40	7.599375	-4.5659E-03
1.45	7.599375	-5.5353E-03
1.50	7.599375	-6.6862E-03
1.55	7.599375	-8.0429E-03
1.60	7.599375	-9.6314E-03
1.65	7.599375	-1.1479E-02
1.70	7.599375	-1.3614E-02
1.75	7.599375	-1.6068E-02
1.80	7.599375	-1.8873E-02
1.85	7.599375	-2.2061E-02
1.90	7.599375	-2.5669E-02
1.95	7.599375	-2.9733E-02
2.00	7.599375	-3.4291E-02

0.10	10.132500	-6.4071E-04
0.15	10.132500	-1.9950E-04
0.20	10.132500	1.0593E-04
0.25	10.132500	2.9874E-04
0.30	10.132500	3.9994E-04
0.35	10.132500	4.2839E-04
0.40	10.132500	4.0076E-04
0.45	10.132500	3.3160E-04
0.50	10.132500	2.3328E-04
0.55	10.132500	1.1601E-04
0.60	10.132500	-1.2132E-05
0.65	10.132500	-1.4525E-04
0.70	10.132500	-2.7960E-04
0.75	10.132500	-4.1360E-04
0.80	10.132500	-5.4780E-04
0.85	10.132500	-6.8494E-04
0.90	10.132500	-8.2991E-04
0.95	10.132500	-9.8973E-04
1.00	10.132500	-1.1736E-03
1.05	10.132500	-1.3929E-03
1.10	10.132500	-1.6611E-03
1.15	10.132500	-1.9940E-03
1.20	10.132500	-2.4092E-03
1.25	10.132500	-2.9269E-03
1.30	10.132500	-3.5691E-03
1.35	10.132500	-4.3602E-03
1.40	10.132500	-5.3266E-03
1.45	10.132500	-6.4970E-03
1.50	10.132500	-7.9020E-03
1.55	10.132500	-9.5747E-03
1.60	10.132500	-1.1550E-02
1.65	10.132500	-1.3865E-02
1.70	10.132500	-1.6560E-02
1.75	10.132500	-1.9676E-02
1.80	10.132500	-2.3256E-02
1.85	10.132500	-2.7347E-02
1.90	10.132500	-3.1997E-02
1.95	10.132500	-3.7255E-02
2.00	10.132500	-4.3174E-02

0.10	12.665625	-8.6598E-04
0.15	12.665625	-2.6482E-04
0.20	12.665625	1.4880E-04
0.25	12.665625	4.0690E-04
0.30	12.665625	5.3865E-04
0.35	12.665625	5.7035E-04
0.40	12.665625	5.2538E-04
0.45	12.665625	4.2427E-04
0.50	12.665625	2.8465E-04
0.55	12.665625	1.2127E-04
0.60	12.665625	-5.3995E-05
0.65	12.665625	-2.3216E-04
0.70	12.665625	-4.0713E-04
0.75	12.665625	-5.7566E-04
0.80	12.665625	-7.3744E-04
0.85	12.665625	-8.9499E-04
0.90	12.665625	-1.0537E-03
0.95	12.665625	-1.2220E-03
1.00	12.665625	-1.4110E-03
1.05	12.665625	-1.6347E-03
1.10	12.665625	-1.9102E-03
1.15	12.665625	-2.2572E-03
1.20	12.665625	-2.6986E-03
1.25	12.665625	-3.2598E-03
1.30	12.665625	-3.9694E-03
1.35	12.665625	-4.8588E-03
1.40	12.665625	-5.9622E-03
1.45	12.665625	-7.3167E-03
1.50	12.665625	-8.9623E-03
1.55	12.665625	-1.0942E-02
1.60	12.665625	-1.3302E-02
1.65	12.665625	-1.6090E-02
1.70	12.665625	-1.9358E-02
1.75	12.665625	-2.3160E-02
1.80	12.665625	-2.7555E-02
1.85	12.665625	-3.2601E-02
1.90	12.665625	-3.8362E-02
1.95	12.665625	-4.4905E-02

0.10	15.198750	-1.1391E-03
0.15	15.198750	-3.4431E-04
0.20	15.198750	2.0053E-04
0.25	15.198750	5.3812E-04
0.30	15.198750	7.0742E-04
0.35	15.198750	7.4364E-04
0.40	15.198750	6.7827E-04
0.45	15.198750	5.3907E-04
0.50	15.198750	3.5005E-04
0.55	15.198750	1.3149E-04
0.60	15.198750	-1.0007E-04
0.65	15.198750	-3.3180E-04
0.70	15.198750	-5.5465E-04
0.75	15.198750	-7.6325E-04
0.80	15.198750	-9.5601E-04
0.85	15.198750	-1.1351E-03
0.90	15.198750	-1.3063E-03
0.95	15.198750	-1.4792E-03
1.00	15.198750	-1.6672E-03
1.05	15.198750	-1.8874E-03
1.10	15.198750	-2.1605E-03
1.15	15.198750	-2.5111E-03
1.20	15.198750	-2.9675E-03
1.25	15.198750	-3.5616E-03
1.30	15.198750	-4.3293E-03
1.35	15.198750	-5.3099E-03
1.40	15.198750	-6.5468E-03
1.45	15.198750	-8.0868E-03
1.50	15.198750	-9.9806E-03
1.55	15.198750	-1.2283E-02
1.60	15.198750	-1.5051E-02
1.65	15.198750	-1.8348E-02
1.70	15.198750	-2.2239E-02
1.75	15.198750	-2.6793E-02
1.80	15.198750	-3.2083E-02
1.85	15.198750	-3.8186E-02
1.90	15.198750	-4.5184E-02
1.95	15.198750	-5.3159E-02

0.10	17.731875	-1.4314E-03
0.15	17.731875	-4.2509E-04
0.20	17.731875	2.6165E-04
0.25	17.731875	6.8366E-04
0.30	17.731875	8.9104E-04
0.35	17.731875	9.2921E-04
0.40	17.731875	8.3881E-04
0.45	17.731875	6.5580E-04
0.50	17.731875	4.1138E-04
0.55	17.731875	1.3205E-04
0.60	17.731875	-1.6042E-04
0.65	17.731875	-4.4901E-04
0.70	17.731875	-7.2139E-04
0.75	17.731875	-9.6999E-04
0.80	17.731875	-1.1919E-03
0.85	17.731875	-1.3891E-03
0.90	17.731875	-1.5681E-03
0.95	17.731875	-1.7402E-03
1.00	17.731875	-1.9214E-03
1.05	17.731875	-2.1326E-03
1.10	17.731875	-2.3993E-03
1.15	17.731875	-2.7516E-03
1.20	17.731875	-3.2244E-03
1.25	17.731875	-3.8576E-03
1.30	17.731875	-4.6954E-03
1.35	17.731875	-5.7870E-03
1.40	17.731875	-7.1863E-03
1.45	17.731875	-8.9517E-03
1.50	17.731875	-1.1147E-02
1.55	17.731875	-1.3839E-02
1.60	17.731875	-1.7102E-02
1.65	17.731875	-2.1013E-02
1.70	17.731875	-2.5653E-02
1.75	17.731875	-3.1111E-02
1.80	17.731875	-3.7477E-02
1.85	17.731875	-4.4848E-02
1.90	17.731875	-5.3325E-02

0.10	20.265000	-1.6965E-03
0.15	20.265000	-4.8664E-04
0.20	20.265000	3.3244E-04
0.25	20.265000	8.2878E-04
0.30	20.265000	1.0646E-03
0.35	20.265000	1.0962E-03
0.40	20.265000	9.7414E-04
0.45	20.265000	7.4293E-04
0.50	20.265000	4.4131E-04
0.55	20.265000	1.0215E-04
0.60	20.265000	-2.4758E-04
0.65	20.265000	-5.8676E-04
0.70	20.265000	-9.0015E-04
0.75	20.265000	-1.1784E-03
0.80	20.265000	-1.4180E-03
0.85	20.265000	-1.6213E-03
0.90	20.265000	-1.7965E-03
0.95	20.265000	-1.9579E-03
1.00	20.265000	-2.1253E-03
1.05	20.265000	-2.3246E-03
1.10	20.265000	-2.5875E-03
1.15	20.265000	-2.9517E-03
1.20	20.265000	-3.4606E-03
1.25	20.265000	-4.1635E-03
1.30	20.265000	-5.1157E-03
1.35	20.265000	-6.3783E-03
1.40	20.265000	-8.0181E-03
1.45	20.265000	-1.0108E-02
1.50	20.265000	-1.2727E-02
1.55	20.265000	-1.5959E-02
1.60	20.265000	-1.9895E-02
1.65	20.265000	-2.4631E-02
1.70	20.265000	-3.0269E-02
1.75	20.265000	-3.6918E-02
1.80	20.265000	-4.4691E-02
1.85	20.265000	-5.3708E-02

0.10	22.798125	-1.8701E-03
0.15	22.798125	-5.0077E-04
0.20	22.798125	4.1296E-04
0.25	22.798125	9.5282E-04
0.30	22.798125	1.1934E-03
0.35	22.798125	1.2021E-03
0.40	22.798125	1.0392E-03
0.45	22.798125	7.5763E-04
0.50	22.798125	4.0326E-04
0.55	22.798125	1.4733E-05
0.60	22.798125	-3.7651E-04
0.65	22.798125	-7.4620E-04
0.70	22.798125	-1.0773E-03
0.75	22.798125	-1.3598E-03
0.80	22.798125	-1.5912E-03
0.85	22.798125	-1.7759E-03
0.90	22.798125	-1.9256E-03
0.95	22.798125	-2.0592E-03
1.00	22.798125	-2.2027E-03
1.05	22.798125	-2.3895E-03
1.10	22.798125	-2.6599E-03
1.15	22.798125	-3.0617E-03
1.20	22.798125	-3.6496E-03
1.25	22.798125	-4.4857E-03
1.30	22.798125	-5.6392E-03
1.35	22.798125	-7.1865E-03
1.40	22.798125	-9.2112E-03
1.45	22.798125	-1.1804E-02
1.50	22.798125	-1.5063E-02
1.55	22.798125	-1.9094E-02
1.60	22.798125	-2.4008E-02
1.65	22.798125	-2.9925E-02
1.70	22.798125	-3.6972E-02
1.75	22.798125	-4.5283E-02
1.80	22.798125	-5.5000E-02
1.85	22.798125	-6.6269E-02

0.10	25.331250	-1.8702E-03
0.15	25.331250	-4.3165E-04
0.20	25.331250	5.0308E-04
0.25	25.331250	1.0292E-03
0.30	25.331250	1.2331E-03
0.35	25.331250	1.1926E-03
0.40	25.331250	9.7669E-04
0.45	25.331250	6.4575E-04
0.50	25.331250	2.5139E-04
0.55	25.331250	-1.6347E-04
0.60	25.331250	-5.6464E-04
0.65	25.331250	-9.2662E-04
0.70	25.331250	-1.2326E-03
0.75	25.331250	-1.4746E-03
0.80	25.331250	-1.6531E-03
0.85	25.331250	-1.7775E-03
0.90	25.331250	-1.8659E-03
0.95	25.331250	-1.9450E-03
1.00	25.331250	-2.0503E-03
1.05	25.331250	-2.2260E-03
1.10	25.331250	-2.5249E-03
1.15	25.331250	-3.0087E-03
1.20	25.331250	-3.7477E-03
1.25	25.331250	-4.8209E-03
1.30	25.331250	-6.3159E-03
1.35	25.331250	-8.3293E-03
1.40	25.331250	-1.0966E-02
1.45	25.331250	-1.4340E-02
1.50	25.331250	-1.8575E-02
1.55	25.331250	-2.3800E-02
1.60	25.331250	-3.0156E-02
1.65	25.331250	-3.7793E-02
1.70	25.331250	-4.6866E-02
1.75	25.331250	-5.7543E-02
1.80	25.331250	-6.9998E-02
