#filename: fit_BrooksDonnelly_AlphaVsTP_5order.dat
#from RhosAmps.ods Sheet 4
#Alpha (K^-1)				5th Order
#T (K)	P (atm)	P (bar)	Alpha (K^-1)	Alpha (fit)
0.55	5	5.07	7.1310E-05	1.3076E-04
0.60	5	5.07	8.6550E-05	1.3551E-04
0.65	5	5.07	9.6530E-05	1.2426E-04
0.70	5	5.07	9.5370E-05	9.4602E-05
0.75	5	5.07	7.5690E-05	4.4368E-05
0.80	5	5.07	2.5090E-05	-2.8511E-05
0.85	5	5.07	-6.0360E-05	-1.2614E-04
0.90	5	5.07	-1.9430E-04	-2.5079E-04
0.95	5	5.07	-3.7470E-04	-4.0505E-04
1.00	5	5.07	-6.0530E-04	-5.9191E-04
1.05	5	5.07	-8.5850E-04	-8.1496E-04
1.10	5	5.07	-1.1260E-03	-1.0785E-03
1.15	5	5.07	-1.4040E-03	-1.3875E-03
1.20	5	5.07	-1.7380E-03	-1.7483E-03
1.25	5	5.07	-2.1740E-03	-2.1678E-03
1.30	5	5.07	-2.5780E-03	-2.6545E-03
1.35	5	5.07	-3.2720E-03	-3.2183E-03
1.40	5	5.07	-4.0170E-03	-3.8702E-03
1.45	5	5.07	-4.7480E-03	-4.6233E-03
1.50	5	5.07	-5.6050E-03	-5.4922E-03
1.55	5	5.07	-6.6580E-03	-6.4934E-03
1.60	5	5.07	-7.7570E-03	-7.6456E-03
1.65	5	5.07	-9.0360E-03	-8.9693E-03
1.70	5	5.07	-1.0480E-02	-1.0488E-02
1.75	5	5.07	-1.1720E-02	-1.2226E-02
1.80	5	5.07	-1.3680E-02	-1.4213E-02
1.85	5	5.07	-1.6510E-02	-1.6479E-02
1.90	5	5.07	-1.9430E-02	-1.9056E-02
1.95	5	5.07	-2.2700E-02	-2.1983E-02
2.00	5	5.07	-2.6300E-02	-2.5298E-02
2.05	5	5.07	-2.9490E-02	-2.9045E-02
0.10	7.5	7.6	3.6820E-07	2.2898E-04
0.15	7.5	7.6	1.2370E-06	3.6191E-06
0.20	7.5	7.6	2.9160E-06	-1.1625E-04
0.25	7.5	7.6	5.6570E-06	-1.5762E-04
0.30	7.5	7.6	9.7030E-06	-1.4371E-04
0.35	7.5	7.6	1.5280E-05	-9.4280E-05
0.40	7.5	7.6	2.2600E-05	-2.5922E-05
0.45	7.5	7.6	3.1760E-05	4.7646E-05
0.50	7.5	7.6	4.2480E-05	1.1527E-04
0.55	7.5	7.6	5.3650E-05	1.6809E-04
0.60	7.5	7.6	6.2700E-05	1.9918E-04
0.65	7.5	7.6	6.4930E-05	2.0332E-04
0.70	7.5	7.6	5.4020E-05	1.7666E-04
0.75	7.5	7.6	2.0370E-05	1.1643E-04
0.80	7.5	7.6	-4.4300E-05	2.0638E-05
0.85	7.5	7.6	-1.5330E-05	-1.1224E-04
0.90	7.5	7.6	-3.0990E-04	-2.8352E-04
0.95	7.5	7.6	-5.2610E-04	-4.9466E-04
1.00	7.5	7.6	-7.9860E-04	-7.4752E-04
1.05	7.5	7.6	-1.1050E-03	-1.0447E-03
1.10	7.5	7.6	-1.4460E-03	-1.3897E-03
1.15	7.5	7.6	-1.8330E-03	-1.7875E-03
1.20	7.5	7.6	-2.2610E-03	-2.2445E-03
1.25	7.5	7.6	-2.6490E-03	-2.7693E-03
1.30	7.5	7.6	-3.2890E-03	-3.3723E-03
1.35	7.5	7.6	-4.0110E-03	-4.0668E-03
1.40	7.5	7.6	-4.9040E-03	-4.8686E-03
1.45	7.5	7.6	-5.8430E-03	-5.7968E-03
1.50	7.5	7.6	-6.9330E-03	-6.8738E-03
1.55	7.5	7.6	-8.2840E-03	-8.1258E-03
1.60	7.5	7.6	-9.8090E-03	-9.5827E-03
1.65	7.5	7.6	-1.1460E-02	-1.1279E-02
1.70	7.5	7.6	-1.3510E-02	-1.3254E-02
1.75	7.5	7.6	-1.5910E-02	-1.5551E-02
1.80	7.5	7.6	-1.8470E-02	-1.8220E-02
1.85	7.5	7.6	-2.1060E-02	-2.1315E-02
1.90	7.5	7.6	-2.4400E-02	-2.4896E-02
1.95	7.5	7.6	-2.8710E-02	-2.9030E-02
2.00	7.5	7.6	-3.4200E-02	-3.3790E-02
0.10	10	10.13	2.8130E-07	4.1526E-04
0.15	10	10.13	9.4690E-07	8.3144E-06
0.20	10	10.13	2.2370E-06	-2.0959E-04
0.25	10	10.13	4.3530E-06	-2.8802E-04
0.30	10	10.13	7.4910E-06	-2.6927E-04
0.35	10	10.13	1.1840E-05	-1.8896E-04
0.40	10	10.13	1.7570E-05	-7.6540E-05
0.45	10	10.13	2.4710E-05	4.4113E-05
0.50	10	10.13	3.2900E-05	1.5416E-04
0.55	10	10.13	4.0830E-05	2.3922E-04
0.60	10	10.13	4.5720E-05	2.8883E-04
0.65	10	10.13	4.2490E-05	2.9591E-04
0.70	10	10.13	2.4190E-05	2.5613E-04
0.75	10	10.13	-1.7670E-05	1.6745E-04
0.80	10	10.13	-9.2830E-05	2.9480E-05
0.85	10	10.13	-2.1330E-04	-1.5703E-04
0.90	10	10.13	-3.8640E-04	-3.9076E-04
0.95	10	10.13	-6.1570E-04	-6.7039E-04
1.00	10	10.13	-9.0870E-04	-9.9512E-04
1.05	10	10.13	-1.2590E-03	-1.3653E-03
1.10	10	10.13	-1.6680E-03	-1.7829E-03
1.15	10	10.13	-2.1500E-03	-2.2521E-03
1.20	10	10.13	-2.6840E-03	-2.7799E-03
1.25	10	10.13	-3.0800E-03	-3.3766E-03
1.30	10	10.13	-3.9030E-03	-4.0564E-03
1.35	10	10.13	-4.6620E-03	-4.8380E-03
1.40	10	10.13	-5.7100E-03	-5.7450E-03
1.45	10	10.13	-6.8390E-03	-6.8067E-03
1.50	10	10.13	-8.2100E-03	-8.0583E-03
1.55	10	10.13	-9.7890E-03	-9.5420E-03
1.60	10	10.13	-1.1670E-02	-1.1307E-02
1.65	10	10.13	-1.3890E-02	-1.3410E-02
1.70	10	10.13	-1.6470E-02	-1.5917E-02
1.75	10	10.13	-1.9770E-02	-1.8902E-02
1.80	10	10.13	-2.3070E-02	-2.2449E-02
1.85	10	10.13	-2.5300E-02	-2.6652E-02
1.90	10	10.13	-2.9780E-02	-3.1615E-02
1.95	10	10.13	-3.6520E-02	-3.7453E-02
2.00	10	10.13	-4.5640E-02	-4.4294E-02
0.10	12.5	12.67	2.2190E-07	5.6773E-04
0.15	12.5	12.67	7.4780E-07	-3.2541E-06
0.20	12.5	12.67	1.7700E-06	-3.0223E-04
0.25	12.5	12.67	3.4490E-06	-4.0304E-04
0.30	12.5	12.67	5.9480E-06	-3.6829E-04
0.35	12.5	12.67	9.4240E-06	-2.5020E-04
0.40	12.5	12.67	1.4010E-05	-9.1470E-05
0.45	12.5	12.67	1.9680E-05	7.3864E-05
0.50	12.5	12.67	2.5960E-05	2.1955E-04
0.55	12.5	12.67	3.1410E-05	3.2628E-04
0.60	12.5	12.67	3.2870E-05	3.8080E-04
0.65	12.5	12.67	2.5540E-05	3.7506E-04
0.70	12.5	12.67	1.4930E-06	3.0536E-04
0.75	12.5	12.67	-4.7290E-05	1.7146E-04
0.80	12.5	12.67	-1.3190E-04	-2.4242E-05
0.85	12.5	12.67	-2.5900E-04	-2.7763E-04
0.90	12.5	12.67	-4.4100E-04	-5.8367E-04
0.95	12.5	12.67	-6.8560E-04	-9.3734E-04
1.00	12.5	12.67	-9.9830E-04	-1.3344E-03
1.05	12.5	12.67	-1.3920E-03	-1.7725E-03
1.10	12.5	12.67	-1.8390E-03	-2.2515E-03
1.15	12.5	12.67	-2.4050E-03	-2.7750E-03
1.20	12.5	12.67	-3.0200E-03	-3.3509E-03
1.25	12.5	12.67	-3.5480E-03	-3.9920E-03
1.30	12.5	12.67	-4.4800E-03	-4.7174E-03
1.35	12.5	12.67	-5.3300E-03	-5.5529E-03
1.40	12.5	12.67	-6.5480E-03	-6.5322E-03
1.45	12.5	12.67	-7.9140E-03	-7.6974E-03
1.50	12.5	12.67	-9.4780E-03	-9.1003E-03
1.55	12.5	12.67	-1.1220E-02	-1.0803E-02
1.60	12.5	12.67	-1.3400E-02	-1.2879E-02
1.65	12.5	12.67	-1.6050E-02	-1.5412E-02
1.70	12.5	12.67	-1.9170E-02	-1.8503E-02
1.75	12.5	12.67	-2.2700E-02	-2.2262E-02
1.80	12.5	12.67	-2.6810E-02	-2.6816E-02
1.85	12.5	12.67	-2.9860E-02	-3.2308E-02
1.90	12.5	12.67	-3.6640E-02	-3.8896E-02
1.95	12.5	12.67	-4.7450E-02	-4.6756E-02
0.10	15	15.2	1.7950E-07	6.9636E-04
0.15	15	15.2	6.0540E-07	-2.1512E-05
0.20	15	15.2	1.4340E-06	-3.8956E-04
0.25	15	15.2	2.7990E-06	-5.0522E-04
0.30	15	15.2	4.8340E-06	-4.5070E-04
0.35	15	15.2	7.6690E-06	-2.9415E-04
0.40	15	15.2	1.1400E-05	-9.0856E-05
0.45	15	15.2	1.5960E-05	1.1561E-04
0.50	15	15.2	2.0750E-05	2.9220E-04
0.55	15	15.2	2.4080E-05	4.1521E-04
0.60	15	15.2	2.2490E-05	4.6912E-04
0.65	15	15.2	1.0690E-05	4.4540E-04
0.70	15	15.2	-1.9240E-05	3.4135E-04
0.75	15	15.2	-1.5390E-05	1.5891E-04
0.80	15	15.2	-1.6940E-04	-9.6493E-05
0.85	15	15.2	-3.0840E-04	-4.1715E-04
0.90	15	15.2	-5.0610E-04	-7.9423E-04
0.95	15	15.2	-7.7460E-04	-1.2189E-03
1.00	15	15.2	-1.1120E-03	-1.6837E-03
1.05	15	15.2	-1.5170E-03	-2.1835E-03
1.10	15	15.2	-2.0380E-03	-2.7166E-03
1.15	15	15.2	-2.6570E-03	-3.2862E-03
1.20	15	15.2	-3.3700E-03	-3.9016E-03
1.25	15	15.2	-4.0960E-03	-4.5788E-03
1.30	15	15.2	-5.0540E-03	-5.3425E-03
1.35	15	15.2	-6.1070E-03	-6.2266E-03
1.40	15	15.2	-7.4560E-03	-7.2757E-03
1.45	15	15.2	-9.0200E-03	-8.5462E-03
1.50	15	15.2	-1.0790E-02	-1.0107E-02
1.55	15	15.2	-1.2670E-02	-1.2043E-02
1.60	15	15.2	-1.5100E-02	-1.4452E-02
1.65	15	15.2	-1.8190E-02	-1.7450E-02
1.70	15	15.2	-2.1760E-02	-2.1169E-02
1.75	15	15.2	-2.5040E-02	-2.5762E-02
1.80	15	15.2	-3.0120E-02	-3.1401E-02
1.85	15	15.2	-3.5380E-02	-3.8279E-02
1.90	15	15.2	-4.5450E-02	-4.6611E-02
1.95	15	15.2	-6.1730E-02	-5.6637E-02
0.10	17.5	17.73	1.4820E-07	8.2874E-04
0.15	17.5	17.73	5.0010E-07	-3.5133E-05
0.20	17.5	17.73	1.1850E-06	-4.7415E-04
0.25	17.5	17.73	2.3160E-06	-6.0806E-04
0.30	17.5	17.73	4.0040E-06	-5.3762E-04
0.35	17.5	17.73	6.3580E-06	-3.4605E-04
0.40	17.5	17.73	9.4440E-06	-1.0054E-04
0.45	17.5	17.73	1.3120E-05	1.4629E-04
0.50	17.5	17.73	1.6600E-05	3.5492E-04
0.55	17.5	17.73	1.7810E-05	4.9745E-04
0.60	17.5	17.73	1.2970E-05	5.5610E-04
0.65	17.5	17.73	-4.3060E-06	5.2176E-04
0.70	17.5	17.73	-4.2380E-05	3.9249E-04
0.75	17.5	17.73	-1.0980E-04	1.7207E-04
0.80	17.5	17.73	-2.1900E-04	-1.3150E-04
0.85	17.5	17.73	-3.7990E-04	-5.0747E-04
0.90	17.5	17.73	-6.0130E-04	-9.4383E-04
0.95	17.5	17.73	-8.9500E-04	-1.4288E-03
1.00	17.5	17.73	-3.2640E-03	-1.9521E-03
1.05	17.5	17.73	-3.7300E-03	-2.5069E-03
1.10	17.5	17.73	-2.2870E-03	-3.0909E-03
1.15	17.5	17.73	-2.9530E-03	-3.7077E-03
1.20	17.5	17.73	-3.7680E-03	-4.3688E-03
1.25	17.5	17.73	-4.7330E-03	-5.0946E-03
1.30	17.5	17.73	-5.7210E-03	-5.9162E-03
1.35	17.5	17.73	-6.9420E-03	-6.8764E-03
1.40	17.5	17.73	-8.4100E-03	-8.0319E-03
1.45	17.5	17.73	-1.0320E-02	-9.4542E-03
1.50	17.5	17.73	-1.2370E-02	-1.1231E-02
1.55	17.5	17.73	-1.4330E-02	-1.3469E-02
1.60	17.5	17.73	-1.6990E-02	-1.6292E-02
1.65	17.5	17.73	-2.0620E-02	-1.9847E-02
1.70	17.5	17.73	-2.4680E-02	-2.4303E-02
1.75	17.5	17.73	-2.7960E-02	-2.9852E-02
1.80	17.5	17.73	-3.4660E-02	-3.6712E-02
1.85	17.5	17.73	-4.3060E-02	-4.5127E-02
1.90	17.5	17.73	-5.8770E-02	-5.5370E-02
0.10	20	20.27	1.2440E-07	9.7901E-04
0.15	20	20.27	4.2010E-07	-4.1182E-05
0.20	20	20.27	9.9640E-07	-5.5982E-04
0.25	20	20.27	1.9480E-06	-7.1892E-04
0.30	20	20.27	3.3700E-06	-6.3771E-04
0.35	20	20.27	5.3530E-06	-4.1438E-04
0.40	20	20.27	7.9310E-06	-1.2787E-04
0.45	20	20.27	1.0860E-05	1.6026E-04
0.50	20	20.27	1.3140E-05	4.0412E-04
0.55	20	20.27	1.2320E-05	5.7164E-04
0.60	20	20.27	3.8060E-06	6.4278E-04
0.65	20	20.27	-1.9980E-05	6.0776E-04
0.70	20	20.27	-6.6540E-05	4.6523E-04
0.75	20	20.27	-1.4960E-04	2.2049E-04
0.80	20	20.27	-2.7850E-04	-1.1630E-04
0.85	20	20.27	-4.6640E-04	-5.3192E-04
0.90	20	20.27	-7.2120E-04	-1.0119E-03
0.95	20	20.27	-1.0560E-03	-1.5424E-03
1.00	20	20.27	-1.4740E-03	-2.1116E-03
1.05	20	20.27	-1.9930E-03	-2.7123E-03
1.10	20	20.27	-2.5880E-03	-3.3428E-03
1.15	20	20.27	-3.3090E-03	-4.0093E-03
1.20	20	20.27	-4.1920E-03	-4.7276E-03
1.25	20	20.27	-5.3670E-03	-5.5246E-03
1.30	20	20.27	-6.5160E-03	-6.4406E-03
1.35	20	20.27	-7.9100E-03	-7.5305E-03
1.40	20	20.27	-9.5110E-03	-8.8661E-03
1.45	20	20.27	-1.1810E-02	-1.0538E-02
1.50	20	20.27	-1.4240E-02	-1.2656E-02
1.55	20	20.27	-1.6360E-02	-1.5353E-02
1.60	20	20.27	-1.9480E-02	-1.8786E-02
1.65	20	20.27	-2.3570E-02	-2.3137E-02
1.70	20	20.27	-2.8610E-02	-2.8616E-02
1.75	20	20.27	-3.2970E-02	-3.5462E-02
1.80	20	20.27	-4.2420E-02	-4.3944E-02
1.85	20	20.27	-5.5370E-02	-5.4366E-02
0.10	22.5	22.8	1.0540E-07	1.1166E-03
0.15	22.5	22.8	3.5590E-07	-5.5264E-05
0.20	22.5	22.8	8.4450E-07	-6.4572E-04
0.25	22.5	22.8	1.6520E-06	-8.2193E-04
0.30	22.5	22.8	2.8590E-06	-7.2356E-04
0.35	22.5	22.8	4.5410E-06	-4.6498E-04
0.40	22.5	22.8	6.6940E-06	-1.3746E-04
0.45	22.5	22.8	8.9780E-06	1.8857E-04
0.50	22.5	22.8	1.0120E-06	4.6129E-04
0.55	22.5	22.8	7.1530E-06	6.4534E-04
0.60	22.5	22.8	-5.2290E-06	7.1948E-04
0.65	22.5	22.8	-3.6010E-05	6.7447E-04
0.70	22.5	22.8	-9.3070E-05	5.1079E-04
0.75	22.5	22.8	-1.9650E-04	2.3645E-04
0.80	22.5	22.8	-3.4120E-04	-1.3529E-04
0.85	22.5	22.8	-5.4940E-04	-5.8805E-04
0.90	22.5	22.8	-8.4630E-04	-1.1047E-03
0.95	22.5	22.8	-1.2340E-03	-1.6693E-03
1.00	22.5	22.8	-1.6790E-03	-2.2698E-03
1.05	22.5	22.8	-2.1760E-03	-2.8997E-03
1.10	22.5	22.8	-2.9080E-04	-3.5608E-03
1.15	22.5	22.8	-3.6560E-03	-4.2649E-03
1.20	22.5	22.8	-4.7160E-03	-5.0366E-03
1.25	22.5	22.8	-5.9220E-03	-5.9151E-03
1.30	22.5	22.8	-7.3770E-03	-6.9563E-03
1.35	22.5	22.8	-8.8830E-03	-8.2358E-03
1.40	22.5	22.8	-1.0670E-02	-9.8500E-03
1.45	22.5	22.8	-1.3160E-02	-1.1919E-02
1.50	22.5	22.8	-1.6180E-02	-1.4590E-02
1.55	22.5	22.8	-1.8860E-02	-1.8036E-02
1.60	22.5	22.8	-2.2580E-02	-2.2463E-02
1.65	22.5	22.8	-2.7280E-02	-2.8106E-02
1.70	22.5	22.8	-3.3750E-02	-3.5238E-02
1.75	22.5	22.8	-4.0600E-02	-4.4168E-02
1.80	22.5	22.8	-5.3750E-02	-5.5243E-02
1.85	22.5	22.8	-7.2400E-02	-6.8852E-02
0.10	25	25.33	9.0900E-08	1.1353E-03
0.15	25	25.33	3.0710E-07	-1.2167E-04
0.20	25	25.33	7.2900E-07	-7.2045E-04
0.25	25	25.33	1.4260E-06	-8.6086E-04
0.30	25	25.33	2.4700E-06	-7.0801E-04
0.35	25	25.33	3.9190E-06	-3.9523E-04
0.40	25	25.33	5.7320E-06	-2.7008E-05
0.45	25	25.33	7.4070E-06	3.1810E-04
0.50	25	25.33	7.2710E-06	5.8451E-04
0.55	25	25.33	1.3610E-06	7.3670E-04
0.60	25	25.33	-1.7090E-05	7.5625E-04
0.65	25	25.33	-5.5010E-05	6.3896E-04
0.70	25	25.33	-1.2790E-04	3.9187E-04
0.75	25	25.33	-2.3990E-04	3.0365E-05
0.80	25	25.33	-4.1800E-04	-4.2479E-04
0.85	25	25.33	-6.7610E-04	-9.5034E-04
0.90	25	25.33	-1.0050E-03	-1.5235E-03
0.95	25	25.33	-1.3890E-03	-2.1249E-03
1.00	25	25.33	-1.9220E-03	-2.7415E-03
1.05	25	25.33	-2.5880E-03	-3.3694E-03
1.10	25	25.33	-3.2920E-03	-4.0170E-03
1.15	25	25.33	-4.2330E-03	-4.7079E-03
1.20	25	25.33	-5.3870E-03	-5.4835E-03
1.25	25	25.33	-6.2830E-03	-6.4065E-03
1.30	25	25.33	-8.5990E-03	-7.5631E-03
1.35	25	25.33	-9.8830E-03	-9.0668E-03
1.40	25	25.33	-1.1870E-02	-1.1060E-02
1.45	25	25.33	-1.5200E-02	-1.3720E-02
1.50	25	25.33	-1.8850E-02	-1.7257E-02
1.55	25	25.33	-2.2670E-02	-2.1920E-02
1.60	25	25.33	-2.8000E-02	-2.8002E-02
1.65	25	25.33	-3.2940E-02	-3.5839E-02
1.70	25	25.33	-4.3150E-02	-4.5813E-02
1.75	25	25.33	-5.7430E-02	-5.8359E-02
1.80	25	25.33	-7.7110E-02	-7.3962E-02
















#Alpha (K^-1)
#T (K)	P (atm)	P (bar)	Alpha (K^-1)	Alpha (fit)
0.10	0	0	1.1380E-06	-1.6595E-04
0.15	0	0	3.7610E-06	-6.9891E-05
0.20	0	0	8.6820E-06	5.3983E-06
0.25	0	0	1.6460E-05	6.3802E-05
0.30	0	0	2.7500E-05	1.0874E-04
0.35	0	0	4.2190E-05	1.4317E-04
0.40	0	0	6.0750E-05	1.6959E-04
0.45	0	0	8.3350E-05	1.9002E-04
0.50	0	0	1.1010E-04	2.0602E-04
0.55	0	0	1.4080E-04	2.1869E-04
0.60	0	0	1.7490E-04	2.2867E-04
0.65	0	0	2.1120E-04	2.3611E-04
0.70	0	0	2.4970E-04	2.4074E-04
0.75	0	0	2.8180E-04	2.4177E-04
0.80	0	0	3.2330E-04	2.3799E-04
0.85	0	0	3.4500E-04	2.2770E-04
0.90	0	0	3.5980E-04	2.0875E-04
0.95	0	0	3.4970E-04	1.7852E-04
1.00	0	0	3.2940E-04	1.3392E-04
1.05	0	0	2.4950E-04	7.1396E-05
1.10	0	0	1.2250E-04	-1.3062E-05
1.15	0	0	4.8050E-04	-1.2394E-04
1.20	0	0	-2.2150E-04	-2.6618E-04
1.25	0	0	-4.5230E-04	-4.4519E-04
1.30	0	0	-7.3420E-04	-6.6684E-04
1.35	0	0	-1.1170E-03	-9.3749E-04
1.40	0	0	-1.3870E-03	-1.2639E-03
1.45	0	0	-1.9940E-03	-1.6534E-03
1.50	0	0	-2.4170E-03	-2.1137E-03
1.55	0	0	-2.9370E-03	-2.6530E-03
1.60	0	0	-3.5790E-03	-3.2800E-03
1.65	0	0	-3.9650E-03	-4.0037E-03
1.70	0	0	-5.1550E-03	-4.8338E-03
1.75	0	0	-5.5240E-03	-5.7804E-03
1.80	0	0	-6.5820E-03	-6.8539E-03
1.85	0	0	-7.9290E-03	-8.0654E-03
1.90	0	0	-8.7320E-03	-9.4262E-03
1.95	0	0	-1.0310E-02	-1.0948E-02
2.00	0	0	-1.1280E-02	-1.2644E-02
2.05	0	0	-1.4160E-02	-1.4527E-02
2.10	0	0	-1.7700E-02	-1.6609E-02
0.10	2.5	2.53	7.2580E-07	-2.7045E-04
0.15	2.5	2.53	2.4190E-06	-1.0268E-04
0.20	2.5	2.53	5.6440E-06	2.2209E-05
0.25	2.5	2.53	1.0820E-05	1.1106E-04
0.30	2.5	2.53	1.8330E-05	1.7003E-04
0.35	2.5	2.53	2.8470E-05	2.0455E-04
0.40	2.5	2.53	4.1530E-05	2.1938E-04
0.45	2.5	2.53	5.7700E-05	2.1855E-04
0.50	2.5	2.53	7.6910E-05	2.0542E-04
0.55	2.5	2.53	9.8660E-05	1.8260E-04
0.60	2.5	2.53	1.2140E-04	1.5205E-04
0.65	2.5	2.53	1.4220E-04	1.1500E-04
0.70	2.5	2.53	1.5610E-04	7.1973E-05
0.75	2.5	2.53	1.5990E-04	2.2806E-05
0.80	2.5	2.53	1.3700E-04	-3.3373E-05
0.85	2.5	2.53	9.0610E-05	-9.8137E-05
0.90	2.5	2.53	-2.9660E-06	-1.7376E-04
0.95	2.5	2.53	-1.1280E-04	-2.6323E-04
1.00	2.5	2.53	-2.6730E-04	-3.7021E-04
1.05	2.5	2.53	-4.3290E-04	-4.9909E-04
1.10	2.5	2.53	-6.5850E-04	-6.5495E-04
1.15	2.5	2.53	-8.2270E-04	-8.4358E-04
1.20	2.5	2.53	-1.0860E-03	-1.0715E-03
1.25	2.5	2.53	-1.5100E-03	-1.3458E-03
1.30	2.5	2.53	-1.7150E-03	-1.6745E-03
1.35	2.5	2.53	-2.3870E-03	-2.0661E-03
1.40	2.5	2.53	-2.9300E-03	-2.5299E-03
1.45	2.5	2.53	-3.4580E-03	-3.0759E-03
1.50	2.5	2.53	-4.1110E-03	-3.7149E-03
1.55	2.5	2.53	-4.7130E-03	-4.4582E-03
