#filename: fit_BrooksDonnelly_AlphaVsTP_5order_3d.dat
#from RhosAmps.ods Sheet 4
#Alpha (K^-1)		5th Order
#T (K)	P (bar)	Alpha (fit)
1.10	10.132500	-1.7829E-03
1.15	10.132500	-2.2521E-03
1.20	10.132500	-2.7799E-03
1.25	10.132500	-3.3766E-03
1.30	10.132500	-4.0564E-03
1.35	10.132500	-4.8380E-03
1.40	10.132500	-5.7450E-03
1.45	10.132500	-6.8067E-03
1.50	10.132500	-8.0583E-03
1.55	10.132500	-9.5420E-03
1.60	10.132500	-1.1307E-02
1.65	10.132500	-1.3410E-02
1.70	10.132500	-1.5917E-02
1.75	10.132500	-1.8902E-02
1.80	10.132500	-2.2449E-02
1.85	10.132500	-2.6652E-02
1.90	10.132500	-3.1615E-02
1.95	10.132500	-3.7453E-02
2.00	10.132500	-4.4294E-02

0.10	12.665625	5.6773E-04
0.15	12.665625	-3.2541E-06
0.20	12.665625	-3.0223E-04
0.25	12.665625	-4.0304E-04
0.30	12.665625	-3.6829E-04
0.35	12.665625	-2.5020E-04
0.40	12.665625	-9.1470E-05
0.45	12.665625	7.3864E-05
0.50	12.665625	2.1955E-04
0.55	12.665625	3.2628E-04
0.60	12.665625	3.8080E-04
0.65	12.665625	3.7506E-04
0.70	12.665625	3.0536E-04
0.75	12.665625	1.7146E-04
0.80	12.665625	-2.4242E-05
0.85	12.665625	-2.7763E-04
0.90	12.665625	-5.8367E-04
0.95	12.665625	-9.3734E-04
1.00	12.665625	-1.3344E-03
1.05	12.665625	-1.7725E-03
1.10	12.665625	-2.2515E-03
1.15	12.665625	-2.7750E-03
1.20	12.665625	-3.3509E-03
1.25	12.665625	-3.9920E-03
1.30	12.665625	-4.7174E-03
1.35	12.665625	-5.5529E-03
1.40	12.665625	-6.5322E-03
1.45	12.665625	-7.6974E-03
1.50	12.665625	-9.1003E-03
1.55	12.665625	-1.0803E-02
1.60	12.665625	-1.2879E-02
1.65	12.665625	-1.5412E-02
1.70	12.665625	-1.8503E-02
1.75	12.665625	-2.2262E-02
1.80	12.665625	-2.6816E-02
1.85	12.665625	-3.2308E-02
1.90	12.665625	-3.8896E-02
1.95	12.665625	-4.6756E-02

0.10	15.198750	6.9636E-04
0.15	15.198750	-2.1512E-05
0.20	15.198750	-3.8956E-04
0.25	15.198750	-5.0522E-04
0.30	15.198750	-4.5070E-04
0.35	15.198750	-2.9415E-04
0.40	15.198750	-9.0856E-05
0.45	15.198750	1.1561E-04
0.50	15.198750	2.9220E-04
0.55	15.198750	4.1521E-04
0.60	15.198750	4.6912E-04
0.65	15.198750	4.4540E-04
0.70	15.198750	3.4135E-04
0.75	15.198750	1.5891E-04
0.80	15.198750	-9.6493E-05
0.85	15.198750	-4.1715E-04
0.90	15.198750	-7.9423E-04
0.95	15.198750	-1.2189E-03
1.00	15.198750	-1.6837E-03
1.05	15.198750	-2.1835E-03
1.10	15.198750	-2.7166E-03
1.15	15.198750	-3.2862E-03
1.20	15.198750	-3.9016E-03
1.25	15.198750	-4.5788E-03
1.30	15.198750	-5.3425E-03
1.35	15.198750	-6.2266E-03
1.40	15.198750	-7.2757E-03
1.45	15.198750	-8.5462E-03
1.50	15.198750	-1.0107E-02
1.55	15.198750	-1.2043E-02
1.60	15.198750	-1.4452E-02
1.65	15.198750	-1.7450E-02
1.70	15.198750	-2.1169E-02
1.75	15.198750	-2.5762E-02
1.80	15.198750	-3.1401E-02
1.85	15.198750	-3.8279E-02
1.90	15.198750	-4.6611E-02
1.95	15.198750	-5.6637E-02

0.10	17.731875	8.2874E-04
0.15	17.731875	-3.5133E-05
0.20	17.731875	-4.7415E-04
0.25	17.731875	-6.0806E-04
0.30	17.731875	-5.3762E-04
0.35	17.731875	-3.4605E-04
0.40	17.731875	-1.0054E-04
0.45	17.731875	1.4629E-04
0.50	17.731875	3.5492E-04
0.55	17.731875	4.9745E-04
0.60	17.731875	5.5610E-04
0.65	17.731875	5.2176E-04
0.70	17.731875	3.9249E-04
0.75	17.731875	1.7207E-04
0.80	17.731875	-1.3150E-04
0.85	17.731875	-5.0747E-04
0.90	17.731875	-9.4383E-04
0.95	17.731875	-1.4288E-03
1.00	17.731875	-1.9521E-03
1.05	17.731875	-2.5069E-03
1.10	17.731875	-3.0909E-03
1.15	17.731875	-3.7077E-03
1.20	17.731875	-4.3688E-03
1.25	17.731875	-5.0946E-03
1.30	17.731875	-5.9162E-03
1.35	17.731875	-6.8764E-03
1.40	17.731875	-8.0319E-03
1.45	17.731875	-9.4542E-03
1.50	17.731875	-1.1231E-02
1.55	17.731875	-1.3469E-02
1.60	17.731875	-1.6292E-02
1.65	17.731875	-1.9847E-02
1.70	17.731875	-2.4303E-02
1.75	17.731875	-2.9852E-02
1.80	17.731875	-3.6712E-02
1.85	17.731875	-4.5127E-02
1.90	17.731875	-5.5370E-02

0.10	20.265000	9.7901E-04
0.15	20.265000	-4.1182E-05
0.20	20.265000	-5.5982E-04
0.25	20.265000	-7.1892E-04
0.30	20.265000	-6.3771E-04
0.35	20.265000	-4.1438E-04
0.40	20.265000	-1.2787E-04
0.45	20.265000	1.6026E-04
0.50	20.265000	4.0412E-04
0.55	20.265000	5.7164E-04
0.60	20.265000	6.4278E-04
0.65	20.265000	6.0776E-04
0.70	20.265000	4.6523E-04
0.75	20.265000	2.2049E-04
0.80	20.265000	-1.1630E-04
0.85	20.265000	-5.3192E-04
0.90	20.265000	-1.0119E-03
0.95	20.265000	-1.5424E-03
1.00	20.265000	-2.1116E-03
1.05	20.265000	-2.7123E-03
1.10	20.265000	-3.3428E-03
1.15	20.265000	-4.0093E-03
1.20	20.265000	-4.7276E-03
1.25	20.265000	-5.5246E-03
1.30	20.265000	-6.4406E-03
1.35	20.265000	-7.5305E-03
1.40	20.265000	-8.8661E-03
1.45	20.265000	-1.0538E-02
1.50	20.265000	-1.2656E-02
1.55	20.265000	-1.5353E-02
1.60	20.265000	-1.8786E-02
1.65	20.265000	-2.3137E-02
1.70	20.265000	-2.8616E-02
1.75	20.265000	-3.5462E-02
1.80	20.265000	-4.3944E-02
1.85	20.265000	-5.4366E-02

0.10	22.798125	1.1166E-03
0.15	22.798125	-5.5264E-05
0.20	22.798125	-6.4572E-04
0.25	22.798125	-8.2193E-04
0.30	22.798125	-7.2356E-04
0.35	22.798125	-4.6498E-04
0.40	22.798125	-1.3746E-04
0.45	22.798125	1.8857E-04
0.50	22.798125	4.6129E-04
0.55	22.798125	6.4534E-04
0.60	22.798125	7.1948E-04
0.65	22.798125	6.7447E-04
0.70	22.798125	5.1079E-04
0.75	22.798125	2.3645E-04
0.80	22.798125	-1.3529E-04
0.85	22.798125	-5.8805E-04
0.90	22.798125	-1.1047E-03
0.95	22.798125	-1.6693E-03
1.00	22.798125	-2.2698E-03
1.05	22.798125	-2.8997E-03
1.10	22.798125	-3.5608E-03
1.15	22.798125	-4.2649E-03
1.20	22.798125	-5.0366E-03
1.25	22.798125	-5.9151E-03
1.30	22.798125	-6.9563E-03
1.35	22.798125	-8.2358E-03
1.40	22.798125	-9.8500E-03
1.45	22.798125	-1.1919E-02
1.50	22.798125	-1.4590E-02
1.55	22.798125	-1.8036E-02
1.60	22.798125	-2.2463E-02
1.65	22.798125	-2.8106E-02
1.70	22.798125	-3.5238E-02
1.75	22.798125	-4.4168E-02
1.80	22.798125	-5.5243E-02
1.85	22.798125	-6.8852E-02

0.10	25.331250	1.1353E-03
0.15	25.331250	-1.2167E-04
0.20	25.331250	-7.2045E-04
0.25	25.331250	-8.6086E-04
0.30	25.331250	-7.0801E-04
0.35	25.331250	-3.9523E-04
0.40	25.331250	-2.7008E-05
0.45	25.331250	3.1810E-04
0.50	25.331250	5.8451E-04
0.55	25.331250	7.3670E-04
0.60	25.331250	7.5625E-04
0.65	25.331250	6.3896E-04
0.70	25.331250	3.9187E-04
0.75	25.331250	3.0365E-05
0.80	25.331250	-4.2479E-04
0.85	25.331250	-9.5034E-04
0.90	25.331250	-1.5235E-03
0.95	25.331250	-2.1249E-03
1.00	25.331250	-2.7415E-03
1.05	25.331250	-3.3694E-03
1.10	25.331250	-4.0170E-03
1.15	25.331250	-4.7079E-03
1.20	25.331250	-5.4835E-03
1.25	25.331250	-6.4065E-03
1.30	25.331250	-7.5631E-03
1.35	25.331250	-9.0668E-03
1.40	25.331250	-1.1060E-02
1.45	25.331250	-1.3720E-02
1.50	25.331250	-1.7257E-02
1.55	25.331250	-2.1920E-02
1.60	25.331250	-2.8002E-02
1.65	25.331250	-3.5839E-02
1.70	25.331250	-4.5813E-02
1.75	25.331250	-5.8359E-02
1.80	25.331250	-7.3962E-02
