# Filename: 3Dvlt_macro_cp_Tv_Op42_Kth4.147_P01.646_DK05e-07_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 10 (2012 Jul 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, R=8.31447
# Parameter values: OpA=4, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, DK0=5e-07, a0factor=548.4207880890000, KstarA=4.14677, Kthresh=4.14677
# Parameter values: Tc0=2.17349425585161, Tc1=-0.00982499579394534, Tc2=-0.000118194448444384, Tc3=-4.36914591522034e-07, Tc4=7.39407378262721e-09
# Parameter values: rho00=145.145109496329, rho10=-0.09765396930591511, rho20=0.334163407001684, rho30=-0.446930785976304, rho40=0.181879478545246, rho01=1.74477604495583, rho11=-0.09195389931790519, rho21=0.179844560873926, rho31=-0.133606331352667, rho41=0.0410225514249919, rho02=-0.0491655379690169, rho12=0.00710698898070406, rho22=-0.008230542254959171, rho32=0.000609542602247143, rho42=0.00114916775392305, rho03=0.0013415037643754, rho13=-0.000362007479155809, rho23=0.000358809384119286, rho33=6.481839543575269e-05, rho43=-0.000104112551302631, rho04=-1.69907294147191e-05, rho14=5.53820368251513e-06, rho24=-3.15773411117433e-06, rho34=-4.99967306908062e-06, rho44=3.41331223468399e-06
# Parameter values: P=1.646, Cc=1.0577252739907, K0c=0.303956391790806, Tc=2.157
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a	cp
15	1193850	0.99999974881135689	2.5118864315095823e-07	11.938499999717203	4.1468053688989341	4.6343432197741932e-06	-0.052325488559249768	13.642760735633761	8.9141018219678932e-05	3.6061198962712453e-37	153046.94750078546	                1	26617.125700268374
16	1178383	0.99999968377223403	3.1622776601683792e-07	11.783829999723059	4.1467722388964887	4.6343432159942248e-06	-0.052325468960318741	13.642650852448359	0.00010405103873172286	9.1216651757710727e-37	131114.98951609235	                1	13933.663511328765
17	1162917	0.99999960189282944	3.9810717055349692e-07	11.629169999728914	4.146780443480842	4.634343216299681e-06	-0.052325444286789119	13.642676728021494	0.00012145495246847672	2.307182953109227e-36	112327.05172366202	                1	6915.4632404136228
18	1147451	0.9999994988127664	5.011872336272725e-07	11.474509999734769	4.1467887349954369	4.6343432169053587e-06	-0.052325413224740047	13.642702600351415	0.00014176990115008595	5.8356594732306447e-36	96231.305020862288	                1	3216.523252198574
19	1131985	0.99999936904265552	6.3095734448019296e-07	11.319849999740624	4.1467971025836636	4.6343432177966144e-06	-0.052325374120071821	13.64272835882837	0.00016548279255651803	1.4760390563614256e-35	82441.975676527887	                1	1404.2658089757945
20	1116519	0.99999920567176526	7.943282347242822e-07	11.165189999746479	4.146805515239441	4.6343432189438485e-06	-0.052325324890418808	13.64275380716033	0.00019316197435077155	3.7334106042663513e-35	70628.568863071559	                1	610.65332691213143
21	1101052	0.99999899999999997	9.9999999999999995e-07	11.010519999752335	4.1467725987152209	4.6343432147427853e-06	-0.05232526291429114	13.642642707762437	0.00022547086273233216	9.4436464877135706e-35	60507.342467387054	                1	323.61772883330235
22	1085586	0.99999874107458819	1.2589254117941661e-06	10.85585999975819	4.1467811934789385	4.6343432145016443e-06	-0.052325184891478006	13.642667451601678	0.00026318382765135842	2.3886231043588994e-34	51837.028032262766	                1	249.99048727366761
23	1070120	0.99999841510680754	1.5848931924611141e-06	10.701199999764045	4.1467898972694694	4.6343432143158646e-06	-0.052325086667377403	13.642691639478205	0.0003072047690549077	6.0416496341411465e-34	44409.114094969678	                1	237.89755631918558
24	1054654	0.99999800473768508	1.9952623149688829e-06	 10.5465399997699	4.1467987628978138	4.63434321405739e-06	-0.05232496301179973	13.642715208306882	0.00035858877306275722	1.5281410547580808e-33	38045.572625664012	                1	232.99095715015673
