#filename: a0VsTP.dat
# from RhosAmps.ods NewDat sheet
0.50	2.4273592635	2.4275331524	2.4276132520	2.4276386845	2.4276405100	2.4276417149	2.4276572085	2.4276938237	2.4277503167	2.4278173663	2.4278775706	2.4279054452	2.4278674265	2.4277218849	2.4274191578	2.4269016096	2.4261037325	2.4249522995	2.4233665846	2.4212586662	2.4185338309	2.4150910927	2.4108238473	2.4056206739	2.3993663018	2.3919427485
1.00	2.4258520791	2.4260792638	2.4261917305	2.4262337480	2.4262407694	2.4262394140	2.4262474611	2.4262738499	2.4263186796	2.4263732084	2.4264198514	2.4264321790	2.4263749206	2.4262039809	2.4258664765	2.4253008057	2.4244367624	2.4231957126	2.4214908472	2.4192275324	2.4163037751	2.4126108242	2.4080339274	2.4024532605	2.3957450457	2.3877828696
2.00	2.4259012802	2.4262182408	2.4263831792	2.4264505608	2.4264645385	2.4264589213	2.4264571615	2.4264723529	2.4265072310	2.4265541730	2.4265951955	2.4266019526	2.4265357404	2.4263475154	2.4259779386	2.4253574605	2.4244064635	2.4230354829	2.4211455283	2.4186285302	2.4153679377	2.4112394934	2.4061122101	2.3998495730	2.3923109865	2.3833534769
5.00	2.4467575413	2.4472189256	2.4474496863	2.4475348239	2.4475444609	2.4475337692	2.4475429439	2.4475972022	2.4477067876	2.4478669700	2.4480580376	2.4482452814	2.4483789822	2.4483944132	2.4482118819	2.4477368365	2.4468600722	2.4454580769	2.4433935606	2.4405162161	2.4366637648	2.4316633339	2.4253332173	2.4174850570	2.4079264776	2.3964641860
10.00	2.5316691681	2.5319794782	2.5320317441	2.5319663457	2.5318995715	2.5319235596	2.5321063276	2.5324918309	2.5331000040	2.5339267550	2.5349439007	2.5360990451	2.5373154187	2.5384917150	2.5395019753	2.5401955901	2.5403975027	2.5399087155	2.5385072157	2.5359494434	2.5319724365	2.5262967768	2.5186304549	2.5086737421	2.4961251136	2.4806882149
15.00	2.6584789708	2.6581239538	2.6576242539	2.6571910377	2.6569966416	2.6571748072	2.6578209984	2.6589926634	2.6607093472	2.6629525953	2.6656656304	2.6687528186	2.6720789806	2.6754686465	2.6787053921	2.6815314415	2.6836477673	2.6847149611	2.6843551874	2.6821555557	2.6776732524	2.6704427437	2.6599852953	2.6458209350	2.6274828104	2.6045336685
20.00	2.8181184402	2.8164811330	2.8149959689	2.8139767447	2.8136715728	2.8142641014	2.8158745968	2.8185605953	2.8223169395	2.8270751048	2.8327018213	2.8389970928	2.8456918175	2.8524453381	2.8588433719	2.8643969181	2.8685428772	2.8706472472	2.8700118515	2.8658855652	2.8574809108	2.8439966307	2.8246463924	2.7986931216	2.7654876199	2.7245091952
25.00	3.0146348933	3.0109023681	3.0078845814	3.0060569388	3.0057790927	3.0072988020	3.0107547102	3.0161774135	3.0234884704	3.0324972580	3.0428958466	3.0542523536	3.0660035814	3.0774481456	3.0877417706	3.0958969220	3.1007894117	3.1011749222	3.0957183956	3.0830387028	3.0617697700	3.0306372533	2.9885469962	2.9346782221	2.8685713677	2.7901985668
30.00	3.2640718363	3.2570761326	3.2517740983	3.2489086735	3.2490148985	3.2524304226	3.2593017577	3.2695849002	3.2830396926	3.2992180048	3.3174465989	3.3368065189	3.3561121103	3.3738943550	3.3883950317	3.3975800023	3.3991811489	3.3907762998	3.3699138542	3.3342828178	3.2819193726	3.2114290784	3.1221923337	3.0145142368	2.8896828201	2.7499136507
40.00	4.0576962398	4.0373837798	4.0233997255	4.0177598326	4.0218029458	4.0362602727	4.0612825978	4.0964180206	4.1405372255	4.1917082441	4.2470307873	4.3024542608	4.3526255644	4.3908419422	4.4092131898	4.3991484979	4.3522476374	4.2615671599	4.1230535227	3.9367525562	3.7073411369	3.4436843065	3.1574711195	2.8613420884	2.5670784578	2.2843084513
50.00	5.7357385048	5.6756640137	5.6381319555	5.6296007170	5.6543281597	5.7148795861	5.8122785499	5.9457399515	6.1119146293	6.3035780948	6.5077804016	6.7037440742	6.8613639622	6.9419790109	6.9035881778	6.7115823050	6.3523355092	5.8424706053	5.2265748873	4.5632859032	3.9079058446	3.3006211248	2.7634579640	2.3034147764	1.9177254638	1.5985813628
60.00	10.1232238107	9.8865774937	9.7558466076	9.7578390736	9.9137713324	10.2453967456	10.7784985713	11.5432951301	12.5691701665	13.8669875985	15.3862305376	16.9343370248	18.0847787425	18.2207928871	16.9134376804	14.3914557483	11.4178624543	8.6818510773	6.4846833012	4.8370758474	3.6364900260	2.7673934728	2.1351566108	1.6703647675	1.3242335870	1.0629410421
