#filename: a0VsTP_3d.dat
# from RhosAmps.ods Sheet2
#T (K)	P (bar)	a0 (angstrom)
1.0	0.40	2.4283005090
1.0	0.45	2.4280834483
1.0	0.50	2.4278775706
1.0	1.00	2.4264198514
1.0	2.00	2.4265951955
1.0	5.00	2.4480580376
1.0	10.00	2.5349439007
1.0	15.00	2.6656656304
1.0	20.00	2.8327018213
1.0	25.00	3.0428958466
1.0	30.00	3.3174465989
1.0	40.00	4.2470307873
1.0	50.00	6.5077804016
1.0	60.00	15.3862305376

1.1	0.00	2.4304996241
1.1	0.05	2.4301878995
1.1	0.10	2.4298879780
1.1	0.15	2.4295997918
1.1	0.20	2.4293232731
1.1	0.25	2.4290583548
1.1	0.30	2.4288049701
1.1	0.35	2.4285630525
1.1	0.40	2.4283325361
1.1	0.45	2.4281133554
1.1	0.50	2.4279054452
1.1	1.00	2.4264321790
1.1	2.00	2.4266019526
1.1	5.00	2.4482452814
1.1	10.00	2.5360990451
1.1	15.00	2.6687528186
1.1	20.00	2.8389970928
1.1	25.00	3.0542523536
1.1	30.00	3.3368065189
1.1	40.00	4.3024542608
1.1	50.00	6.7037440742
1.1	60.00	16.9343370248

1.2	0.00	2.4304909782
1.2	0.05	2.4301758529
1.2	0.10	2.4298726345
1.2	0.15	2.4295812547
1.2	0.20	2.4293016457
1.2	0.25	2.4290337399
1.2	0.30	2.4287774702
1.2	0.35	2.4285327701
1.2	0.40	2.4282995732
1.2	0.45	2.4280778138
1.2	0.50	2.4278674265
1.2	1.00	2.4263749206
1.2	2.00	2.4265357404
1.2	5.00	2.4483789822
1.2	10.00	2.5373154187
1.2	15.00	2.6720789806
1.2	20.00	2.8456918175
1.2	25.00	3.0660035814
1.2	30.00	3.3561121103
1.2	40.00	4.3526255644
1.2	50.00	6.8613639622
1.2	60.00	18.0847787425

1.3	0.00	2.4303823566
1.3	0.05	2.4300630121
1.3	0.10	2.4297556925
1.3	0.15	2.4294603293
1.3	0.20	2.4291768541
1.3	0.25	2.4289051992
1.3	0.30	2.4286452972
1.3	0.35	2.4283970811
1.3	0.40	2.4281604844
1.3	0.45	2.4279354409
1.3	0.50	2.4277218849
1.3	1.00	2.4262039809
1.3	2.00	2.4263475154
1.3	5.00	2.4483944132
1.3	10.00	2.5384917150
1.3	15.00	2.6754686465
1.3	20.00	2.8524453381
1.3	25.00	3.0774481456
1.3	30.00	3.3738943550
1.3	40.00	4.3908419422
1.3	50.00	6.9419790109
1.3	60.00	18.2207928871

1.4	0.00	2.4301273245
1.4	0.05	2.4298026189
1.4	0.10	2.4294900707
1.4	0.15	2.4291896109
1.4	0.20	2.4289011710
1.4	0.25	2.4286246826
1.4	0.30	2.4283600780
1.4	0.35	2.4281072900
1.4	0.40	2.4278662515
1.4	0.45	2.4276368961
1.4	0.50	2.4274191578
1.4	1.00	2.4258664765
1.4	2.00	2.4259779386
1.4	5.00	2.4482118819
1.4	10.00	2.5395019753
1.4	15.00	2.6787053921
1.4	20.00	2.8588433719
1.4	25.00	3.0877417706
1.4	30.00	3.3883950317
1.4	40.00	4.4092131898
1.4	50.00	6.9035881778
1.4	60.00	16.9134376804

1.5	0.00	2.4296722234
1.5	0.05	2.4293406162
1.5	0.10	2.4290213137
1.5	0.15	2.4287142463
1.5	0.20	2.4284193450
1.5	0.25	2.4281365410
1.5	0.30	2.4278657662
1.5	0.35	2.4276069528
1.5	0.40	2.4273600334
1.5	0.45	2.4271249411
1.5	0.50	2.4269016096
1.5	1.00	2.4253008057
1.5	2.00	2.4253574605
1.5	5.00	2.4477368365
1.5	10.00	2.5401955901
1.5	15.00	2.6815314415
1.5	20.00	2.8643969181
1.5	25.00	3.0958969220
1.5	30.00	3.3975800023
1.5	40.00	4.3991484979
1.5	50.00	6.7115823050
1.5	60.00	14.3914557483

1.6	0.00	2.4289562568
1.6	0.05	2.4286157356
1.6	0.10	2.4282876813
1.6	0.15	2.4279720236
1.6	0.20	2.4276686928
1.6	0.25	2.4273776199
1.6	0.30	2.4270987361
1.6	0.35	2.4268319731
1.6	0.40	2.4265772630
1.6	0.45	2.4263345385
1.6	0.50	2.4261037325
1.6	1.00	2.4244367624
1.6	2.00	2.4244064635
1.6	5.00	2.4468600722
1.6	10.00	2.5403975027
1.6	15.00	2.6836477673
1.6	20.00	2.8685428772
1.6	25.00	3.1007894117
1.6	30.00	3.3991811489
1.6	40.00	4.3522476374
1.6	50.00	6.3523355092
1.6	60.00	11.4178624543

1.7	0.00	2.4279116213
1.7	0.05	2.4275596302
1.7	0.10	2.4272202833
1.7	0.15	2.4268935094
1.7	0.20	2.4265792386
1.7	0.25	2.4262774010
1.7	0.30	2.4259879272
1.7	0.35	2.4257107484
1.7	0.40	2.4254457962
1.7	0.45	2.4251930024
1.7	0.50	2.4249522995
1.7	1.00	2.4231957126
1.7	2.00	2.4230354829
1.7	5.00	2.4454580769
1.7	10.00	2.5399087155
1.7	15.00	2.6847149611
1.7	20.00	2.8706472472
1.7	25.00	3.1011749222
1.7	30.00	3.3907762998
1.7	40.00	4.2615671599
1.7	50.00	5.8424706053
1.7	60.00	8.6818510773

1.8	0.00	2.4264636948
1.8	0.05	2.4260970657
1.8	0.10	2.4257432740
1.8	0.15	2.4254022473
1.8	0.20	2.4250739149
1.8	0.25	2.4247582064
1.8	0.30	2.4244550516
1.8	0.35	2.4241643810
1.8	0.40	2.4238861253
1.8	0.45	2.4236202160
1.8	0.50	2.4233665846
1.8	1.00	2.4214908472
1.8	2.00	2.4211455283
1.8	5.00	2.4433935606
1.8	10.00	2.5385072157
1.8	15.00	2.6843551874
1.8	20.00	2.8700118515
1.8	25.00	3.0957183956
1.8	30.00	3.3699138542
1.8	40.00	4.1230535227
1.8	50.00	5.2265748873
1.8	60.00	6.4846833012

1.9	0.00	2.4245312951
1.9	0.05	2.4241461845
1.9	0.10	2.4237741203
1.9	0.15	2.4234150290
1.9	0.20	2.4230688392
1.9	0.25	2.4227354795
1.9	0.30	2.4224148790
1.9	0.35	2.4221069672
1.9	0.40	2.4218116741
1.9	0.45	2.4215289302
1.9	0.50	2.4212586662
1.9	1.00	2.4192275324
1.9	2.00	2.4186285302
1.9	5.00	2.4405162161
1.9	10.00	2.5359494434
1.9	15.00	2.6821555557
1.9	20.00	2.8658855652
1.9	25.00	3.0830387028
1.9	30.00	3.3342828178
1.9	40.00	3.9367525562
1.9	50.00	4.5632859032
1.9	60.00	4.8370758474

2.0	0.00	2.4220270235
2.0	0.05	2.4216188537
2.0	0.10	2.4212239564
2.0	0.15	2.4208422562
2.0	0.20	2.4204736809
2.0	0.25	2.4201181582
2.0	0.30	2.4197756161
2.0	0.35	2.4194459831
2.0	0.40	2.4191291882
