T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
2	-1	56.2005	6.46677e+24	1.14819e-97	5.29991e+47	1.14819e-97	3.07063e-97	2.20347e+97
2	-1	56.4005	7.89853e+24	5.15915e-98	7.90653e+47	5.15915e-98	1.37972e-97	4.90391e+97
2	-1	56.6005	9.64729e+24	2.31816e-98	1.17952e+48	2.31816e-98	6.1995e-98	1.09138e+98
2	-1	56.8005	1.17832e+25	1.04161e-98	1.75963e+48	1.04161e-98	2.78561e-98	2.42892e+98
2	-1	57.0005	1.43921e+25	4.68028e-99	2.62506e+48	4.68028e-99	1.25166e-98	5.40566e+98
2	-1	57.2005	1.75785e+25	2.10298e-99	3.91613e+48	2.10298e-99	5.62406e-99	1.20305e+99
2	-1	57.4005	2.14704e+25	9.44931e-100	5.84218e+48	9.44931e-100	2.52705e-99	2.67744e+99
2	-1	57.6005	2.62241e+25	4.24585e-100	8.71551e+48	4.24585e-100	1.13548e-99	5.95876e+99
2	-1	57.8005	3.20301e+25	1.90778e-100	1.3002e+49	1.90778e-100	5.10203e-100	1.32615e+100
2	-1	58.0005	3.91217e+25	8.57222e-101	1.93967e+49	8.57222e-101	2.29249e-100	2.95139e+100
2	-1	58.2005	4.77833e+25	3.85175e-101	2.89365e+49	3.85175e-101	1.03008e-100	6.56845e+100
2	-1	58.4005	5.83627e+25	1.7307e-101	4.31682e+49	1.7307e-101	4.62846e-101	1.46183e+101
2	-1	58.6005	7.12844e+25	7.77655e-102	6.43994e+49	7.77655e-102	2.0797e-101	3.25337e+101
2	-1	58.8005	8.70669e+25	3.49423e-102	9.60726e+49	3.49423e-102	9.34469e-102	7.24051e+101
2	-1	59.0005	1.06344e+26	1.57006e-102	1.43323e+50	1.57006e-102	4.19884e-102	1.61141e+102
2	-1	59.2005	1.29889e+26	7.05472e-103	2.13814e+50	7.05472e-103	1.88666e-102	3.58625e+102
2	-1	59.4005	1.58646e+26	3.16989e-103	3.18972e+50	3.16989e-103	8.47731e-103	7.98134e+102
2	-1	59.6005	1.93771e+26	1.42432e-103	4.75851e+50	1.42432e-103	3.8091e-103	1.77628e+103
2	-1	59.8005	2.36672e+26	6.3999e-104	7.09886e+50	6.3999e-104	1.71154e-103	3.95319e+103
2	-1	60.0005	2.89072e+26	2.87566e-104	1.05903e+51	2.87566e-104	7.69044e-104	8.79798e+103
2	-1	60.2006	3.53109e+26	1.2916e-104	1.5802e+51	1.2916e-104	3.45416e-104	1.95881e+104
2	-1	60.4006	4.31288e+26	5.80354e-105	2.35738e+51	5.80354e-105	1.55205e-104	4.35941e+104
2	-1	60.6006	5.26777e+26	2.6077e-105	3.51679e+51	2.6077e-105	6.97382e-105	9.70205e+104
2	-1	60.8006	6.43407e+26	1.17171e-105	5.24644e+51	1.17171e-105	3.13354e-105	2.15923e+105
2	-1	61.0006	7.85859e+26	5.26485e-106	7.82676e+51	5.26485e-106	1.40799e-105	4.80545e+105
2	-1	61.2006	9.5985e+26	2.36565e-106	1.16762e+52	2.36565e-106	6.32651e-106	1.06947e+106
2	-1	61.4006	1.17236e+27	1.06295e-106	1.74188e+52	1.06295e-106	2.84268e-106	2.38016e+106
2	-1	61.6006	1.43193e+27	4.77616e-107	2.59858e+52	4.77616e-107	1.2773e-106	5.29714e+106
2	-1	61.8006	1.74896e+27	2.14607e-107	3.87662e+52	2.14607e-107	5.73928e-107	1.1789e+107
2	-1	62.0006	2.13619e+27	9.64291e-108	5.78324e+52	9.64291e-108	2.57882e-107	2.62369e+107
2	-1	62.2006	2.60914e+27	4.33284e-108	8.62758e+52	4.33284e-108	1.15874e-107	5.83913e+107
2	-1	62.4006	3.18681e+27	1.94687e-108	1.28708e+53	1.94687e-108	5.20656e-108	1.29952e+108
2	-1	62.6006	3.89238e+27	8.74785e-109	1.9201e+53	8.74785e-109	2.33946e-108	2.89214e+108
2	-1	62.8006	4.75417e+27	3.93066e-109	2.86446e+53	3.93066e-109	1.05119e-108	6.43657e+108
2	-1	63.0006	5.80675e+27	1.76616e-109	4.27327e+53	1.76616e-109	4.72328e-109	1.43249e+109
2	-1	63.2006	7.09239e+27	7.93587e-110	6.37497e+53	7.93587e-110	2.12231e-109	3.18806e+109
2	-1	63.4006	8.66266e+27	3.56582e-110	9.51033e+53	3.56582e-110	9.53614e-110	7.09515e+109
2	-1	63.6006	1.05806e+28	1.60222e-110	1.41877e+54	1.60222e-110	4.28487e-110	1.57905e+110
2	-1	63.8006	1.29232e+28	7.19926e-111	2.11656e+54	7.19926e-111	1.92531e-110	3.51425e+110
2	-1	64.0006	1.57844e+28	3.23484e-111	3.15754e+54	3.23484e-111	8.65099e-111	7.82111e+110
2	-1	64.2006	1.92791e+28	1.45351e-111	4.7105e+54	1.45351e-111	3.88714e-111	1.74062e+111
2	-1	64.4006	2.35476e+28	6.53102e-112	7.02724e+54	6.53102e-112	1.74661e-111	3.87382e+111
2	-1	64.6006	2.8761e+28	2.93458e-112	1.04834e+55	2.93458e-112	7.848e-112	8.62134e+111
2	-1	64.8006	3.51288e+28	1.31859e-112	1.56394e+55	1.31859e-112	3.52634e-112	1.91872e+112
2	-1	65.0006	4.29064e+28	5.92481e-113	2.33313e+55	5.92481e-113	1.58448e-112	4.27018e+112
2	-1	65.2006	5.2406e+28	2.66219e-113	3.48061e+55	2.66219e-113	7.11955e-113	9.50346e+112
2	-1	65.4006	6.40089e+28	1.1962e-113	5.19247e+55	1.1962e-113	3.19902e-113	2.11503e+113
2	-1	65.6006	7.81806e+28	5.37487e-114	7.74625e+55	5.37487e-114	1.43741e-113	4.70709e+113
2	-1	65.8006	9.549e+28	2.41508e-114	1.1556e+56	2.41508e-114	6.45871e-114	1.04758e+114
