T/Tc	1-T/Tc	l	a	K	y	Kr	Kr/K0	a0/Kr
0.99999	1e-05	10.6001	101551	0.659468	0.00556748	0.659468	0.881806	3.83643
0.99999	1e-05	10.8001	124035	0.659138	0.0054887	0.659138	0.881365	3.83834
0.99999	1e-05	11.0001	151497	0.658818	0.00541213	0.658818	0.880938	3.84021
0.99999	1e-05	11.2001	185039	0.658508	0.00533769	0.658508	0.880522	3.84202
0.99999	1e-05	11.4001	226007	0.658205	0.00526529	0.658205	0.880118	3.84379
0.99999	1e-05	11.6001	276045	0.657912	0.00519484	0.657912	0.879725	3.8455
0.99999	1e-05	11.8001	337162	0.657626	0.00512627	0.657626	0.879343	3.84717
0.99999	1e-05	12.0001	411811	0.657348	0.0050595	0.657348	0.878971	3.8488
0.99999	1e-05	12.2001	502987	0.657077	0.00499446	0.657077	0.878609	3.85039
0.99999	1e-05	12.4001	614350	0.656813	0.00493109	0.656813	0.878256	3.85193
0.99999	1e-05	12.6001	750368	0.656556	0.00486931	0.656556	0.877913	3.85344
0.99999	1e-05	12.8001	916502	0.656306	0.00480907	0.656306	0.877578	3.85491
0.99999	1e-05	13.0001	1.11942e+06	0.656062	0.00475032	0.656062	0.877252	3.85634
0.99999	1e-05	13.2001	1.36726e+06	0.655824	0.004693	0.655824	0.876934	3.85774
0.99999	1e-05	13.4001	1.66998e+06	0.655592	0.00463705	0.655592	0.876624	3.85911
0.99999	1e-05	13.6001	2.03971e+06	0.655366	0.00458243	0.655366	0.876321	3.86044
0.99999	1e-05	13.8001	2.49131e+06	0.655145	0.00452909	0.655145	0.876025	3.86174
0.99999	1e-05	14.0001	3.04289e+06	0.654929	0.00447698	0.654929	0.875737	3.86302
0.99999	1e-05	14.2001	3.7166e+06	0.654718	0.00442607	0.654718	0.875455	3.86426
0.99999	1e-05	14.4001	4.53946e+06	0.654512	0.00437631	0.654512	0.875179	3.86547
0.99999	1e-05	14.6001	5.54451e+06	0.654311	0.00432766	0.654311	0.87491	3.86666
0.99999	1e-05	14.8001	6.77208e+06	0.654114	0.00428008	0.654114	0.874648	3.86783
0.99999	1e-05	15.0001	8.27144e+06	0.653922	0.00423355	0.653922	0.87439	3.86896
0.99999	1e-05	15.2001	1.01028e+07	0.653734	0.00418802	0.653734	0.874139	3.87008
0.99999	1e-05	15.4001	1.23395e+07	0.65355	0.00414347	0.65355	0.873893	3.87116
0.99999	1e-05	15.6001	1.50715e+07	0.65337	0.00409986	0.65337	0.873653	3.87223
0.99999	1e-05	15.8001	1.84084e+07	0.653194	0.00405716	0.653194	0.873417	3.87327
0.99999	1e-05	16.0001	2.24841e+07	0.653022	0.00401535	0.653022	0.873187	3.8743
0.99999	1e-05	16.2001	2.74622e+07	0.652853	0.00397439	0.652853	0.872961	3.8753
0.99999	1e-05	16.4001	3.35423e+07	0.652688	0.00393426	0.652688	0.87274	3.87628
0.99999	1e-05	16.6001	4.09687e+07	0.652526	0.00389494	0.652526	0.872523	3.87724
0.99999	1e-05	16.8001	5.00393e+07	0.652367	0.0038564	0.652367	0.872311	3.87818
0.99999	1e-05	17.0001	6.11181e+07	0.652212	0.00381862	0.652212	0.872104	3.87911
