#T/Tc	1-T/Tc	l	K	y	F	a	Kr/K0	a0/Kr
1.00794	-0.00794328	100	4.5079e-253	3.75608e+251	-2.02513e+121	6.80094e+43	5.46761e-296	1.50867e+296
1.01	-0.01	100	1.79264e-253	9.44533e+251	-5.09253e+121	6.80094e+43	2.17872e-296	3.79381e+296
1.01259	-0.0125893	100	7.13969e-254	2.37154e+252	-1.27864e+122	6.80094e+43	8.6996e-297	9.52553e+296
1.01585	-0.0158489	100	2.84913e-254	5.94289e+252	-3.20416e+122	6.80094e+43	3.48279e-297	2.38703e+297
1.01995	-0.0199526	100	1.13976e-254	1.48558e+253	-8.00964e+122	6.80094e+43	1.39888e-297	5.96699e+297
1.02512	-0.0251189	100	4.57369e-255	3.70205e+253	-1.99599e+123	6.80094e+43	5.64193e-298	1.48697e+298
1.03162	-0.0316228	100	1.84259e-255	9.18929e+253	-4.95449e+123	6.80094e+43	2.28736e-298	3.69097e+298
1.03981	-0.0398107	100	7.46004e-256	2.2697e+254	-1.22373e+124	6.80094e+43	9.3343e-299	9.11649e+298
1.05012	-0.0501187	100	3.03922e-256	5.57118e+254	-3.00375e+124	6.80094e+43	3.8405e-299	2.23772e+299
1.0631	-0.0630957	100	1.2479e-256	1.35684e+255	-7.31553e+124	6.80094e+43	1.59639e-299	5.44989e+299
1.07943	-0.0794328	100	5.17419e-257	3.27241e+255	-1.76435e+125	6.80094e+43	6.72086e-300	1.3144e+300
1.1	-0.1	100	2.17158e-257	7.79712e+255	-4.20388e+125	6.80094e+43	2.87445e-300	3.13179e+300
1.12589	-0.125893	100	9.2515e-258	1.8302e+256	-9.86766e+125	6.80094e+43	1.25342e-300	7.35117e+300
1.15849	-0.158489	100	4.01421e-258	4.21802e+256	-2.27418e+126	6.80094e+43	5.59602e-301	1.69421e+301
1.19953	-0.199526	100	1.78076e-258	9.5083e+256	-5.12649e+126	6.80094e+43	2.57041e-301	3.81911e+301
1.25119	-0.251189	100	8.11131e-259	2.08746e+257	-1.12547e+127	6.80094e+43	1.22124e-301	8.38451e+301
1.31623	-0.316228	100	3.8112e-259	4.44271e+257	-2.39533e+127	6.80094e+43	6.03642e-302	1.78446e+302
1.39811	-0.398107	100	1.85606e-259	9.1226e+257	-4.91853e+127	6.80094e+43	3.12261e-302	3.66419e+302
1.50119	-0.501187	100	9.4125e-260	1.79889e+258	-9.69887e+127	6.80094e+43	1.7003e-302	7.22543e+302
1.63096	-0.630957	100	4.99168e-260	3.39206e+258	-1.82886e+128	6.80094e+43	9.79662e-303	1.36245e+303
1.79433	-0.794328	100	2.77802e-260	6.09501e+258	-3.28618e+128	6.80094e+43	5.99824e-303	2.44812e+303
2	-1	100	1.62644e-260	1.04105e+259	-5.61291e+128	6.80094e+43	3.91431e-303	4.18148e+303
