#T/Tc	1-T/Tc	l	K	y	F	a	Kr/K0	a0/Kr
1.01585	-0.0158489	2.0001	0.278371	0.132947	-0.0579307	18.6962	0.123781	67.1629
1.01995	-0.0199526	2.0001	0.253527	0.161706	-0.0592826	18.6962	0.11319	73.7443
1.02512	-0.0251189	2.0001	0.224345	0.206601	-0.0610484	18.6962	0.100669	83.3366
1.03162	-0.0316228	2.0001	0.191039	0.280249	-0.0633816	18.6962	0.0862671	97.8658
1.03981	-0.0398107	2.0001	0.154595	0.408186	-0.0665152	18.6962	0.0703643	120.936
1.05012	-0.0501187	2.0001	0.117087	0.64482	-0.0708203	18.6962	0.0538205	159.678
1.0631	-0.0630957	2.0001	0.0816622	1.1112	-0.0769259	18.6962	0.0380011	228.945
1.07943	-0.0794328	2.0001	0.0517905	2.08406	-0.0859699	18.6962	0.0244708	360.996
1.1	-0.1	2.0001	0.0297906	4.20004	-0.10014	18.6962	0.0143442	627.586
1.12589	-0.125893	2.0001	0.015728	8.9031	-0.123822	18.6962	0.00775125	1188.72
1.15849	-0.158489	2.0001	0.00780632	19.3748	-0.165989	18.6962	0.00395859	2395.01
1.19953	-0.199526	2.0001	0.00374672	42.3651	-0.244892	18.6962	0.00196727	4990.01
1.25119	-0.251189	2.0001	0.00178333	91.5705	-0.396745	18.6962	0.000976691	10483.9
1.31623	-0.316228	2.0001	0.000858154	193.364	-0.690447	18.6962	0.000494423	21786.5
1.39811	-0.398107	2.0001	0.000423302	395.485	-1.24994	18.6962	0.000259056	44167.4
1.50119	-0.501187	2.0001	0.000216145	778.292	-2.28316	18.6962	0.000142031	86498.3
1.63096	-0.630957	2.0001	0.000115054	1466.05	-4.11118	18.6962	8.21387e-05	162499
1.79433	-0.794328	2.0001	6.41627e-05	2632.81	-7.18334	18.6962	5.0395e-05	291387
2	-1	2.0001	3.76088e-05	4495.56	-12.0596	18.6962	3.29247e-05	497122
