# Filename: 3Dvlt_macro_Tv_Op12_Cc0.20_lmax100_dl0.0001.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063
# Parameter values: OpA=1, OpB=2, A3=41.3417022403997549418, THETA=0.6, N=3, Cc=0.2, K0c=0.934654978121809, lmax=100, lsteps=1000000, (dl=0.0001), lpts=1000001, a0=1, a03=1, a06=1
# Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
46	1000000	0.99968377223398319	0.00031622776601683794	100.00000000219612	1.0611895514142692e+41	                0	-0.10518680831587937	1.1350220120208343e+41	0.0042223681099007237	                0	2.6881171477195552e+43	                1
47	1000000	0.99960189282944645	0.00039810717055349773	100.00000000219612	1.2387941842787202e+41	                0	-0.10515048889644099	1.3248749971026599e+41	0.0049286356371284184	                0	2.6881171477195552e+43	                1
48	1000000	0.99949881276637276	0.00050118723362727253	100.00000000219612	1.446155791558764e+41	                0	-0.10510482886151301	1.5464861693058057e+41	0.0057530460330486562	                0	2.6881171477195552e+43	                1
49	1000000	0.99936904265551985	0.00063095734448019429	100.00000000219612	1.6882753592471876e+41	                0	-0.10504744251442776	1.8051689329256205e+41	0.0067153655652880395	                0	2.6881171477195552e+43	                1
50	1000000	0.99920567176527575	0.00079432823472428218	100.00000000219612	1.9710016081004221e+41	                0	-0.10497534315502524	2.1071261930578976e+41	0.0078386695120242923	                0	2.6881171477195552e+43	                1
51	1000000	            0.999	            0.001	100.00000000219612	2.3011781515940318e+41	                0	-0.10488479579828174	2.459599560537338e+41	0.0091498972156921123	                0	2.6881171477195552e+43	                1
52	1000000	0.99874107458820582	0.0012589254117941688	100.00000000219612	2.6868178431152407e+41	                0	-0.10477113580309762	2.8710437569679971e+41	0.01068050088294562	                0	2.6881171477195552e+43	                1
53	1000000	0.99841510680753887	0.0015848931924611141	100.00000000219612	3.1373101152337262e+41	                0	-0.10462854647960235	3.3513305841305103e+41	0.012467204366348347	                0	2.6881171477195552e+43	                1
54	1000000	0.99800473768503106	0.0019952623149688828	100.00000000219612	3.6636686967650704e+41	                0	-0.10444978779494953	3.9119876342255639e+41	0.014552891184613255	                0	2.6881171477195552e+43	                1
55	1000000	0.99748811356849043	0.002511886431509582	100.00000000219612	4.2788292727961066e+41	                0	-0.10422586745675262	4.566477940533457e+41	0.016987644844300761	                0	2.6881171477195552e+43	                1
56	1000000	0.99683772233983159	0.0031622776601683794	100.00000000219612	4.9980096588734017e+41	                0	-0.10394564508086186	5.3305280356988925e+41	0.019829969241560056	                0	2.6881171477195552e+43	                1
57	1000000	0.99601892829446503	0.0039810717055349778	100.00000000219612	5.8391493274396493e+41	                0	-0.10359536009093562	6.2225135385838869e+41	0.023148223074514109	                0	2.6881171477195552e+43	                1
58	1000000	0.99498812766372724	0.0050118723362727246	100.00000000219612	6.8234512274364401e+41	                0	-0.10315807481043181	7.2639135508963521e+41	0.027022310233237569	                0	2.6881171477195552e+43	                1
59	1000000	0.99369042655519801	0.0063095734448019424	100.00000000219612	7.976057784496399e+41	                0	-0.10261302640587444	8.4798481232421246e+41	0.031545679214300397	                0	2.6881171477195552e+43	                1
60	1000000	0.99205671765275716	0.0079432823472428207	100.00000000219612	9.326906189804698e+41	                0	-0.10193488563834371	9.8997171759641059e+41	0.036827699954826966	                0	2.6881171477195552e+43	                1
