# Filename: 3Dvlt_macro_Tv_Op12_Cc1.00_lmax100_dl1e-05.dat
# Source: 3Dvlt_macro.c
# Source version: 10 (2012 Jul 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, A3=41.3417022403997549418, THETA=0.6
# Parameter values: OpA=1, OpB=2, N=3, Cc=1, K0c=0.315036006898573, lmax=100, lsteps=10000000, (dl=1e-05), lpts=10000001, a0=1, a03=1, a06=1
Data-pt	l-Step	T/Tc	1-T/Tc	l	K	y	e	K/K0	Ks/K0	G	a/a0	ac'/a
49	10000000	0.999369	0.000630957	100	1.42626e+41	0	-0.0540558	4.52445e+41	0.0168313	0	2.68812e+43	1
50	10000000	0.999206	0.000794328	100	1.66495e+41	0	-0.0540059	5.28076e+41	0.0196448	0	2.68812e+43	1
51	10000000	0.999	0.001	100	1.94363e+41	0	-0.0539432	6.16336e+41	0.0229282	0	2.68812e+43	1
52	10000000	0.998741	0.00125893	100	2.269e+41	0	-0.0538645	7.19327e+41	0.0267595	0	2.68812e+43	1
53	10000000	0.998415	0.00158489	100	2.64892e+41	0	-0.0537658	8.39498e+41	0.0312299	0	2.68812e+43	1
54	10000000	0.998005	0.00199526	100	3.09257e+41	0	-0.0536421	9.79699e+41	0.0364455	0	2.68812e+43	1
55	10000000	0.997488	0.00251189	100	3.61071e+41	0	-0.053487	1.14325e+42	0.0425297	0	2.68812e+43	1
56	10000000	0.996838	0.00316228	100	4.21592e+41	0	-0.0532931	1.334e+42	0.0496259	0	2.68812e+43	1
57	10000000	0.996019	0.00398107	100	4.92294e+41	0	-0.0530507	1.55644e+42	0.0579007	0	2.68812e+43	1
58	10000000	0.994988	0.00501187	100	5.74909e+41	0	-0.0527482	1.81575e+42	0.0675474	0	2.68812e+43	1
59	10000000	0.99369	0.00630957	100	6.71468e+41	0	-0.0523713	2.11795e+42	0.0787895	0	2.68812e+43	1
60	10000000	0.992057	0.00794328	100	7.84363e+41	0	-0.0519026	2.46998e+42	0.0918852	0	2.68812e+43	1
