l	K	y

# DK0 = 2.5	(data set 1)
0	5	2.66237e-24

# DK0 = 0.0390625	(data set 2)
2.2644	0.392896	0.0599928
2.2977	0.393236	0.0598872
2.331	0.393588	0.0597753
2.3643	0.393954	0.0596568
2.3976	0.394334	0.0595316
2.4309	0.394729	0.0593994
2.4642	0.39514	0.05926
2.4975	0.39557	0.059113
2.5308	0.396018	0.0589584
2.5641	0.396486	0.0587956
2.5974	0.396976	0.0586245
2.6307	0.397488	0.0584447
2.664	0.398024	0.0582559
2.6973	0.398586	0.0580577
2.7306	0.399174	0.0578498
2.7639	0.399792	0.0576318
2.7972	0.400439	0.0574032
2.8305	0.401118	0.0571638
2.8638	0.40183	0.056913
2.8971	0.402578	0.0566504
2.9304	0.403363	0.0563757
2.9637	0.404188	0.0560882
2.997	0.405054	0.0557876
3.0303	0.405963	0.0554733
3.0636	0.406919	0.0551449
3.0969	0.407924	0.0548019
3.1302	0.40898	0.0544437
3.1635	0.41009	0.0540698
3.1968	0.411256	0.0536797
3.2301	0.412483	0.0532729
3.2634	0.413772	0.0528489
3.2967	0.415128	0.052407
3.33	0.416554	0.0519468
3.3633	0.418054	0.0514677
3.3966	0.419632	0.0509693
3.4299	0.421291	0.0504509
3.4632	0.423037	0.0499122
3.4965	0.424873	0.0493526
3.5298	0.426805	0.0487717
3.5631	0.428838	0.0481691
3.5964	0.430978	0.0475443
3.6297	0.433229	0.0468969
3.663	0.435598	0.0462268
3.6963	0.438091	0.0455335
3.7296	0.440715	0.0448168
3.7629	0.443478	0.0440767
3.7962	0.446386	0.0433129
3.8295	0.449447	0.0425255
3.8628	0.45267	0.0417145
3.8961	0.456063	0.0408801
3.9294	0.459635	0.0400224
3.9627	0.463397	0.0391418
3.996	0.467359	0.0382388
4.0293	0.47153	0.0373139
4.0626	0.475923	0.0363678
4.0959	0.48055	0.0354014
4.1292	0.485423	0.0344154
4.1625	0.490556	0.0334111
4.1958	0.495961	0.0323897
4.2291	0.501655	0.0313526
4.2624	0.507652	0.0303013
4.2957	0.513969	0.0292374
4.329	0.520623	0.0281629
4.3623	0.527631	0.0270798
4.3956	0.535012	0.0259901
4.4289	0.542786	0.0248962
4.4622	0.550974	0.0238004
4.4955	0.559595	0.0227053
4.5288	0.568674	0.0216135
4.5621	0.578232	0.0205277
4.5954	0.588294	0.0194508
4.6287	0.598886	0.0183855
4.662	0.610033	0.0173347
4.6953	0.621762	0.0163012
4.7286	0.6341	0.0152878
4.7619	0.647078	0.0142974
4.7952	0.660723	0.0133325
4.8285	0.675066	0.0123957
4.8618	0.690139	0.0114894
4.8951	0.705973	0.0106158
4.9284	0.7226	0.00977678
4.9617	0.740053	0.00897414
4.995	0.758366	0.00820934
5.0283	0.777572	0.00748357
5.0616	0.797706	0.00679773
5.0949	0.818801	0.00615238
5.1282	0.840893	0.00554779
5.1615	0.864015	0.00498393
5.1948	0.888203	0.00446044
5.2281	0.913492	0.00397668
5.2614	0.939917	0.00353174
5.2947	0.967512	0.00312443
5.328	0.996312	0.00275337
5.3613	1.02635	0.00241696
5.3946	1.05767	0.00211345
5.4279	1.0903	0.00184096
5.4612	1.12427	0.00159751
5.4945	1.15962	0.00138105
5.5278	1.1964	0.00118953
5.5611	1.23463	0.00102089
5.5944	1.27435	0.000873091
5.6277	1.31561	0.000744167
5.661	1.35844	0.000632222
5.6943	1.40288	0.000535455
5.7276	1.44899	0.000452174
