# Filename: 3Dvlt_macro_cp_P12.130_DK05e-07_i1000.dat
# Source: 3Dvlt_macro_cp.c
# Source version: 8 (2011 Oct 31 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=12.13, Cc=0.792892311014899, K0c=0.365728618362282, Tc=2.03631
# T/Tc	1-T/Tc	l	Kr	K	y	e	amax	Kr/K0	K/K0	G	cp
            0.463	            0.537	 1.86839999999981	0.771891434710866	 5.00025360696318	2.43594458915908e-06	-0.00100631330990536	 16.4459396803078	0.977188320322018	 6.33015111147429	4.98971215392063e-14	 1.00784491137435
            0.462	            0.538	 1.86589999999981	0.773800298258067	  5.0001031825439	2.42090032240597e-06	-0.000991636409533219	  16.404888539893	0.977489099420435	 6.31628905793477	5.03381731448602e-14	0.995514288675107
            0.461	            0.539	 1.86349999999981	0.775715197226153	 5.00046125885912	2.40692648691437e-06	-0.000977116895882713	 16.3655761525581	0.977787047463215	 6.30306879088845	5.07732865517445e-14	0.985385093661203
             0.46	             0.54	 1.86099999999981	0.777636258646754	 5.00032845859233	2.39194414709294e-06	-0.000962753768470142	 16.3247252315946	0.978082274718696	 6.28922915918491	5.12195783723079e-14	0.973621118210484
            0.459	            0.541	 1.85849999999981	0.779563493958404	 5.00020474663946	2.37699675411019e-06	-0.000948546035830359	  16.283976098178	0.978374744993185	 6.27540165980133	5.16685289723484e-14	0.962535082985101
            0.458	            0.542	 1.85599999999981	0.781496953800171	 5.00009030356073	2.3620847267018e-06	-0.000934492704257097	 16.2433285031613	0.978664471058499	 6.26158644430268	5.21201374429725e-14	0.952292813851934
            0.457	            0.543	 1.85359999999981	0.783436651261566	  5.0004850914488	2.3482195999278e-06	-0.000920592783480686	  16.204402557192	0.978951418212176	 6.24840816949254	5.25655016125295e-14	0.940079283810471
            0.456	            0.544	 1.85109999999981	 0.78538271412024	 5.00038972254294	2.33337301903328e-06	-0.000906845275344759	 16.1639532490363	0.979235694604763	 6.23461659546941	5.30223416465862e-14	0.929872334004381
            0.455	            0.545	 1.84859999999981	0.787335156277181	 5.00030416929873	2.31856305430216e-06	-0.000893249190840792	 16.1236047452631	0.979517265316262	 6.22083775455938	5.3481834700311e-14	0.919523548632479
            0.454	            0.546	 1.84609999999981	0.789294030288654	 5.00022861508149	2.30379010101158e-06	-0.00087980353879213	 16.0833567989266	0.979796143259663	 6.20707179386845	5.39439785803901e-14	0.909054912897737
            0.453	            0.547	 1.84359999999981	0.791259389202852	 5.00016324397821	2.28905454864833e-06	-0.000866507328710414	 16.0432091636351	0.980072341382455	 6.19331885939099	5.44087707559032e-14	0.896840014972147
            0.452	            0.548	 1.84109999999981	0.793231286565179	 5.00010824080841	2.2743567809587e-06	-0.000853359570818468	 16.0031615935502	0.980345872666435	 6.17957909601335	5.48762083528598e-14	0.886984234316852
            0.451	            0.549	 1.83859999999981	 0.79520977642345	 5.00006379113417	2.25969717599633e-06	-0.000840359276073718	 15.9632138433859	 0.98061675012732	 6.16585264751618	5.53462881486547e-14	0.876240264639797
             0.45	             0.55	 1.83609999999981	0.797194913333235	 5.00003008127086	2.24507610617129e-06	-0.000827505456191722	 15.9233656684075	0.980884986814455	 6.15213965657748	5.58190065665184e-14	0.865365802256673
            0.449	            0.551	 1.83359999999981	 0.79918675236322	 5.00000729829752	2.23049393829822e-06	-0.000814797123670117	  15.883616824431	 0.98115059581045	 6.13844026477507	5.62943596699141e-14	0.855276996964152
            0.448	            0.552	 1.83119999999981	0.801185312392242	 5.00049542552066	2.21690562610283e-06	-0.000802233294677472	  15.845551543751	  0.9814135452648	 6.12536683802563	5.67627318184077e-14	0.844444395437196
            0.447	            0.553	 1.82869999999982	0.803190723097591	 5.00049506213725	2.20239609223645e-06	-0.000789812977622161	 15.8059966761338	0.981673938540354	 6.11169370005712	5.72432596392254e-14	0.834716059168032
            0.446	            0.554	 1.82609999999982	 0.80520304067344	 5.00000639319389	2.18698443164077e-06	-0.000777535187486788	 15.7649638449084	0.981931787970221	 6.09742508352323	5.77361822135076e-14	0.825146527419706
            0.445	            0.555	 1.82359999999982	0.807222249326196	 5.00002920422821	2.17256142953258e-06	-0.000765398945880142	 15.7256098940745	0.982187017681861	 6.08378148214124	5.82220273013976e-14	 0.81488388999196
            0.444	            0.556	 1.82109999999982	0.809248443332894	 5.00006388938687	2.15817908123346e-06	-0.000753403266713008	 15.6863540615464	 0.98243968560285	 6.07015217138042	5.87104817982303e-14	0.804215351571436
            0.443	            0.557	 1.81859999999982	0.811281680957914	 5.00011064056218	2.14383772101216e-06	-0.000741547167695675	 15.6471961064231	0.982689805008218	 6.05653728627513	5.92015394899975e-14	0.795213216833049
            0.442	            0.558	 1.81609999999982	0.813322021018393	 5.00016965048831	2.12953767788373e-06	-0.000729829667496855	 15.6081357883479	0.982937389203787	 6.04293696077834	5.96951937630586e-14	0.784785548780982
            0.441	            0.559	 1.81359999999982	0.815369522890188	 5.00024111275294	2.11527927565845e-06	-0.000718249785770015	 15.5691728675069	0.983182451525802	 6.02935132776435	6.01914375983617e-14	 0.77488442923548
             0.44	             0.56	 1.81109999999982	0.817424246513839	 5.00032522180878	2.10106283298916e-06	-0.000706806543180223	 15.5303071046286	0.983425005340467	 6.01578051903079	6.06902635656006e-14	0.766259120505093
            0.439	            0.561	 1.80859999999982	 0.81948625240068	 5.00042217298554	2.08688866341966e-06	-0.000695498961431124	 15.4915382609825	0.983665064043565	 6.00222466530129	6.11916638173903e-14	0.756161309940069
            0.438	            0.562	 1.80599999999982	0.821555636833568	 5.00003234848356	2.07186451039664e-06	-0.0006843260604045	 15.4513208890303	0.983902683209363	  5.9880853143038	6.1706075418718e-14	0.746867552177589
            0.437	            0.563	 1.80349999999982	0.823632390945055	 5.00015555969338	2.05778173273844e-06	-0.000673286869737114	 15.4127490271964	0.984137791717611	 5.97456110864567	6.22126804766322e-14	0.738554864898738
            0.436	            0.564	 1.80099999999982	0.825716612340705	 5.00029220305982	2.04374210664692e-06	-0.000662380411527959	 15.3742733620209	0.984370445475852	 5.96105224222431	6.27218336068868e-14	0.725993516278216
            0.435	            0.565	 1.79849999999982	0.827808363877612	 5.00044247752324	2.02974592566503e-06	-0.000651605711911486	 15.3358936569527	0.984600657994059	 5.94755884147933	6.32335252145137e-14	0.717119757629148
            0.434	            0.566	 1.79589999999982	0.829907743591076	 5.00010675562187	2.01492535922924e-06	-0.00064096179530574	 15.2960799914947	0.984828483839735	 5.93348790055663	6.37585353758446e-14	0.709445624063426
            0.433	            0.567	 1.79339999999982	0.832014746248047	 5.00028487363274	2.00102272046087e-06	-0.000630447696018745	 15.2578953177902	0.985053854244835	 5.92002715012654	6.42753544317976e-14	0.699625491880984
            0.432	            0.568	 1.79089999999982	0.834129471258709	   5.000477223828	1.98716434631559e-06	-0.000620062440913778	 15.2198058882292	0.985276824103533	 5.90658223676073	6.47946802811427e-14	0.690192634594383
            0.431	            0.569	 1.78829999999982	 0.83625201803684	 5.00018416949738	1.97250058506768e-06	-0.000609805058113758	  15.180293363184	0.985497447226977	  5.8925642371213	6.53275543096172e-14	0.681919266143064
             0.43	             0.57	 1.78579999999982	0.838382384154245	 5.00040556976386	1.95873724672039e-06	-0.000599674585733346	 15.1423975090554	 0.98571565659983	 5.87915270242415	6.58519395345864e-14	0.672708959830819
            0.429	            0.571	 1.78319999999982	 0.84052070422905	 5.00014197380537	1.94418127209923e-06	-0.000589670051616319	 15.1030858039529	0.985931545988773	 5.86517105598134	6.63900297009085e-14	0.664129306083996
            0.428	            0.572	 1.78069999999982	0.842666977749235	  5.0003932371957	1.93051389507567e-06	-0.000579790496563672	 15.0653825538181	0.986145049549855	 5.85179337374075	6.69194238043807e-14	0.655445301572059
            0.427	            0.573	 1.77809999999982	0.844821339990018	 5.00015991066405	1.91606646047839e-06	-0.000570034951156699	 15.0262706601938	0.986356259980723	   5.837848543038	6.7462677090251e-14	0.647009489743511
            0.426	            0.574	 1.77559999999982	0.846983792383533	 5.00044185818297	1.90249593396682e-06	-0.000560402459004466	 14.9887590471419	0.986565112599339	 5.82450517852511	6.79970253980297e-14	0.638912794519535
            0.425	            0.575	 1.77299999999982	0.849154470891368	 5.00023962003077	1.88815775727633e-06	-0.000550892053549858	 14.9498459612479	 0.98677169903981	 5.81059761751541	6.85453843646057e-14	0.630014794519768
            0.424	            0.576	 1.77039999999982	0.851333411903636	 5.00005324427767	1.87387764137613e-06	-0.000541502778427783	  14.911033844937	0.986975994013075	  5.7967095522005	6.9096323432348e-14	 0.62180725027569
            0.423	            0.577	 1.76789999999982	0.853520653142912	 5.00038275815439	1.86045669952022e-06	-0.000532233678787652	 14.8738097456666	0.987177973373183	 5.78341918160771	6.96380305833724e-14	0.613694860230832
            0.422	            0.578	 1.76529999999982	0.855716331639773	 5.00022871289483	1.84628681252802e-06	-0.000523083792602624	 14.8351949304041	0.987377727149247	 5.76956904901385	7.01939804499742e-14	0.605241831844619
            0.421	            0.579	 1.76269999999982	 0.85792048633177	 5.00009115335147	1.83217538948163e-06	-0.000514052168140841	 14.7966803191594	0.987575230954156	 5.75573873597108	7.07524600927581e-14	0.596608334326333
             0.42	             0.58	 1.76019999999982	0.860133157510391	 5.00047012289993	1.81890573122883e-06	-0.00050513785528071	 14.7597415549798	0.987770461529792	 5.74250235330932	7.13013773492237e-14	0.588951111794334
            0.419	            0.581	 1.75759999999982	0.862354483346668	 5.00036615488001	1.80490543397121e-06	-0.000496339896817221	 14.7214227487646	0.987963507313865	 5.72871061684136	7.18647621327546e-14	0.581133656758374
            0.418	            0.582	 1.75499999999982	0.864584505394652	 5.00027930545463	1.79096396803677e-06	-0.000487657345943566	 14.6832033864312	0.988154344807039	 5.71493901417804	7.24306207562646e-14	0.572621030197373
            0.417	            0.583	 1.75239999999982	0.866823298436144	 5.00020978720254	1.77708143356198e-06	-0.000479089254652356	 14.6450832124957	0.988342987941439	   5.701187647279	7.299893321131e-14	0.564726238474174
            0.416	            0.584	 1.74979999999982	0.869070937988003	  5.0001578138111	1.76325792704089e-06	-0.00047063467667706	 14.6070619720897	0.988529450667387	 5.68745661703989	7.35696788148926e-14	0.557563943663183
            0.415	            0.585	 1.74719999999982	0.871327500310479	 5.00012360009182	1.74949354138484e-06	-0.000462292667525828	 14.5691394109592	0.988713746952818	 5.67374602329481	7.4142836200886e-14	0.548972030027011
            0.414	            0.586	 1.74459999999982	0.873593062415699	 5.00010736199626	1.73578836598136e-06	-0.000454062284515474	 14.5313152754634	0.988895890782712	 5.66005596481902	7.47183833114612e-14	0.541645975919655
            0.413	            0.587	 1.74199999999982	0.875867702076136	 5.00010931663154	1.72214248675128e-06	-0.00044594258680581	 14.4935893125733	0.989075896158391	 5.64638653933076	7.5296297388486e-14	0.533717217943759
