# Filename: 3Dvlt_macro_cp_table_long_Rho.dat
# Source: 3Dvlt_macro_cp_table.c
# Source version: 1 (2011 Oct 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# T (K)	P (bar)	Rho or Alpha etc (kg/m^3 or K^-1 etc)
1.40	10.133	159.1063670292603
1.45	10.133	159.1581586228532
1.50	10.133	159.2213011456493
1.55	10.133	159.2973481954847
1.60	10.133	159.3879498494566
1.65	10.133	159.4948526639237
1.70	10.133	159.6198996745058
1.75	10.133	159.7650303960841
1.80	10.133	159.9322808228011
1.85	10.133	160.1237834280603
1.90	10.133	160.3417671645269
1.95	10.133	 160.588557464127
2.00	10.133	160.8665762380483
2.05	10.133	161.1783418767392
2.10	10.133	161.5264692499102
0.10	12.666	161.5910804937097
0.15	12.666	161.5750309936392
0.20	12.666	161.5646164485437
0.25	12.666	161.5587082235143
0.30	12.666	  161.55629199949
0.35	12.666	 161.556467773257
0.40	12.666	161.5584498574491
0.45	12.666	161.5615668805474
0.50	12.666	161.5652617868807
0.55	12.666	 161.569091836625
0.60	12.666	161.5727286058037
0.65	12.666	161.5759579862882
0.70	12.666	161.5786801857967
0.75	12.666	161.5809097278951
0.80	12.666	 161.582775451997
0.85	12.666	161.5845205133631
0.90	12.666	161.5865023831018
0.95	12.666	161.5891928481689
1.00	12.666	161.5931780113675
1.05	12.666	161.5991582913483
1.10	12.666	161.6079484226094
1.15	12.666	161.6204774554966
1.20	12.666	161.6377887562028
1.25	12.666	161.6610400067685
1.30	12.666	161.6915032050817
1.35	12.666	 161.730564664878
1.40	12.666	161.7797250157399
1.45	12.666	 161.840599203098
1.50	12.666	161.9149164882302
1.55	12.666	162.0045204482615
1.60	12.666	162.1113689761647
1.65	12.666	162.2375342807601
1.70	12.666	162.3852028867152
1.75	12.666	162.5566756345451
1.80	12.666	162.7543676806124
1.85	12.666	 162.980808497127
1.90	12.666	163.2386418721466
1.95	12.666	163.5306259095758
2.00	12.666	163.8596330291671
2.05	12.666	164.2286499665205
2.10	12.666	164.6407777730831
0.10	15.199	164.0468617732628
0.15	15.199	164.0283504372262
0.20	15.199	164.0163910322929
0.25	15.199	 164.009667469089
0.30	15.199	164.0069967740685
0.35	15.199	164.0073290895122
0.40	15.199	164.0097476735286
0.45	15.199	164.0134689000532
0.50	15.199	164.0178422588494
0.55	15.199	164.0223503555073
0.60	15.199	164.0266089114448
0.65	15.199	164.0303667639069
0.70	15.199	164.0335058659662
0.75	15.199	164.0360412865223
0.80	15.199	164.0381212103024
0.85	15.199	164.0400269378609
0.90	15.199	164.0421728855799
0.95	15.199	164.0451065856683
1.00	15.199	164.0495086861627
1.05	15.199	164.0561929509269
1.10	15.199	164.0661062596522
1.15	15.199	 164.080328607857
1.20	15.199	164.1000731068874
1.25	15.199	164.1266859839165
1.30	15.199	164.1616465819448
1.35	15.199	164.2065673598004
1.40	15.199	164.2631938921384
1.45	15.199	164.3334048694416
1.50	15.199	164.4192120980199
1.55	15.199	164.5227605000105
1.60	15.199	164.6463281133783
1.65	15.199	 164.792326091915
1.70	15.199	164.9632987052401
1.75	15.199	165.1619233388003
1.80	15.199	165.3910104938696
1.85	15.199	165.6535037875493
1.90	15.199	165.9524799527682
1.95	15.199	166.2911488382826
2.00	15.199	166.6728534086756
2.05	15.199	167.1010697443579
2.10	15.199	167.5794070415679
0.10	17.732	166.3513227147579
0.15	17.732	166.3297679474613
0.20	17.732	166.3158337265186
0.25	17.732	166.3079915955246
0.30	17.732	166.3048672369291
0.35	17.732	166.3052404720363
0.40	17.732	166.3080452610053
0.45	17.732	166.3123697028499
0.50	17.732	166.3174560354387
0.55	17.732	166.3227006354951
0.60	17.732	166.3276540185968
0.65	17.732	166.3320208391766
0.70	17.732	166.3356598905222
0.75	17.732	166.3385841047755
0.80	17.732	166.3409605529335
0.85	17.732	 166.343110444848
0.90	17.732	166.3455091292252
0.95	17.732	166.3487860936263
1.00	17.732	166.3537249644669
1.05	17.732	166.3612635070181
1.10	17.732	166.3724936254046
1.15	17.732	166.3886613626067
1.20	17.732	166.4111669004592
1.25	17.732	166.4415645596515
1.30	17.732	166.4815627997279
1.35	17.732	166.5330242190873
1.40	17.732	166.5979655549832
1.45	17.732	166.6785576835242
1.50	17.732	166.7771256196734
1.55	17.732	166.8961485172487
1.60	17.732	167.0382596689226
1.65	17.732	167.2062465062224
1.70	17.732	167.4030505995302
1.75	17.732	167.6317676580828
1.80	17.732	167.8956475299719
1.85	17.732	168.1980942021432
1.90	17.732	168.5426658003982
1.95	17.732	168.9330745893923
2.00	17.732	169.3731869726361
2.05	17.732	169.8670234924947
2.10	17.732	 170.418758830188
0.10	20.265	168.5263095299551
0.15	20.265	168.5012705311128
0.20	20.265	168.4850959452682
0.25	20.265	168.4760068717327
0.30	20.265	168.4724035603485
0.35	20.265	168.4728654114874
0.40	20.265	168.4761509760526
0.45	20.265	168.4811979554769
0.50	20.265	168.4871232017238
0.55	20.265	168.4932227172871
0.60	20.265	168.4989716551909
0.65	20.265	  168.50402431899
0.70	20.265	168.5082141627693
0.75	20.265	168.5115537911439
0.80	20.265	168.5142349592596
0.85	20.265	168.5166285727926
0.90	20.265	168.5192846879493
0.95	20.265	168.5229325114666
1.00	20.265	168.5284804006115
1.05	20.265	168.5370158631819
1.10	20.265	168.5498055575055
1.15	20.265	 168.568295292441
1.20	20.265	168.5941100273766
1.25	20.265	168.6290538722319
1.30	20.265	168.6751100874561
1.35	20.265	168.7344410840294
1.40	20.265	168.8093884234615
1.45	20.265	168.9024728177934
1.50	20.265	169.0163941295962
1.55	20.265	 169.154031371971
1.60	20.265	169.3184427085497
1.65	20.265	169.5128654534942
1.70	20.265	169.7407160714974
1.75	20.265	170.0055901777818
1.80	20.265	 170.311262538101
1.85	20.265	170.6616870687384
1.90	20.265	171.0609968365082
1.95	20.265	171.5135040587546
2.00	20.265	172.0237001033526
2.05	20.265	172.5962554887071
2.10	20.265	 173.236019883754
0.10	22.798	170.5773899360021
0.15	22.798	170.5487909695795
0.20	22.798	170.5304747469366
0.25	22.798	170.5203587465318
0.30	22.798	170.5165708692255
0.35	22.798	  170.51744943828
0.40	22.798	170.5215431993599
0.45	22.798	170.5276113205313
0.50	22.798	 170.534623392263
0.55	22.798	170.5417594274251
0.60	22.798	170.5484098612907
0.65	22.798	170.5541755515337
0.70	22.798	170.5588677782312
0.75	22.798	170.5625082438616
0.80	22.798	170.5653290733055
0.85	22.798	170.5677728138457
0.90	22.798	170.5704924351668
0.95	22.798	170.5743513293556
1.00	22.798	 170.580423310901
1.05	22.798	170.5899926166937
1.10	22.798	170.6045539060264
1.15	22.798	170.6258122605943
1.20	22.798	170.6556831844939
1.25	22.798	170.6962926042243
1.30	22.798	170.7499768686866
1.35	22.798	170.8192827491838
1.40	22.798	170.9069674394206
1.45	22.798	171.0159985555044
1.50	22.798	171.1495541359441
1.55	22.798	171.3110226416508
1.60	22.798	171.5040029559377
1.65	22.798	171.7323043845201
1.70	22.798	 171.999946655515
1.75	22.798	172.3111599194418
1.80	22.798	172.6703847492217
1.85	22.798	 173.082272140178
1.90	22.798	 173.551683510036
1.95	22.798	174.0836906989232
2.00	22.798	 174.683575969369
2.05	22.798	175.3568320063046
2.10	22.798	176.1091619170638
0.10	25.331	172.4938531554352
0.15	25.331	172.4622078188906
0.20	25.331	172.4424128342664
0.25	25.331	172.4320118486472
0.30	25.331	172.4287992410822
0.35	25.331	172.4308201225847
0.40	25.331	172.4363703361327
0.45	25.331	172.4439964566685
0.50	25.331	172.4524957910987
0.55	25.331	172.4609163782944
0.60	25.331	172.4685569890913
0.65	25.331	172.4749671262888
0.70	25.331	172.4799470246517
0.75	25.331	172.4835476509085
0.80	25.331	172.4860707037523
0.85	25.331	172.4880686138408
0.90	25.331	172.4903445437954
0.95	25.331	 172.493952388203
1.00	25.331	172.5001967736141
1.05	25.331	172.5106330585439
1.10	25.331	172.5270673334716
1.15	25.331	172.5515564208415
1.20	25.331	172.5864078750618
1.25	25.331	172.6341799825051
1.30	25.331	172.6976817615088
1.35	25.331	172.7799729623744
1.40	25.331	172.8843640673676
1.45	25.331	173.0144162907192
1.50	25.331	173.1739415786235
1.55	25.331	173.3670026092399
1.60	25.331	173.5979127926919
1.65	25.331	173.8712362710674
1.70	25.331	 174.191787918419
1.75	25.331	174.5646333407632
1.80	25.331	174.9950888760814
1.85	25.331	175.4887215943189
1.90	25.331	 176.051349297386
1.95	25.331	176.6890405191569
2.00	25.331	177.4081145254706
2.05	25.331	  178.21514131413
2.10	25.331	179.1169416149029
