# Filename: 3Dvlt_macro_cp_table_long_Alpha.dat
# Source: 3Dvlt_macro_cp_table.c
# Source version: 1 (2011 Oct 29 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# T (K)	P (bar)	Rho or Alpha etc (kg/m^3 or K^-1 etc)
1.55	10.133	-0.009887867789584906
1.60	10.133	-0.01158819758178986
1.65	10.133	-0.01356958615170169
1.70	10.133	-0.01590536947137589
1.75	10.133	-0.01868828062987835
1.80	10.133	-0.02203349856470219
1.85	10.133	-0.02608189984650122
1.90	10.133	-0.03100351351693303
1.95	10.133	-0.0370011789801481
2.00	10.133	-0.04431440694726346
2.05	10.133	-0.05322344343449503
2.10	10.133	-0.06405353681427706
0.10	12.666	-0.0003402897656494414
0.15	12.666	0.0001162871238253227
0.20	12.666	0.0002757552815498003
0.25	12.666	0.0002583951589290746
0.30	12.666	0.0001532839247838379
0.35	12.666	2.302979497392858e-05
0.40	12.666	-9.183909531654354e-05
0.45	12.666	-0.0001688312766314864
0.50	12.666	-0.0001997939876357108
0.55	12.666	-0.000187560674842787
0.60	12.666	-0.0001429439496848607
0.65	12.666	-8.207400291689666e-05
0.70	12.666	-2.408247636569117e-05
0.75	12.666	1.086820799438932e-05
0.80	12.666	3.21006161008424e-06
0.85	12.666	-6.475071440185942e-05
0.90	12.666	-0.0002078994303533893
0.95	12.666	-0.0004377240664353889
1.00	12.666	-0.0007620718884653738
1.05	12.666	-0.001185251521035942
1.10	12.666	-0.001708480477926148
1.15	12.666	-0.002330678149933582
1.20	12.666	-0.00304960424996327
1.25	12.666	-0.003863342715525978
1.30	12.666	-0.004772131068525698
1.35	12.666	-0.00578053523240124
1.40	12.666	-0.006899969806618361
1.45	12.666	-0.008151563798479394
1.50	12.666	-0.009569371812313071
1.55	12.666	-0.01120393069590581
1.60	12.666	-0.01312616164440045
1.65	12.666	-0.01543161776141339
1.70	12.666	-0.01824507707766043
1.75	12.666	-0.02172548102663396
1.80	12.666	-0.02607121837788628
1.85	12.666	-0.03152575462763374
1.90	12.666	-0.03838360684647646
1.95	12.666	-0.04699666398467039
2.00	12.666	-0.05778085263464616
2.05	12.666	-0.07122314825095932
2.10	12.666	-0.08788893182744251
0.10	15.199	-0.0004218553981065533
0.15	15.199	0.0001522010514799874
0.20	15.199	0.0003454457702450753
0.25	15.199	0.0003153861813270602
0.30	15.199	0.000177551359314356
0.35	15.199	1.207497178428509e-05
0.40	15.199	-0.0001302151284997353
0.45	15.199	-0.0002222006607336711
0.50	15.199	-0.0002553700225625523
0.55	15.199	-0.0002352087459074545
0.60	15.199	-0.0001770833021468147
0.65	15.199	-0.0001026182566193261
0.70	15.199	-3.656677249636552e-05
0.75	15.199	-4.174463972073453e-06
0.80	15.199	-2.903659881014695e-05
0.85	15.199	-0.0001314486502341158
0.90	15.199	-0.0003272501981470485
0.95	15.199	-0.0006271621797095256
1.00	15.199	-0.001036617489244399
1.05	15.199	-0.001556084927510151
1.10	15.199	-0.002181886500260077
1.15	15.199	-0.002907508066269909
1.20	15.199	-0.003725403334476796
1.25	15.199	-0.004629291210763192
1.30	15.199	-0.005616946493823549
1.35	15.199	-0.006693483920476806
1.40	15.199	-0.00787513556038244
1.45	15.199	-0.009193521560003748
1.50	15.199	-0.01070041423594614
1.55	15.199	-0.01247299551753422
1.60	15.199	-0.01461960773910476
1.65	15.199	-0.01728599778107331
1.70	15.199	-0.02066205456079362
1.75	15.199	-0.0249890398726702
1.80	15.199	-0.03056731257729473
1.85	15.199	-0.0377645461406102
1.90	15.199	-0.04702443952153335
1.95	15.199	-0.05887592140953757
2.00	15.199	-0.07394284781164284
2.05	15.199	-0.09295419298821894
2.10	15.199	-0.1167547337386425
0.10	17.732	-0.0004899563315297825
0.15	17.732	0.0001862007985304264
0.20	17.732	0.0004064732754315538
0.25	17.732	0.0003625279449919951
0.30	17.732	0.0001940012108824941
0.35	17.732	-3.167703574480135e-06
0.40	17.732	-0.0001690395462433787
0.45	17.732	-0.0002726138796430764
0.50	17.732	-0.0003054039770499614
0.55	17.732	-0.0002756477712315859
0.60	17.732	-0.0002031548558145101
0.65	17.732	-0.0001147895392850911
0.70	17.732	-4.058995162409262e-05
0.75	17.732	-1.052320357413164e-05
0.80	17.732	-5.187659853216758e-05
0.85	17.732	-0.0001872848970946098
0.90	17.732	-0.0004333936341941458
0.95	17.732	-0.0008001584889614777
1.00	17.732	-0.001290780707062761
1.05	17.732	-0.001902278575867139
1.10	17.732	-0.00262669495202239
1.15	17.732	-0.003452940841931484
1.20	17.732	-0.00436927503457224
1.25	17.732	-0.005366419787201315
1.30	17.732	-0.006441312563525536
1.35	17.732	-0.007601493824583083
1.40	17.732	-0.008870130872189019
1.45	17.732	-0.01029167774518047
1.50	17.732	-0.01193817116807439
1.55	17.732	-0.01391616255243555
1.60	17.732	-0.01637428605103741
1.65	17.732	-0.01951146266433268
1.70	17.732	-0.0235857404000086
1.75	17.732	-0.02892377048458084
1.80	17.732	-0.03593091962826911
1.85	17.732	-0.04510201834215088
1.90	17.732	-0.05703274530741709
1.95	17.732	-0.07243164779867328
2.00	17.732	-0.09213279815871722
2.05	17.732	-0.1171090863259376
2.10	17.732	-0.1484861484150617
0.10	20.265	-0.0005513324545238118
0.15	20.265	0.0002283846196568936
0.20	20.265	0.0004721518495321984
0.25	20.265	0.0004078372104373637
0.30	20.265	0.0002010471662206994
0.35	20.265	-3.481584982781543e-05
0.40	20.265	-0.0002292716070265936
0.45	20.265	-0.000346255902320946
0.50	20.265	-0.0003763900382923666
0.55	20.265	-0.000330025954116242
0.60	20.265	-0.0002310670095347876
0.65	20.265	-0.0001115644217482767
0.70	20.265	-7.089355358855243e-06
0.75	20.265	4.711933481101049e-05
0.80	20.265	1.923170779816186e-05
0.85	20.265	-0.0001168723122463022
0.90	20.265	-0.0003800776379408177
0.95	20.265	-0.0007812843733831509
1.00	20.265	-0.001323433821928788
1.05	20.265	-0.002002310146927977
1.10	20.265	-0.002808117685363376
1.15	20.265	-0.00372783391470366
1.20	20.265	-0.004748338072276148
1.25	20.265	-0.005860315428141583
1.30	20.265	-0.007062937210617903
1.35	20.265	-0.008369316184779763
1.40	20.265	-0.009812737884097977
1.45	20.265	-0.01145366749490684
1.50	20.265	-0.01338753239410462
1.55	20.265	-0.015753280339319
1.60	20.265	-0.01874271331248778
1.65	20.265	-0.02261059701640011
1.70	20.265	-0.02768554602422668
1.75	20.265	-0.03438168458121105
1.80	20.265	-0.04321108306064225
1.85	20.265	-0.0547969700727009
1.90	20.265	-0.06988772022419809
1.95	20.265	-0.08937161753422629
2.00	20.265	-0.1142923945008256
2.05	20.265	-0.145865546821657
2.10	20.265	-0.1854954237662803
0.10	22.798	-0.0005986097803126238
0.15	22.798	0.0002786128538209673
0.20	22.798	0.0005365617174020675
0.25	22.798	0.0004427579845373168
0.30	22.798	0.0001909207911583399
0.35	22.798	-8.695579545314053e-05
0.40	22.798	-0.0003094741294660031
0.45	22.798	-0.000435652661610708
0.50	22.798	-0.0004556939366276505
0.55	22.798	-0.0003827009130158363
0.60	22.798	-0.0002453416051308582
0.65	22.798	-8.146204755314634e-05
0.70	22.798	6.735241814041781e-05
0.75	22.798	0.0001602675343633508
0.80	22.798	0.0001607421961699884
0.85	22.798	3.912219752816304e-05
0.90	22.798	-0.0002257143446627308
0.95	22.798	-0.0006456598889130749
1.00	22.798	-0.001223628689735801
1.05	22.798	-0.001954756340771024
1.10	22.798	-0.002828547639773582
1.15	22.798	-0.003831972776699111
1.20	22.798	-0.004953511843068359
1.25	22.798	-0.006188147664706101
1.30	22.798	-0.007543306956193874
1.35	22.798	-0.009045749797425451
1.40	22.798	-0.01074940743315356
1.45	22.798	-0.01274416839476178
1.50	22.798	-0.01516561294355334
1.55	22.798	-0.01820569583724918
1.60	22.798	-0.02212437741842699
1.65	22.798	-0.02726220302538707
1.70	22.798	-0.03405383072543344
1.75	22.798	-0.04304250737020965
1.80	22.798	-0.05489549297245588
1.85	22.798	-0.07042043340926796
1.90	22.798	-0.09058268143994752
1.95	22.798	-0.1165235660546386
2.00	22.798	-0.1495796101397602
2.05	22.798	-0.1913026964670621
2.10	22.798	-0.2434811820065264
0.10	25.331	-0.0006223412359035462
0.15	25.331	0.0003082275279224877
0.20	25.331	0.0005619690901455817
0.25	25.331	0.0004430753320513485
0.30	25.331	0.0001676942349705037
0.35	25.331	-0.0001208826540531234
0.40	25.331	-0.0003382897277805228
0.45	25.331	-0.000446413795451581
0.50	25.331	-0.0004419775306633011
0.55	25.331	-0.0003463798903945228
0.60	25.331	-0.0001967935052158976
0.65	25.331	-3.851904067626866e-05
0.70	25.331	8.140347011001414e-05
0.75	25.331	0.000119326322773422
0.80	25.331	3.886886672849199e-05
0.85	25.331	-0.0001864647408815756
0.90	25.331	-0.0005719247524447191
0.95	25.331	-0.00112141201838134
1.00	25.331	-0.00182863114661469
1.05	25.331	-0.002679500633599563
1.10	25.331	-0.003655819965941998
1.15	25.331	-0.004740193693922201
1.20	25.331	-0.005922212475474531
1.25	25.331	-0.007205891091911276
1.30	25.331	-0.008618363434575116
1.35	25.331	-0.01021983446233676
1.40	25.331	-0.01211478913099917
1.45	25.331	-0.01446445829355447
1.50	25.331	-0.01750054157113645
1.55	25.331	-0.02154018719593509
1.60	25.331	-0.02700222882441139
1.65	25.331	-0.03442467932271498
1.70	25.331	-0.04448348152323689
1.75	25.331	-0.05801251595016055
1.80	25.331	-0.0760248655187965
1.85	25.331	-0.09973533720692274
1.90	25.331	-0.1305842406920164
1.95	25.331	-0.1702624239661645
2.00	25.331	-0.2207375659174033
2.05	25.331	-0.2842817258858048
2.10	25.331	-0.3635001501859421
