# Filename: 3Dvlt_macro_cp_extra_BareValues_P01.646.dat
# Source: 3Dvlt_macro_cp_extra.c
# Source version: 1 (2011 Oct 28 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6, R=8.31447
# Parameter values: N=3, Kthresh=5, DK0=5e-07, dl=0.0001
# Parameter values: P=1.646, Cc=1.05802, K0c=0.303902, Tc=2.157
# P	Cc	K0c	T	T/Tc	1-T/Tc	l	K0	y0	e0	U0/kB	a0	a0(P)/a0(0)
1.646	 1.05802360690523	  0.3039017891501	1.3	0.602688866008234	0.397311133991766	0	 0.50424324438399	0.00516708620533971	0	 6.84508024978463	 2.43361676678871	 1.00197043774585
1.646	 1.05802360690523	  0.3039017891501	1.35	0.625869207008551	0.374130792991449	0	0.485567568666065	0.00627972044477997	0	 6.84508024978463	 2.43342955925468	  1.0019370717375
1.646	 1.05802360690523	  0.3039017891501	1.4	0.649049548008868	0.350950451991132	0	0.468225869785134	0.00752636540558118	0	 6.84508024978463	 2.43318697715566	 1.00189861865502
1.646	 1.05802360690523	  0.3039017891501	1.45	0.672229889009184	0.327770110990816	0	0.452080150137371	0.00890853921520334	0	 6.84508024978463	 2.43288015397723	 1.00185428264416
1.646	 1.05802360690523	  0.3039017891501	1.5	0.695410230009501	0.304589769990499	0	0.437010811799458	0.010426685630532	0	 6.84508024978463	  2.4324996197852	 1.00180320199545
1.646	 1.05802360690523	  0.3039017891501	1.55	0.718590571009818	0.281409428990182	0	0.422913688838185	0.0120802812276401	0	 6.84508024978463	 2.43203530740706	 1.00174444973621
1.646	 1.05802360690523	  0.3039017891501	1.6	0.741770912010134	0.258229087989866	0	0.409697636061992	0.0138679458461754	0	 6.84508024978463	 2.43147655995371	 1.00167703435011
1.646	 1.05802360690523	  0.3039017891501	1.65	0.764951253010451	0.235048746989549	0	0.397282556181326	0.0157875522028375	0	 6.84508024978463	 2.43081213985093	 1.00159990064134
1.646	 1.05802360690523	  0.3039017891501	1.7	0.788131594010768	0.211868405989232	0	0.385597775117169	0.0178363317210427	0	 6.84508024978463	 2.43003023955741	 1.00151193076122
1.646	 1.05802360690523	  0.3039017891501	1.75	0.811311935011084	0.188688064988916	0	0.374580695828107	0.0200109745495131	0	 6.84508024978463	 2.42911849415162	 1.00141194541606
1.646	 1.05802360690523	  0.3039017891501	1.8	0.834492276011401	0.165507723988599	0	0.364175676499549	0.022307722478235	0	 6.84508024978463	 2.42806399597415	 1.00129870527512
1.646	 1.05802360690523	  0.3039017891501	1.85	0.857672617011718	0.142327382988282	0	0.354333090648209	0.0247224540299919	0	 6.84508024978463	 2.42685331151503	 1.00117091259849
1.646	 1.05802360690523	  0.3039017891501	1.9	0.880852958012035	0.119147041987965	0	0.345008535631151	0.0272507614354998	0	 6.84508024978463	 2.42547250073661	 1.00102721310448
1.646	 1.05802360690523	  0.3039017891501	1.95	0.904033299012351	0.0959667009876487	0	 0.33616216292266	0.0298880195151842	0	 6.84508024978463	 2.42390713902154	 1.00086619809646
1.646	 1.05802360690523	  0.3039017891501	2	0.927213640012668	0.0727863599873321	0	0.327758108849594	0.0326294467135931	0	 6.84508024978463	 2.42214234193228	  1.0006864068687
1.646	 1.05802360690523	  0.3039017891501	2.05	0.950393981012985	0.0496060189870153	0	 0.31976400863375	0.035470158683072	0	 6.84508024978463	  2.4201627929628	 1.00048632941041
1.646	 1.05802360690523	  0.3039017891501	2.1	0.973574322013301	0.0264256779866987	0	0.312150579856756	0.0384052149082421	0	 6.84508024978463	 2.41795277445478	 1.00026440942646
