r0    rhos0    gamma0 
2.152   0.854071   1.01403e-07
2.232   0.85131   5.29053e-08
2.312   0.84937   2.65471e-08
2.392   0.848055   1.28617e-08
2.472   0.847191   6.03613e-09
2.552   0.846641   2.75094e-09
2.632   0.846299   1.21968e-09
2.712   0.846093   5.26745e-10
2.792   0.845972   2.21778e-10
2.872   0.845903   9.10872e-11
2.952   0.845864   3.65077e-11
3.032   0.845843   1.42826e-11
3.112   0.845831   5.45493e-12
3.192   0.845825   2.03405e-12
3.272   0.845822   7.40519e-13
3.352   0.845821   2.63211e-13
3.432   0.84582   9.13367e-14
3.512   0.84582   3.09411e-14
3.592   0.84582   1.02316e-14
3.672   0.845819   3.3024e-15
3.752   0.845819   1.04031e-15
3.832   0.845819   3.19818e-16
3.912   0.845819   9.59429e-17
3.992   0.845819   2.80838e-17
4.072   0.845819   8.02043e-18
4.152   0.845819   2.23462e-18
4.232   0.845819   6.07353e-19
4.312   0.845819   1.6102e-19
4.392   0.845819   4.16384e-20
4.472   0.845819   1.05016e-20
4.552   0.845819   2.58307e-21
4.632   0.845819   6.19612e-22
4.712   0.845819   1.44938e-22
4.792   0.845819   3.306e-23
4.872   0.845819   7.35303e-24
4.952   0.845819   1.59461e-24
5.032   0.845819   3.37176e-25
5.112   0.845819   6.95114e-26
5.192   0.845819   1.39715e-26
5.272   0.845819   2.7378e-27
5.352   0.845819   5.23032e-28
5.432   0.845819   9.74117e-29
5.512   0.845819   1.76865e-29
5.592   0.845819   3.13051e-30
5.672   0.845819   5.4016e-31
5.752   0.845819   9.08571e-32
5.832   0.845819   1.48977e-32
5.912   0.845819   2.38122e-33
5.992   0.845819   3.71018e-34
6.072   0.845819   5.6351e-35
6.152   0.845819   8.34289e-36
6.232   0.845819   1.20403e-36
6.312   0.845819   1.69379e-37
6.392   0.845819   2.32265e-38
6.472   0.845819   3.1046e-39
6.552   0.845819   4.04506e-40
6.632   0.845819   5.13735e-41
6.712   0.845819   6.35986e-42
6.792   0.845819   7.67447e-43
6.872   0.845819   9.02694e-44
6.952   0.845819   1.03496e-44
7.032   0.845819   1.15663e-45
7.112   0.845819   1.25996e-46
7.192   0.845819   1.33785e-47
7.272   0.845819   1.38467e-48
7.352   0.845819   1.39692e-49
7.432   0.845819   1.37367e-50
7.512   0.845819   1.31669e-51
7.592   0.845819   1.23018e-52
7.672   0.845819   1.12031e-53
7.752   0.845819   9.94484e-55
7.832   0.845819   8.60481e-56
7.912   0.845819   7.25723e-57
7.992   0.845819   7.42365e-58
r3       rhos3       gamma3  
