1-T/Tc	l	K	y	F	a	Kr/K0	a0/Kr
3.98107e-05	8.7178	5.00041	6.75169e-06	-0.0532264	15460.1	0.00264686	3091.77
5.01187e-05	8.5631	5.00024	6.75072e-06	-0.0532232	13244.3	0.00308956	2648.72
6.30957e-05	8.4084	5.00008	6.74979e-06	-0.0532193	11346	0.00360631	2269.16
7.94328e-05	8.2538	5.00043	6.7518e-06	-0.0532143	9720.76	0.00420947	1943.99
0.0001	8.0991	5.00029	6.75097e-06	-0.053208	8327.51	0.00491351	1665.41
0.000125893	7.9444	5.00015	6.7502e-06	-0.0532002	7133.94	0.00573528	1426.74
0.000158489	7.7897	5.00004	6.74952e-06	-0.0531902	6111.45	0.00669446	1222.28
0.000199526	7.6351	5.00044	6.75186e-06	-0.0531778	5236.03	0.00781402	1047.11
0.000251189	7.4804	5.00037	6.75143e-06	-0.0531621	4485.56	0.00912077	897.047
0.000316228	7.3257	5.00032	6.75117e-06	-0.0531423	3842.66	0.010646	768.481
0.000398107	7.171	5.00032	6.75113e-06	-0.0531175	3291.9	0.0124261	658.337
0.000501187	7.0163	5.00036	6.75136e-06	-0.0530863	2820.08	0.0145037	563.974
0.000630957	6.8616	5.00047	6.75193e-06	-0.0530471	2415.88	0.0169284	483.131
0.000794328	6.7068	5.00014	6.75001e-06	-0.0529978	2069.41	0.0197581	413.87
0.001	6.5521	5.00042	6.75153e-06	-0.052936	1772.81	0.0230603	354.532
0.00125893	6.3973	5.00031	6.75081e-06	-0.0528583	1518.56	0.0269137	303.694
0.00158489	6.2425	5.00035	6.75091e-06	-0.0527608	1300.78	0.0314097	260.138
0.00199526	6.0876	5.00008	6.74912e-06	-0.0526387	1114.12	0.036655	222.82
0.00251189	5.9327	5.00004	6.74861e-06	-0.0524856	954.244	0.0427738	190.847
0.00316228	5.7778	5.0003	6.74966e-06	-0.0522942	817.311	0.0499102	163.452
0.00398107	5.6228	5.00043	6.74973e-06	-0.0520549	699.957	0.0582316	139.979
0.00501187	5.4676	5.00002	6.74637e-06	-0.0517562	599.334	0.0679323	119.866
0.00630957	5.3124	5.00019	6.74592e-06	-0.0513842	513.176	0.0792367	102.631
0.00794328	5.157	5.00008	6.74317e-06	-0.0509215	439.316	0.0924043	87.8618
