T/Tc	1-T/Tc	l	K	y	a	Kr/K0	a0/Kr
0.99999	1e-05	15.2001	0.653734	0.00418802	1.01028e+07	2.18908e-07	1.54539e+07
0.99999	1e-05	15.4001	0.65355	0.00414347	1.23395e+07	1.79176e-07	1.88808e+07
0.99999	1e-05	15.6001	0.65337	0.00409986	1.50715e+07	1.46657e-07	2.30674e+07
0.99999	1e-05	15.8001	0.653194	0.00405716	1.84084e+07	1.2004e-07	2.81822e+07
0.99999	1e-05	16.0001	0.653022	0.00401535	2.24841e+07	9.82544e-08	3.44309e+07
0.99999	1e-05	16.2001	0.652853	0.00397439	2.74622e+07	8.04231e-08	4.20648e+07
0.99999	1e-05	16.4001	0.652688	0.00393426	3.35423e+07	6.58282e-08	5.13911e+07
0.99999	1e-05	16.6001	0.652526	0.00389494	4.09687e+07	5.38822e-08	6.27848e+07
0.99999	1e-05	16.8001	0.652367	0.0038564	5.00393e+07	4.41043e-08	7.67042e+07
0.99999	1e-05	17.0001	0.652212	0.00381862	6.11181e+07	3.61009e-08	9.3709e+07
0.99999	1e-05	17.2001	0.652059	0.00378158	7.46499e+07	2.955e-08	1.14483e+08
0.99999	1e-05	17.4001	0.65191	0.00374524	9.11776e+07	2.4188e-08	1.39862e+08
0.99999	1e-05	17.6001	0.651764	0.00370961	1.11365e+08	1.9799e-08	1.70866e+08
0.99999	1e-05	17.8001	0.65162	0.00367464	1.36021e+08	1.62065e-08	2.08743e+08
0.99999	1e-05	18.0001	0.651479	0.00364033	1.66136e+08	1.32659e-08	2.55014e+08
0.99999	1e-05	18.2001	0.651341	0.00360666	2.02919e+08	1.08589e-08	3.11541e+08
0.99999	1e-05	18.4001	0.651205	0.00357361	2.47846e+08	8.88864e-09	3.80596e+08
0.99999	1e-05	18.6001	0.651072	0.00354116	3.0272e+08	7.27592e-09	4.64956e+08
0.99999	1e-05	18.8001	0.650942	0.00350929	3.69743e+08	5.95582e-09	5.68013e+08
0.99999	1e-05	19.0001	0.650813	0.00347799	4.51605e+08	4.87526e-09	6.93909e+08
0.99999	1e-05	19.2001	0.650688	0.00344725	5.51592e+08	3.99075e-09	8.47707e+08
0.99999	1e-05	19.4001	0.650564	0.00341705	6.73716e+08	3.26673e-09	1.03559e+09
0.99999	1e-05	19.6001	0.650442	0.00338737	8.22879e+08	2.67407e-09	1.26511e+09
0.99999	1e-05	19.8001	0.650323	0.0033582	1.00507e+09	2.18894e-09	1.54549e+09
0.99999	1e-05	20.0001	0.650206	0.00332954	1.22759e+09	1.79183e-09	1.888e+09
0.99999	1e-05	20.2002	0.65009	0.00330134	1.49953e+09	1.46662e-09	2.30665e+09
0.99999	1e-05	20.4002	0.649977	0.00327363	1.83153e+09	1.20056e-09	2.81784e+09
0.99999	1e-05	20.6002	0.649866	0.00324639	2.23704e+09	9.82765e-10	3.44231e+09
0.99999	1e-05	20.8002	0.649756	0.00321959	2.73233e+09	8.04485e-10	4.20516e+09
0.99999	1e-05	21.0002	0.649649	0.00319324	3.33727e+09	6.58547e-10	5.13704e+09
0.99999	1e-05	21.2002	0.649543	0.00316731	4.07615e+09	5.39085e-10	6.27542e+09
0.99999	1e-05	21.4002	0.649439	0.0031418	4.97862e+09	4.41295e-10	7.66604e+09
0.99999	1e-05	21.6002	0.649336	0.00311669	6.0809e+09	3.61245e-10	9.3648e+09
0.99999	1e-05	21.8002	0.649235	0.00309199	7.42723e+09	2.95716e-10	1.144e+10
0.99999	1e-05	22.0002	0.649136	0.00306767	9.07164e+09	2.42075e-10	1.39749e+10
0.99999	1e-05	22.2002	0.649039	0.00304374	1.10801e+10	1.98164e-10	1.70716e+10
0.99999	1e-05	22.4002	0.648943	0.00302017	1.35333e+10	1.62219e-10	2.08544e+10
0.99999	1e-05	22.6002	0.648848	0.00299696	1.65296e+10	1.32795e-10	2.54753e+10
0.99999	1e-05	22.8002	0.648755	0.00297411	2.01893e+10	1.08707e-10	3.11201e+10
0.99999	1e-05	23.0002	0.648663	0.00295161	2.46593e+10	8.89895e-11	3.80155e+10
0.99999	1e-05	23.2002	0.648573	0.00292944	3.01189e+10	7.28483e-11	4.64387e+10
0.99999	1e-05	23.4002	0.648484	0.0029076	3.67873e+10	5.9635e-11	5.67282e+10
0.99999	1e-05	23.6002	0.648397	0.00288609	4.49321e+10	4.88184e-11	6.92973e+10
0.99999	1e-05	23.8002	0.648311	0.00286489	5.48802e+10	3.99638e-11	8.46512e+10
0.99999	1e-05	24.0002	0.648226	0.002844	6.70309e+10	3.27153e-11	1.03407e+11
0.99999	1e-05	24.2002	0.648142	0.00282341	8.18717e+10	2.67816e-11	1.26318e+11
0.99999	1e-05	24.4002	0.64806	0.00280311	9.99983e+10	2.19241e-11	1.54304e+11
0.99999	1e-05	24.6002	0.647978	0.00278311	1.22138e+11	1.79477e-11	1.88491e+11
0.99999	1e-05	24.8002	0.647898	0.00276339	1.4918e+11	1.46925e-11	2.30252e+11
0.99999	1e-05	25.0002	0.647819	0.00274394	1.82209e+11	1.20277e-11	2.81265e+11
0.99999	1e-05	25.2002	0.647741	0.00272477	2.2255e+11	9.84631e-12	3.43579e+11
0.99999	1e-05	25.4002	0.647665	0.00270586	2.71824e+11	8.06052e-12	4.19698e+11
0.99999	1e-05	25.6002	0.647589	0.00268721	3.32006e+11	6.59862e-12	5.1268e+11
0.99999	1e-05	25.8002	0.647514	0.00266881	4.05513e+11	5.40187e-12	6.26261e+11
0.99999	1e-05	26.0002	0.647441	0.00265067	4.95295e+11	4.42218e-12	7.65004e+11
0.99999	1e-05	26.2002	0.647368	0.00263277	6.04955e+11	3.62017e-12	9.34483e+11
0.99999	1e-05	26.4002	0.647297	0.00261511	7.38893e+11	2.96361e-12	1.14151e+12
0.99999	1e-05	26.6002	0.647226	0.00259768	9.02486e+11	2.42614e-12	1.39439e+12
0.99999	1e-05	26.8002	0.647157	0.00258048	1.1023e+12	1.98614e-12	1.7033e+12
0.99999	1e-05	27.0002	0.647088	0.00256351	1.34635e+12	1.62594e-12	2.08063e+12
0.99999	1e-05	27.2002	0.64702	0.00254676	1.64444e+12	1.33107e-12	2.54156e+12
0.99999	1e-05	27.4002	0.646953	0.00253022	2.00852e+12	1.08967e-12	3.10458e+12
0.99999	1e-05	27.6002	0.646887	0.0025139	2.45321e+12	8.92058e-13	3.79233e+12
0.99999	1e-05	27.8002	0.646822	0.00249779	2.99636e+12	7.30282e-13	4.63243e+12
0.99999	1e-05	28.0002	0.646758	0.00248188	3.65976e+12	5.97845e-13	5.65863e+12
0.99999	1e-05	28.2002	0.646694	0.00246617	4.47004e+12	4.89426e-13	6.91215e+12
0.99999	1e-05	28.4002	0.646631	0.00245066	5.45972e+12	4.00669e-13	8.44333e+12
0.99999	1e-05	28.6002	0.646569	0.00243534	6.66852e+12	3.28009e-13	1.03137e+13
0.99999	1e-05	28.8002	0.646508	0.0024202	8.14495e+12	2.68526e-13	1.25984e+13
0.99999	1e-05	29.0002	0.646448	0.00240526	9.94827e+12	2.1983e-13	1.53891e+13
0.99999	1e-05	29.2002	0.646388	0.0023905	1.21508e+13	1.79965e-13	1.8798e+13
0.99999	1e-05	29.4002	0.64633	0.00237591	1.48411e+13	1.47329e-13	2.29621e+13
0.99999	1e-05	29.6002	0.646271	0.00236151	1.81269e+13	1.20612e-13	2.80485e+13
0.99999	1e-05	29.8002	0.646214	0.00234727	2.21403e+13	9.87401e-14	3.42615e+13
0.99999	1e-05	30.0002	0.646157	0.00233321	2.70422e+13	8.08344e-14	4.18508e+13
0.99999	1e-05	30.2003	0.646101	0.0023193	3.30327e+13	6.61693e-14	5.11262e+13
0.99999	1e-05	30.4003	0.646046	0.00230556	4.03462e+13	5.41702e-14	6.2451e+13
0.99999	1e-05	30.6003	0.645991	0.00229199	4.9279e+13	4.4347e-14	7.62843e+13
0.99999	1e-05	30.8003	0.645937	0.00227857	6.01895e+13	3.63052e-14	9.31817e+13
0.99999	1e-05	31.0003	0.645884	0.00226531	7.35156e+13	2.97218e-14	1.13822e+14
0.99999	1e-05	31.2003	0.645831	0.0022522	8.97922e+13	2.43321e-14	1.39034e+14
0.99999	1e-05	31.4003	0.645779	0.00223924	1.09672e+14	1.99199e-14	1.6983e+14
0.99999	1e-05	31.6003	0.645727	0.00222643	1.33954e+14	1.63077e-14	2.07447e+14
0.99999	1e-05	31.8003	0.645676	0.00221376	1.63612e+14	1.33506e-14	2.53396e+14
0.99999	1e-05	32.0003	0.645626	0.00220123	1.99836e+14	1.09297e-14	3.09523e+14
0.99999	1e-05	32.2003	0.645576	0.00218884	2.44081e+14	8.94776e-15	3.78082e+14
0.99999	1e-05	32.4003	0.645527	0.0021766	2.98121e+14	7.32524e-15	4.61825e+14
0.99999	1e-05	32.6003	0.645478	0.00216448	3.64125e+14	5.99695e-15	5.64117e+14
0.99999	1e-05	32.8003	0.64543	0.0021525	4.44744e+14	4.90952e-15	6.89066e+14
0.99999	1e-05	33.0003	0.645382	0.00214065	5.43211e+14	4.01928e-15	8.41689e+14
0.99999	1e-05	33.2003	0.645335	0.00212893	6.6348e+14	3.29047e-15	1.02812e+15
0.99999	1e-05	33.4003	0.645289	0.00211733	8.10376e+14	2.69381e-15	1.25583e+15
0.99999	1e-05	33.6003	0.645243	0.00210586	9.89795e+14	2.20535e-15	1.53399e+15
0.99999	1e-05	33.8003	0.645197	0.00209451	1.20894e+15	1.80546e-15	1.87375e+15
0.99999	1e-05	34.0003	0.645152	0.00208329	1.4766e+15	1.47808e-15	2.28876e+15
0.99999	1e-05	34.2003	0.645107	0.00207218	1.80352e+15	1.21007e-15	2.7957e+15
0.99999	1e-05	34.4003	0.645063	0.00206118	2.20283e+15	9.90652e-16	3.41491e+15
0.99999	1e-05	34.6003	0.64502	0.00205031	2.69054e+15	8.11023e-16	4.17126e+15
0.99999	1e-05	34.8003	0.644977	0.00203954	3.28624e+15	6.63965e-16	5.09513e+15
0.99999	1e-05	35.0003	0.644934	0.00202889	4.01382e+15	5.43572e-16	6.22361e+15
0.99999	1e-05	35.2003	0.644892	0.00201834	4.90249e+15	4.4501e-16	7.60203e+15
0.99999	1e-05	35.4003	0.64485	0.00200791	5.98791e+15	3.6432e-16	9.28575e+15
0.99999	1e-05	35.6003	0.644808	0.00199758	7.31365e+15	2.98261e-16	1.13424e+16
0.99999	1e-05	35.8003	0.644768	0.00198735	8.93292e+15	2.4418e-16	1.38545e+16
0.99999	1e-05	36.0003	0.644727	0.00197723	1.09107e+16	1.99905e-16	1.6923e+16
0.99999	1e-05	36.2003	0.644687	0.00196721	1.33263e+16	1.63658e-16	2.0671e+16
0.99999	1e-05	36.4003	0.644647	0.00195728	1.62768e+16	1.33984e-16	2.52492e+16
0.99999	1e-05	36.6003	0.644608	0.00194746	1.98806e+16	1.0969e-16	3.08413e+16
0.99999	1e-05	36.8003	0.644569	0.00193774	2.42822e+16	8.98011e-17	3.7672e+16
0.99999	1e-05	37.0003	0.644531	0.0019281	2.96583e+16	7.35185e-17	4.60154e+16
0.99999	1e-05	37.2003	0.644492	0.00191857	3.62248e+16	6.01883e-17	5.62067e+16
0.99999	1e-05	37.4003	0.644455	0.00190912	4.4245e+16	4.92751e-17	6.8655e+16
0.99999	1e-05	37.6003	0.644417	0.00189977	5.4041e+16	4.03407e-17	8.38602e+16
0.99999	1e-05	37.8003	0.64438	0.00189051	6.60058e+16	3.30263e-17	1.02433e+17
0.99999	1e-05	38.0003	0.644344	0.00188133	8.06197e+16	2.70381e-17	1.25119e+17
0.99999	1e-05	38.2003	0.644307	0.00187225	9.84691e+16	2.21357e-17	1.52829e+17
0.99999	1e-05	38.4003	0.644271	0.00186325	1.2027e+17	1.81222e-17	1.86677e+17
0.99999	1e-05	38.6003	0.644236	0.00185433	1.46899e+17	1.48363e-17	2.2802e+17
0.99999	1e-05	38.8003	0.644201	0.0018455	1.79422e+17	1.21463e-17	2.78519e+17
0.99999	1e-05	39.0003	0.644166	0.00183675	2.19147e+17	9.94402e-18	3.40203e+17
0.99999	1e-05	39.2003	0.644131	0.00182808	2.67667e+17	8.14104e-18	4.15547e+17
0.99999	1e-05	39.4003	0.644097	0.00181949	3.26929e+17	6.66496e-18	5.07577e+17
0.99999	1e-05	39.6003	0.644063	0.00181098	3.99312e+17	5.45652e-18	6.19989e+17
0.99999	1e-05	39.8003	0.64403	0.00180255	4.87721e+17	4.46719e-18	7.57296e+17
0.99999	1e-05	40.0003	0.643996	0.0017942	5.95703e+17	3.65724e-18	9.25011e+17
0.99999	1e-05	40.2004	0.643963	0.00178592	7.27667e+17	2.99384e-18	1.12998e+18
0.99999	1e-05	40.4004	0.643931	0.00177771	8.88774e+17	2.45102e-18	1.38023e+18
0.99999	1e-05	40.6004	0.643898	0.00176959	1.08555e+18	2.00663e-18	1.6859e+18
0.99999	1e-05	40.8004	0.643866	0.00176153	1.32589e+18	1.64281e-18	2.05927e+18
0.99999	1e-05	41.0004	0.643834	0.00175354	1.61945e+18	1.34495e-18	2.51532e+18
0.99999	1e-05	41.2004	0.643803	0.00174563	1.978e+18	1.1011e-18	3.07237e+18
0.99999	1e-05	41.4004	0.643772	0.00173779	2.41594e+18	9.01459e-19	3.75279e+18
0.99999	1e-05	41.6004	0.643741	0.00173001	2.95083e+18	7.38017e-19	4.58388e+18
0.99999	1e-05	41.8004	0.64371	0.00172231	3.60416e+18	6.04208e-19	5.59903e+18
0.99999	1e-05	42.0004	0.64368	0.00171467	4.40213e+18	4.94661e-19	6.839e+18
0.99999	1e-05	42.2004	0.64365	0.00170709	5.37677e+18	4.04975e-19	8.35356e+18
0.99999	1e-05	42.4004	0.64362	0.00169958	6.5672e+18	3.3155e-19	1.02035e+19
0.99999	1e-05	42.6004	0.64359	0.00169214	8.0212e+18	2.71438e-19	1.24632e+19
0.99999	1e-05	42.8004	0.643561	0.00168476	9.79711e+18	2.22224e-19	1.52233e+19
0.99999	1e-05	43.0004	0.643532	0.00167745	1.19662e+19	1.81934e-19	1.85946e+19
0.99999	1e-05	43.2004	0.643503	0.00167019	1.46156e+19	1.48948e-19	2.27125e+19
0.99999	1e-05	43.4004	0.643475	0.001663	1.78515e+19	1.21943e-19	2.77423e+19
0.99999	1e-05	43.6004	0.643447	0.00165587	2.18039e+19	9.98341e-20	3.38861e+19
0.99999	1e-05	43.8004	0.643418	0.00164879	2.66313e+19	8.17337e-20	4.13903e+19
0.99999	1e-05	44.0004	0.643391	0.00164178	3.25276e+19	6.6915e-20	5.05565e+19
0.99999	1e-05	44.2004	0.643363	0.00163482	3.97292e+19	5.4783e-20	6.17524e+19
0.99999	1e-05	44.4004	0.643336	0.00162792	4.85254e+19	4.48506e-20	7.54278e+19
0.99999	1e-05	44.6004	0.643309	0.00162108	5.92691e+19	3.6719e-20	9.21316e+19
0.99999	1e-05	44.8004	0.643282	0.0016143	7.23914e+19	3.00617e-20	1.12535e+20
0.99999	1e-05	45.0004	0.643255	0.00160757	8.84191e+19	2.46115e-20	1.37456e+20
0.99999	1e-05	45.2004	0.643229	0.00160089	1.07995e+20	2.01493e-20	1.67896e+20
0.99999	1e-05	45.4004	0.643203	0.00159427	1.31906e+20	1.64962e-20	2.05077e+20
0.99999	1e-05	45.6004	0.643177	0.00158771	1.6111e+20	1.35054e-20	2.50491e+20
0.99999	1e-05	45.8004	0.643151	0.00158119	1.9678e+20	1.10568e-20	3.05963e+20
0.99999	1e-05	46.0004	0.643125	0.00157473	2.40348e+20	9.05222e-21	3.73719e+20
0.99999	1e-05	46.2004	0.6431	0.00156832	2.93562e+20	7.41104e-21	4.56479e+20
0.99999	1e-05	46.4004	0.643075	0.00156196	3.58557e+20	6.06741e-21	5.57566e+20
0.99999	1e-05	46.6004	0.64305	0.00155565	4.37943e+20	4.96738e-21	6.8104e+20
0.99999	1e-05	46.8004	0.643025	0.00154939	5.34904e+20	4.06679e-21	8.31856e+20
0.99999	1e-05	47.0004	0.643001	0.00154317	6.53333e+20	3.32948e-21	1.01607e+21
0.99999	1e-05	47.2004	0.642976	0.00153701	7.97983e+20	2.72585e-21	1.24108e+21
0.99999	1e-05	47.4004	0.642952	0.0015309	9.74659e+20	2.23165e-21	1.51591e+21
0.99999	1e-05	47.6004	0.642928	0.00152483	1.19045e+21	1.82705e-21	1.85161e+21
0.99999	1e-05	47.8004	0.642905	0.00151881	1.45402e+21	1.49581e-21	2.26164e+21
0.99999	1e-05	48.0004	0.642881	0.00151283	1.77594e+21	1.22462e-21	2.76248e+21
0.99999	1e-05	48.2004	0.642858	0.00150691	2.16914e+21	1.0026e-21	3.37422e+21
0.99999	1e-05	48.4004	0.642834	0.00150102	2.6494e+21	8.20828e-22	4.12143e+21
0.99999	1e-05	48.6004	0.642811	0.00149518	3.23598e+21	6.72013e-22	5.03411e+21
0.99999	1e-05	48.8004	0.642789	0.00148939	3.95244e+21	5.50178e-22	6.14889e+21
0.99999	1e-05	49.0004	0.642766	0.00148364	4.82752e+21	4.50432e-22	7.51054e+21
0.99999	1e-05	49.2004	0.642744	0.00147793	5.89634e+21	3.68769e-22	9.17371e+21
0.99999	1e-05	49.4004	0.642721	0.00147226	7.20181e+21	3.01912e-22	1.12052e+22
0.99999	1e-05	49.6004	0.642699	0.00146664	8.79631e+21	2.47176e-22	1.36865e+22
0.99999	1e-05	49.8004	0.642677	0.00146106	1.07438e+22	2.02364e-22	1.67173e+22
0.99999	1e-05	50.0004	0.642655	0.00145552	1.31226e+22	1.65676e-22	2.04193e+22
0.99999	1e-05	50.2005	0.642634	0.00145002	1.60295e+22	1.35626e-22	2.49435e+22
0.99999	1e-05	50.4005	0.642612	0.00144456	1.95785e+22	1.11037e-22	3.04671e+22
0.99999	1e-05	50.6005	0.642591	0.00143914	2.39132e+22	9.09067e-23	3.72138e+22
0.99999	1e-05	50.8005	0.64257	0.00143376	2.92077e+22	7.44257e-23	4.54545e+22
0.99999	1e-05	51.0005	0.642549	0.00142842	3.56744e+22	6.09326e-23	5.55201e+22
0.99999	1e-05	51.2005	0.642528	0.00142312	4.35728e+22	4.98858e-23	6.78146e+22
0.99999	1e-05	51.4005	0.642507	0.00141785	5.32199e+22	4.08417e-23	8.28316e+22
0.99999	1e-05	51.6005	0.642487	0.00141263	6.50029e+22	3.34373e-23	1.01174e+23
0.99999	1e-05	51.8005	0.642467	0.00140744	7.93948e+22	2.73753e-23	1.23578e+23
0.99999	1e-05	52.0005	0.642446	0.00140228	9.6973e+22	2.24123e-23	1.50943e+23
0.99999	1e-05	52.2005	0.642426	0.00139717	1.18443e+23	1.83491e-23	1.84368e+23
0.99999	1e-05	52.4005	0.642406	0.00139209	1.44667e+23	1.50225e-23	2.25195e+23
0.99999	1e-05	52.6005	0.642387	0.00138705	1.76696e+23	1.2299e-23	2.75062e+23
0.99999	1e-05	52.8005	0.642367	0.00138204	2.15817e+23	1.00692e-23	3.35972e+23
0.99999	1e-05	53.0005	0.642347	0.00137707	2.636e+23	8.24375e-24	4.1037e+23
0.99999	1e-05	53.2005	0.642328	0.00137213	3.21962e+23	6.74921e-24	5.01242e+23
0.99999	1e-05	53.4005	0.642309	0.00136722	3.93245e+23	5.52562e-24	6.12236e+23
0.99999	1e-05	53.6005	0.64229	0.00136235	4.8031e+23	4.52386e-24	7.47809e+23
0.99999	1e-05	53.8005	0.642271	0.00135752	5.86652e+23	3.70371e-24	9.13403e+23
0.99999	1e-05	54.0005	0.642252	0.00135271	7.16539e+23	3.03226e-24	1.11567e+24
0.99999	1e-05	54.2005	0.642233	0.00134794	8.75182e+23	2.48253e-24	1.36272e+24
0.99999	1e-05	54.4005	0.642215	0.0013432	1.06895e+24	2.03246e-24	1.66447e+24
0.99999	1e-05	54.6005	0.642197	0.0013385	1.30562e+24	1.66399e-24	2.03305e+24
0.99999	1e-05	54.8005	0.642178	0.00133382	1.59469e+24	1.36232e-24	2.48325e+24
0.99999	1e-05	55.0005	0.64216	0.00132918	1.94775e+24	1.11534e-24	3.03313e+24
0.99999	1e-05	55.2005	0.642142	0.00132457	2.37899e+24	9.13141e-25	3.70478e+24
0.99999	1e-05	55.4005	0.642124	0.00131999	2.90571e+24	7.47596e-25	4.52515e+24
0.99999	1e-05	55.6005	0.642107	0.00131544	3.54904e+24	6.12063e-25	5.52718e+24
0.99999	1e-05	55.8005	0.642089	0.00131092	4.33481e+24	5.01101e-25	6.7511e+24
0.99999	1e-05	56.0005	0.642071	0.00130643	5.29455e+24	4.10256e-25	8.24604e+24
0.99999	1e-05	56.2005	0.642054	0.00130197	6.46677e+24	3.3588e-25	1.0072e+25
0.99999	1e-05	56.4005	0.642037	0.00129754	7.89853e+24	2.74988e-25	1.23023e+25
0.99999	1e-05	56.6005	0.64202	0.00129313	9.64729e+24	2.25135e-25	1.50265e+25
0.99999	1e-05	56.8005	0.642003	0.00128876	1.17832e+25	1.8432e-25	1.83539e+25
0.99999	1e-05	57.0005	0.641986	0.00128442	1.43921e+25	1.50904e-25	2.24181e+25
0.99999	1e-05	57.2005	0.641969	0.0012801	1.75785e+25	1.23547e-25	2.73822e+25
0.99999	1e-05	57.4005	0.641952	0.00127581	2.14704e+25	1.01149e-25	3.34455e+25
0.99999	1e-05	57.6005	0.641936	0.00127155	2.62241e+25	8.28117e-26	4.08515e+25
0.99999	1e-05	57.8005	0.641919	0.00126732	3.20301e+25	6.77987e-26	4.98975e+25
0.99999	1e-05	58.0005	0.641903	0.00126311	3.91217e+25	5.55075e-26	6.09465e+25
0.99999	1e-05	58.2005	0.641886	0.00125893	4.77833e+25	4.54445e-26	7.4442e+25
